Subject,Interval,Date/Time,Light/Dark,Volume O2,O2 In,O2 Out,Delta O2,Accumulated O2,Volume CO2,CO2 In,CO2 Out,Delta CO2,Accumulated CO2,RER,Heat,Flow,Feed Weight 1,Feed Acc. 1,X Total,X Ambulatory,Y Total,Y Ambulatory,Wheel,Wheel Accumulated,Event Log,
4334,1,10/12/2015 4:26:19 PM,Light,4440.794,20.9034,20.48682,0.4165749,0.0001726976,3343.528,0.05095056,0.3817312,0.3307807,0.0001300261,0.752912,0.589704,0.4717851,0,0,248,127,200,101,0,0,,
4334,2,10/12/2015 4:58:19 PM,Light,3158.588,20.9034,20.60961,0.2937851,0.05688983,2245.654,0.04975641,0.2721054,0.222349,0.04184124,0.7109678,0.4148665,0.4714139,-0.02701823,-0.02701823,1154,329,1268,386,0,0,,
4334,3,10/12/2015 5:31:19 PM,Light,4156.654,20.9034,20.51114,0.3922616,0.1132366,3165.435,0.04418369,0.3586194,0.3144357,0.08352452,0.7615345,0.5532086,0.46986,0.01831055,-0.008707676,1285,422,1572,495,0,0,,
4334,4,10/12/2015 6:04:19 PM,Light,3009.273,20.9034,20.62111,0.2822826,0.1683919,2233.985,0.04104904,0.2625646,0.2215156,0.1250819,0.7423671,0.3985141,0.4707005,-0.03333537,-0.04204304,149,8,226,45,0,0,,
4334,5,10/12/2015 6:37:19 PM,Light,4660.387,20.9034,20.46438,0.4390193,0.2274804,3522.563,0.03974293,0.3894683,0.3497254,0.1694324,0.7558522,0.6193368,0.4701042,-0.06715903,-0.1092021,2337,968,2076,861,0,0,,
4334,6,10/12/2015 7:10:19 PM,Dark,3067.755,20.9034,20.61287,0.2905307,0.2869561,2310.158,0.03930756,0.2700281,0.2307205,0.2143208,0.7530451,0.4073888,0.4673241,0.004084267,-0.1051178,1542,449,1824,687,0,0,,
4334,7,10/12/2015 7:43:19 PM,Dark,4807.13,20.9034,20.45082,0.4525751,0.3476266,3655.768,0.03936976,0.4017333,0.3623635,0.2602846,0.7604887,0.6396071,0.4708633,0.09599305,-0.009124748,1773,615,1826,689,0,0,,
4334,8,10/12/2015 8:16:19 PM,Dark,4192.614,20.9034,20.50748,0.3959172,0.4169126,3407.563,0.03949415,0.374417,0.3349229,0.3146674,0.8127539,0.5654023,0.474838,-0.097524,-0.1066488,1440,749,2483,934,0,0,,
4334,9,10/12/2015 8:49:19 PM,Dark,2677.17,20.9034,20.65068,0.2527201,0.4697805,2035.671,0.03949415,0.2418162,0.202322,0.3565536,0.7603818,0.3561978,0.4695971,-0.1021932,-0.2088419,938,129,825,248,0,0,,
4334,10,10/12/2015 9:22:19 PM,Dark,3950.003,20.9034,20.53028,0.373114,0.5208344,3006.756,0.03943195,0.3384058,0.2989739,0.3953992,0.7612035,0.5256605,0.469381,0.08082581,-0.1280161,713,232,750,246,0,0,,
4334,11,10/12/2015 9:55:19 PM,Dark,4097.574,20.9034,20.51183,0.3915702,0.5828037,3268.303,0.03980513,0.3659585,0.3261533,0.4437223,0.797619,0.5504463,0.4676825,-0.03279622,-0.1608124,3366,1594,2010,759,0,0,,
4334,12,10/12/2015 10:28:19 PM,Dark,2504.749,20.9034,20.6657,0.2377003,0.6336107,1944.614,0.03968073,0.2332954,0.1936146,0.483836,0.7763706,0.3346387,0.4687611,0.04428101,-0.1165314,475,49,542,143,0,0,,
4334,13,10/12/2015 11:01:19 PM,Dark,2549.198,20.9034,20.66241,0.2409871,0.6725269,1988.15,0.04065099,0.2376864,0.1970354,0.5141191,0.7799121,0.3408886,0.4709356,-0.1831919,-0.2997233,225,8,137,57,0,0,,
4334,14,10/12/2015 11:34:19 PM,Dark,3053.569,20.9034,20.61365,0.2897482,0.715678,2429.062,0.03925781,0.2800664,0.2408086,0.5481403,0.7954829,0.4099751,0.470779,0.1921743,-0.107549,499,61,605,67,0,0,,
4334,15,10/13/2015 12:07:19 AM,Dark,3181.214,20.9034,20.60034,0.3030524,0.7636883,2586.682,0.03990464,0.2963616,0.256457,0.5867645,0.8131117,0.4290474,0.4707336,-0.100057,-0.207606,1906,828,1597,611,0,0,,
4334,16,10/13/2015 12:40:19 AM,Dark,2670.381,20.9034,20.64882,0.2545766,0.8087357,2170.081,0.03961854,0.2549519,0.2153334,0.6233835,0.8126485,0.3601092,0.4703391,-0.003580719,-0.2111867,1484,543,1349,518,0,0,,
4334,17,10/13/2015 1:13:19 AM,Dark,2458.176,20.9034,20.6704,0.2329944,0.8482215,1953.156,0.03861097,0.2320639,0.193453,0.6551282,0.7945549,0.3299585,0.471207,0.08192952,-0.1292572,248,23,220,53,0,0,,
4334,18,10/13/2015 1:45:19 AM,Dark,2652.264,20.9034,20.65463,0.2487655,0.8863832,2053.101,0.03843682,0.2405723,0.2021354,0.6850435,0.7740936,0.3541386,0.474049,-0.1506449,-0.2799021,766,340,546,208,0,0,,
4334,19,10/13/2015 2:18:19 AM,Dark,3851.394,20.9034,20.54153,0.361867,0.9364848,3052.636,0.03806365,0.3379082,0.2998446,0.7243772,0.7926056,0.5167096,0.4751479,0.002553284,-0.2773488,753,105,547,157,0,0,,
4334,20,10/13/2015 2:51:19 AM,Dark,2536.312,20.9034,20.66203,0.2413709,0.9856445,2059.296,0.03800146,0.2420152,0.2040137,0.7637197,0.8119252,0.3419663,0.4710904,-0.009292603,-0.2866414,1375,578,1136,498,0,0,,
4334,21,10/13/2015 3:24:19 AM,Dark,3459.882,20.9034,20.5753,0.3281007,1.031833,2910.553,0.03781487,0.3233172,0.2855023,0.8020041,0.841229,0.469987,0.4757772,0.05670676,-0.2299347,1258,362,655,205,0,0,,
4334,22,10/13/2015 3:57:19 AM,Dark,2564.313,20.9034,20.66077,0.2426255,1.078202,2085.839,0.03812585,0.2435079,0.2053821,0.8404602,0.8134103,0.3458731,0.4739833,-0.1721802,-0.4021148,348,24,255,76,0,0,,
4334,23,10/13/2015 4:30:19 AM,Dark,2373.691,20.9034,20.67954,0.223853,1.116221,1897.99,0.03836219,0.2251975,0.1868353,0.8711321,0.7995943,0.3190308,0.4741148,0.002588898,-0.3995259,489,191,391,102,0,0,,
4334,24,10/13/2015 5:03:19 AM,Dark,2320.512,20.9034,20.68387,0.2195221,1.152365,1868.7,0.03841195,0.2227097,0.1842978,0.900135,0.8052965,0.3123397,0.4732239,0.1079509,-0.2915751,62,1,112,42,0,0,,
4334,25,10/13/2015 5:36:19 AM,Dark,2292.887,20.9034,20.68477,0.2186238,1.187888,1842.292,0.03851146,0.2217146,0.1832031,0.9287091,0.8034816,0.3084779,0.4693247,-0.01941937,-0.3109944,682,109,448,71,0,0,,
4334,26,10/13/2015 6:09:19 AM,Dark,2082.739,20.9034,20.70796,0.1954406,1.221576,1595.431,0.03806365,0.195493,0.1574293,0.9551749,0.7660258,0.2775141,0.4729877,0.06513469,-0.2458598,136,15,102,36,0,0,,
4334,27,10/13/2015 6:42:19 AM,Dark,4266.427,20.9034,20.50063,0.4027686,1.270507,3372.492,0.03893439,0.3719292,0.3329948,0.9934624,0.7904723,0.5720773,0.4726777,-0.02470396,-0.2705637,1709,678,1665,531,0,0,,
4334,28,10/13/2015 7:15:19 AM,Light,3655.847,20.9034,20.55924,0.3441584,1.331497,3005.632,0.03915829,0.333057,0.2938987,1.042567,0.8221439,0.4941999,0.4772894,0.02921548,-0.2413482,2512,1190,2289,899,0,0,,
4334,29,10/13/2015 7:48:19 AM,Light,3797.754,20.9034,20.54429,0.3591047,1.388892,3138.042,0.03918317,0.3471132,0.30793,1.089876,0.8262888,0.513926,0.4756081,0.07503764,-0.1663106,1930,722,1669,693,0,0,,
4334,30,10/13/2015 8:21:19 AM,Light,2614.698,20.9034,20.65668,0.2467122,1.438245,2059.568,0.03930756,0.2426869,0.2033793,1.129876,0.7876884,0.3503489,0.4726308,-0.004089355,-0.1703999,121,31,217,55,0,0,,
4334,31,10/13/2015 8:54:19 AM,Light,3705.762,20.9034,20.55194,0.3514584,1.486934,3168.727,0.03980513,0.3497378,0.3099327,1.170156,0.8550811,0.5051579,0.4771485,0.1725159,0.002115905,1267,498,1459,458,0,0,,
4334,32,10/13/2015 9:27:19 AM,Light,2749.432,20.9034,20.64487,0.25853,1.53662,2181.28,0.03961854,0.2540065,0.214388,1.211332,0.7933567,0.3689398,0.4748568,0.03047179,0.0325877,755,44,1172,199,0,0,,
4334,33,10/13/2015 10:00:19 AM,Light,2541.879,20.9034,20.6627,0.2406993,1.577359,2042.924,0.0392578,0.2410076,0.2017498,1.243855,0.8037063,0.3419962,0.4725932,-0.1236064,-0.09101867,51,7,235,28,0,0,,
4334,34,10/13/2015 10:32:19 AM,Light,3903.479,20.9034,20.53757,0.3658303,1.625511,3073.295,0.04297709,0.3444388,0.3014617,1.282077,0.7873221,0.522986,0.4758054,0.1563314,0.06531271,1021,101,1207,198,0,0,,
4334,35,10/13/2015 11:05:19 AM,Light,2885.497,20.9034,20.62929,0.2741067,1.677766,2404.786,0.04223075,0.2789345,0.2367037,1.324245,0.8334046,0.3911843,0.474149,-0.03229268,0.03302003,570,112,670,95,0,0,,
4334,36,10/13/2015 11:38:19 AM,Light,2616.672,20.9034,20.65509,0.2483108,1.720128,2151.45,0.04204416,0.254106,0.2120619,1.359323,0.8222084,0.3537293,0.4734945,0.1299489,0.162969,130,10,537,20,0,0,,
4334,37,10/13/2015 12:11:19 PM,Light,3113.405,20.9034,20.60609,0.2973073,1.764259,2587.866,0.04036489,0.2965482,0.2561834,1.395824,0.8312011,0.421845,0.4714473,-0.05282592,0.110143,250,94,799,85,0,0,,
4334,38,10/13/2015 12:44:19 PM,Light,2640.94,20.9034,20.6542,0.2491954,1.808558,2184.742,0.03955634,0.2534467,0.2138904,1.432565,0.8272591,0.3574701,0.476707,-0.04004924,0.0700938,403,34,760,52,0,0,,
4334,39,10/13/2015 1:17:19 PM,Light,2664.324,20.9034,20.65145,0.2519439,1.849409,2088.533,0.03887219,0.2457345,0.2068623,1.465468,0.7838885,0.3566492,0.4712088,-0.02880351,0.0412903,728,10,379,29,0,0,,
4334,40,10/13/2015 1:50:19 PM,Light,2956.642,20.9034,20.62723,0.2761675,1.892696,2250.475,0.03849902,0.2597783,0.2212792,1.498881,0.7611591,0.3934608,0.474671,0.131017,0.1723073,824,11,175,32,0,0,,
4334,41,10/13/2015 2:23:19 PM,Light,4155.044,20.9034,20.50841,0.3949828,1.94748,3349.094,0.03825024,0.3701048,0.3318546,1.542019,0.806031,0.5593722,0.4710059,-0.03876241,0.1335449,1085,556,822,378,0,0,,
4334,42,10/13/2015 2:56:19 PM,Light,3970.765,20.9034,20.52262,0.3807791,2.010045,3405.399,0.03856121,0.3751633,0.3366021,1.59403,0.857618,0.5416298,0.4721563,-0.06296284,0.07058209,2112,897,1908,633,0,0,10/13/2015 3:18:45 PM - B6 injections commenced,
4334,43,10/13/2015 3:29:19 PM,Light,2753.578,20.9034,20.64213,0.2612685,2.061799,2218.403,0.04353686,0.2629626,0.2194258,1.63731,0.8056435,0.3706633,0.4718512,-0.06454467,0.006037422,498,87,391,81,0,0,10/13/2015 3:40:15 PM - injections completed,
4334,44,10/13/2015 4:02:19 PM,Light,2760.873,20.9034,20.64081,0.2625842,2.10426,2226.427,0.04343734,0.2641444,0.220707,1.671535,0.8064215,0.3717193,0.4708087,0.2301127,0.2361501,561,15,695,61,0,0,,
4334,45,10/13/2015 4:35:19 PM,Light,3985.254,20.9034,20.52348,0.3799131,2.156229,3379.116,0.04174562,0.3744792,0.3327336,1.71472,0.8479048,0.5422708,0.4739645,-0.1353963,0.1007538,1588,657,1558,371,0,0,,
4334,46,10/13/2015 5:08:19 PM,Light,2465.418,20.9034,20.66748,0.2359137,2.20587,2060.412,0.04086245,0.2450503,0.2041879,1.756579,0.835725,0.3344319,0.4709402,0.04259746,0.1433513,440,12,1111,167,0,0,,
4334,47,10/13/2015 5:41:19 PM,Light,3584.26,20.9034,20.56265,0.340742,2.252474,2952.844,0.04005391,0.331527,0.2914731,1.795199,0.8238364,0.4847319,0.4728093,-0.01476035,0.1285909,804,210,907,216,0,0,,
4334,48,10/13/2015 6:14:19 PM,Light,4161.804,20.9034,20.50019,0.4032047,2.31213,3705.71,0.03980513,0.4072562,0.3674511,1.846484,0.8904095,0.5723962,0.470652,0,0.1285909,2138,999,1866,639,0,0,,
4334,49,10/13/2015 6:47:19 PM,Light,4280.965,20.9034,20.48795,0.4154461,2.377142,3818.172,0.03918317,0.4183021,0.379119,1.90442,0.8918952,0.5890044,0.4700103,0.3118185,0.4404094,3257,1695,1630,802,0,0,,
4334,50,10/13/2015 7:19:19 PM,Dark,3969.035,20.9034,20.51565,0.3877513,2.438736,3629.436,0.03918317,0.4002282,0.361045,1.960025,0.9144379,0.5491734,0.469138,0.1824392,0.6228486,2810,1183,2242,941,0,0,,
4334,51,10/13/2015 7:52:19 PM,Dark,3024.104,20.9034,20.60937,0.2940318,2.492565,2728.223,0.03885975,0.3096715,0.2708117,2.008962,0.9021592,0.4171476,0.4701512,0.103363,0.7262116,942,128,706,219,0,0,,
4334,52,10/13/2015 8:25:19 PM,Dark,2877.012,20.9034,20.62499,0.2784052,2.538001,2551.518,0.03885975,0.2917592,0.2528994,2.049612,0.8868638,0.3953396,0.4708462,0.06240338,0.788615,677,18,243,55,0,0,,
4334,53,10/13/2015 8:58:19 PM,Dark,4346.013,20.9034,20.48321,0.4201832,2.593646,3956.812,0.03893439,0.4288008,0.3898664,2.099754,0.9104465,0.6007353,0.4736452,-0.1205444,0.6680706,1608,611,1308,489,0,0,,
4334,54,10/13/2015 9:31:19 PM,Dark,4118.99,20.9034,20.50222,0.4011776,2.658822,3765.294,0.03965586,0.4131026,0.3734468,2.15921,0.9141304,0.5698781,0.4705363,0.2754822,0.9435528,2675,1223,2460,1030,0,0,,
