Oxymax CSV File 

CSV Generation Date,10/12/2015 10:23:14 AM 
Experiment Started,10/7/2015 3:39:16 PM 
Data Filename,C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.CDTA

Group/Cage,0101
O2 Calibration Date,10/7/2015 3:31:23 PM
CO2 Calibration Date,10/7/2015 3:37:33 PM
Subject ID,4370
Subject Mass (G), 16 

Reference Settle Time (s), 55 
Reference Measure Time (s), 5 
Cage Settle Time (s), 55 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,YTOT,YAMB,WHEEL,WHEEL ACC,ENCLOSURE TEMP,ENCLOSURE SETPOINT,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,10/7/2015 3:41:21 PM ,4385,20.921,20.682,0.239,0.0,3782,0.042,0.255,0.212,0.0,0.862,0.3,0.48,STABLE / OPEN,0.00,0.00,231,48,7,1,0,0,25.0,25.0,
2,0101,10/7/2015 4:13:21 PM ,4368,20.921,20.680,0.241,0.0,4031,0.041,0.267,0.226,0.0,0.923,0.3,0.48,STABLE / OPEN,0.17,0.17,1905,960,1574,627,0,0,25.0,25.0,
3,0101,10/7/2015 4:46:21 PM ,2457,20.921,20.785,0.137,0.1,2269,0.039,0.168,0.128,0.1,0.923,0.2,0.47,STABLE / OPEN,0.05,0.22,486,22,49,2,0,0,25.2,25.0,
4,0101,10/7/2015 5:19:21 PM ,2692,20.921,20.773,0.148,0.1,2338,0.039,0.171,0.132,0.1,0.869,0.2,0.47,RESPONSE ERROR / OPEN,-0.04,0.17,32,5,222,1,0,0,25.4,25.0,
5,0101,10/7/2015 5:52:21 PM ,5064,20.921,20.643,0.279,0.1,4453,0.039,0.290,0.251,0.1,0.879,0.4,0.47,UNSTABLE / OPEN,0.00,0.17,1751,876,1122,585,0,0,25.5,25.0,
6,0101,10/7/2015 6:25:21 PM ,5560,20.921,20.620,0.301,0.2,4451,0.039,0.291,0.251,0.2,0.801,0.4,0.47,UNSTABLE / OPEN,0.01,0.18,2947,1417,1842,890,0,0,25.6,25.0,
7,0101,10/7/2015 6:58:21 PM ,5498,20.921,20.623,0.298,0.2,4395,0.040,0.288,0.249,0.2,0.799,0.4,0.47,UNSTABLE / OPEN,-0.02,0.16,2792,1618,2023,1223,0,0,25.4,25.0,
8,0101,10/7/2015 7:31:21 PM ,5578,20.921,20.617,0.304,0.3,4881,0.040,0.314,0.273,0.2,0.875,0.4,0.48,STABLE / OPEN,0.16,0.32,2997,1758,1846,1140,0,0,24.9,25.0,
9,0101,10/7/2015 8:04:21 PM ,5715,20.921,20.609,0.312,0.3,4776,0.040,0.310,0.270,0.3,0.836,0.4,0.47,UNSTABLE / OPEN,0.03,0.35,2996,1852,2131,1378,0,0,25.6,25.0,
10,0101,10/7/2015 8:37:21 PM ,6159,20.921,20.587,0.334,0.4,5135,0.040,0.329,0.288,0.3,0.834,0.5,0.47,STABLE / OPEN,-0.53,-0.19,2494,1463,1548,992,0,0,25.1,25.0,
11,0101,10/7/2015 9:10:21 PM ,5843,20.921,20.602,0.319,0.4,5030,0.041,0.324,0.283,0.4,0.861,0.5,0.47,STABLE / OPEN,0.60,0.41,2844,1739,1822,1076,0,0,25.4,25.0,
12,0101,10/7/2015 9:43:21 PM ,5268,20.921,20.630,0.291,0.5,4744,0.041,0.309,0.268,0.4,0.901,0.4,0.47,STABLE / OPEN,0.43,0.84,3126,1874,2463,1289,0,0,25.3,25.0,
13,0101,10/7/2015 10:16:21 PM ,5104,20.921,20.639,0.282,0.5,4763,0.041,0.308,0.267,0.4,0.933,0.4,0.48,STABLE / OPEN,-0.05,0.79,3370,2110,2539,1378,0,0,24.9,25.0,
14,0101,10/7/2015 10:49:21 PM ,4794,20.921,20.655,0.266,0.6,4495,0.041,0.293,0.252,0.5,0.937,0.4,0.47,UNSTABLE / OPEN,0.23,1.02,2974,1781,1736,922,0,0,25.6,25.0,
15,0101,10/7/2015 11:22:21 PM ,4383,20.921,20.677,0.244,0.6,4112,0.040,0.272,0.232,0.5,0.938,0.3,0.47,UNSTABLE / OPEN,-0.06,0.96,3358,1740,1526,759,0,0,25.2,25.0,
16,0101,10/7/2015 11:55:21 PM ,2961,20.921,20.758,0.164,0.6,2845,0.040,0.199,0.159,0.6,0.961,0.2,0.48,STABLE / OPEN,0.20,1.16,1917,436,497,216,0,0,25.1,25.0,
17,0101,10/8/2015 12:28:21 AM ,2523,20.921,20.780,0.141,0.7,2461,0.040,0.179,0.138,0.6,0.975,0.2,0.47,UNSTABLE / OPEN,0.04,1.20,15,2,0,0,0,0,25.5,25.0,
18,0101,10/8/2015 1:00:21 AM ,2458,20.921,20.783,0.138,0.7,2364,0.039,0.172,0.134,0.6,0.962,0.2,0.47,STABLE / OPEN,-0.22,0.98,355,2,0,0,0,0,25.0,25.0,
19,0101,10/8/2015 1:33:21 AM ,4882,20.921,20.649,0.272,0.7,4418,0.039,0.290,0.251,0.6,0.905,0.4,0.47,STABLE / OPEN,0.14,1.11,971,429,337,198,0,0,25.4,25.0,
20,0101,10/8/2015 2:06:21 AM ,5083,20.921,20.642,0.279,0.8,4462,0.039,0.290,0.251,0.7,0.878,0.4,0.47,UNSTABLE / OPEN,0.12,1.23,3344,2087,1959,1121,0,0,25.5,25.0,
21,0101,10/8/2015 2:39:21 AM ,4182,20.921,20.687,0.234,0.8,4037,0.039,0.266,0.227,0.7,0.965,0.3,0.47,STABLE / OPEN,0.13,1.36,2747,1284,1535,669,0,0,25.2,25.0,
22,0101,10/8/2015 3:12:21 AM ,2658,20.921,20.775,0.146,0.8,2467,0.039,0.176,0.138,0.7,0.928,0.2,0.48,STABLE / OPEN,-0.04,1.32,830,23,5,0,0,0,24.9,25.0,
23,0101,10/8/2015 3:45:21 AM ,2660,20.921,20.774,0.147,0.8,2342,0.039,0.171,0.133,0.8,0.880,0.2,0.47,UNSTABLE / OPEN,-0.01,1.30,472,13,0,0,0,0,25.5,25.0,
24,0101,10/8/2015 4:18:21 AM ,2436,20.921,20.787,0.134,0.9,2203,0.039,0.163,0.124,0.8,0.904,0.2,0.47,UNSTABLE / OPEN,-0.05,1.25,521,6,0,0,0,0,25.2,25.0,
25,0101,10/8/2015 4:51:21 AM ,4442,20.921,20.679,0.242,0.9,3766,0.039,0.251,0.212,0.8,0.848,0.3,0.47,STABLE / OPEN,0.08,1.33,2928,1628,1846,1081,0,0,24.9,25.0,
26,0101,10/8/2015 5:24:21 AM ,3262,20.921,20.745,0.176,0.9,2644,0.039,0.188,0.148,0.8,0.811,0.3,0.47,STABLE / OPEN,-0.02,1.31,2003,635,871,349,0,0,25.6,25.0,
27,0101,10/8/2015 5:57:21 AM ,4372,20.921,20.682,0.239,1.0,3845,0.041,0.256,0.216,0.9,0.880,0.3,0.48,UNSTABLE / OPEN,0.21,1.53,2224,1320,1408,722,0,0,25.2,25.0,
28,0101,10/8/2015 6:30:21 AM ,4888,20.921,20.652,0.269,1.0,4578,0.041,0.296,0.256,0.9,0.937,0.4,0.48,STABLE / OPEN,0.05,1.58,1904,981,1118,593,0,0,24.9,25.0,
29,0101,10/8/2015 7:03:21 AM ,2891,20.921,20.762,0.159,1.0,2703,0.041,0.193,0.151,0.9,0.935,0.2,0.48,STABLE / OPEN,0.04,1.62,1310,632,730,355,0,0,25.0,25.0,
30,0101,10/8/2015 7:36:21 AM ,2588,20.921,20.780,0.141,1.1,2171,0.042,0.164,0.122,0.9,0.839,0.2,0.47,STABLE / OPEN,-0.05,1.56,140,0,0,0,0,0,25.2,25.0,
31,0101,10/8/2015 8:09:21 AM ,2398,20.921,20.792,0.129,1.1,1899,0.042,0.149,0.107,1.0,0.792,0.2,0.47,STABLE / OPEN,-0.06,1.50,7,0,0,0,0,0,25.6,25.0,
32,0101,10/8/2015 8:42:21 AM ,2543,20.921,20.786,0.136,1.1,1979,0.042,0.153,0.111,1.0,0.778,0.2,0.48,STABLE / OPEN,-0.01,1.49,87,0,0,0,0,0,25.6,25.0,
33,0101,10/8/2015 9:15:21 AM ,4144,20.921,20.695,0.226,1.1,3670,0.042,0.247,0.205,1.0,0.886,0.3,0.48,STABLE / OPEN,0.25,1.74,1945,942,1000,460,0,0,25.2,25.0,
34,0101,10/8/2015 9:47:21 AM ,2422,20.921,20.790,0.131,1.2,2061,0.041,0.156,0.115,1.0,0.851,0.2,0.48,STABLE / OPEN,0.00,1.74,329,11,31,0,0,0,25.1,25.0,
35,0101,10/8/2015 10:20:21 AM ,4133,20.921,20.696,0.225,1.2,3628,0.043,0.246,0.203,1.1,0.878,0.3,0.48,STABLE / OPEN,0.05,1.79,1150,578,717,316,0,0,24.9,25.0,
36,0101,10/8/2015 10:53:21 AM ,2434,20.921,20.788,0.133,1.2,2168,0.043,0.165,0.121,1.1,0.891,0.2,0.48,STABLE / OPEN,0.05,1.84,230,89,255,37,0,0,25.0,25.0,
37,0101,10/8/2015 11:26:21 AM ,2679,20.921,20.777,0.145,1.3,2216,0.043,0.167,0.124,1.1,0.827,0.2,0.48,STABLE / OPEN,0.00,1.84,69,15,29,0,0,0,25.3,25.0,
38,0101,10/8/2015 11:59:21 AM ,2613,20.921,20.782,0.140,1.3,2028,0.042,0.156,0.114,1.1,0.776,0.2,0.48,STABLE / OPEN,-0.11,1.73,85,12,9,0,0,0,25.5,25.0,
39,0101,10/8/2015 12:32:21 PM ,4876,20.921,20.653,0.268,1.3,4279,0.042,0.283,0.242,1.1,0.878,0.4,0.47,STABLE / OPEN,0.09,1.82,1554,638,730,335,0,0,25.6,25.0,
40,0101,10/8/2015 1:05:21 PM ,2775,20.921,20.771,0.151,1.3,2431,0.041,0.176,0.135,1.2,0.876,0.2,0.48,STABLE / OPEN,-0.11,1.71,932,264,437,138,0,0,25.0,25.0,
41,0101,10/8/2015 1:38:21 PM ,2375,20.921,20.793,0.129,1.4,2010,0.040,0.153,0.112,1.2,0.846,0.2,0.48,STABLE / OPEN,0.17,1.88,29,2,0,0,0,0,25.1,25.0,
42,0101,10/8/2015 2:11:21 PM ,2442,20.921,20.789,0.133,1.4,1980,0.040,0.152,0.112,1.2,0.811,0.2,0.47,STABLE / OPEN,0.00,1.88,26,2,18,3,0,0,25.5,25.0,
43,0101,10/8/2015 2:44:21 PM ,4940,20.921,20.651,0.270,1.4,4289,0.040,0.281,0.241,1.2,0.868,0.4,0.47,STABLE / OPEN,0.05,1.94,1371,783,840,431,0,0,25.3,25.0,
44,0101,10/8/2015 3:17:21 PM ,4355,20.921,20.682,0.240,1.5,3970,0.039,0.262,0.222,1.3,0.912,0.3,0.48,UNSTABLE / OPEN,0.15,2.09,2598,1122,1221,616,0,0,25.1,25.0,
