Oxymax CSV File 

CSV Generation Date,10/12/2015 10:23:16 AM 
Experiment Started,10/7/2015 3:39:16 PM 
Data Filename,C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.CDTA

Group/Cage,0104
O2 Calibration Date,10/7/2015 3:31:23 PM
CO2 Calibration Date,10/7/2015 3:37:33 PM
Subject ID,4397
Subject Mass (G), 18.7 

Reference Settle Time (s), 55 
Reference Measure Time (s), 5 
Cage Settle Time (s), 55 
Cage Measure Time (s), 5 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,YTOT,YAMB,WHEEL,WHEEL ACC,ENCLOSURE TEMP,ENCLOSURE SETPOINT,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,10/7/2015 3:44:21 PM ,5380,20.921,20.578,0.344,0.0,4379,0.042,0.333,0.291,0.0,0.814,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,554,350,446,279,0,0,25.6,25.0,
2,0104,10/7/2015 4:17:21 PM ,4786,20.921,20.609,0.313,0.1,4295,0.040,0.327,0.287,0.0,0.897,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3479,2140,2554,1373,0,0,25.5,25.0,
3,0104,10/7/2015 4:50:21 PM ,2940,20.921,20.729,0.192,0.1,2654,0.039,0.216,0.177,0.1,0.903,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1611,602,1148,246,0,0,25.2,25.0,
4,0104,10/7/2015 5:23:21 PM ,3120,20.921,20.723,0.198,0.1,2631,0.039,0.212,0.173,0.1,0.843,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,132,31,53,0,0,0,25.0,25.0,
5,0104,10/7/2015 5:55:21 PM ,5122,20.921,20.589,0.332,0.2,4446,0.039,0.335,0.296,0.1,0.868,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2198,988,1568,629,0,0,25.1,25.0,
6,0104,10/7/2015 6:28:21 PM ,5029,20.921,20.592,0.330,0.2,4671,0.039,0.350,0.311,0.2,0.929,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3362,1720,2185,936,0,0,24.9,25.0,
7,0104,10/7/2015 7:01:21 PM ,4915,20.921,20.596,0.325,0.3,4606,0.040,0.349,0.309,0.2,0.937,0.5,0.46,CELL NOT RESPONDING / OPEN,0.00,0.00,2675,1496,1919,968,0,0,25.6,25.0,
8,0104,10/7/2015 7:34:21 PM ,4606,20.921,20.618,0.303,0.3,4408,0.040,0.333,0.292,0.3,0.957,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2883,1925,1854,1144,0,0,25.2,25.0,
9,0104,10/7/2015 8:07:21 PM ,4649,20.921,20.611,0.310,0.4,4490,0.040,0.342,0.302,0.3,0.966,0.4,0.46,CELL NOT RESPONDING / OPEN,0.00,0.00,4102,2735,2533,1501,0,0,25.2,25.0,
10,0104,10/7/2015 8:40:21 PM ,4452,20.921,20.627,0.294,0.4,4168,0.040,0.319,0.279,0.4,0.936,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2796,1388,1228,529,0,0,25.4,25.0,
11,0104,10/7/2015 9:13:21 PM ,3033,20.921,20.721,0.200,0.4,2882,0.041,0.233,0.192,0.4,0.950,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1380,674,671,293,0,0,24.9,25.0,
12,0104,10/7/2015 9:46:21 PM ,2696,20.921,20.742,0.179,0.5,2564,0.041,0.214,0.172,0.4,0.951,0.3,0.46,CELL NOT RESPONDING / OPEN,0.00,0.00,647,21,6,0,0,0,25.6,25.0,
13,0104,10/7/2015 10:19:21 PM ,4250,20.921,20.642,0.279,0.5,4056,0.041,0.310,0.269,0.5,0.954,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,759,102,4,2,0,0,25.2,25.0,
14,0104,10/7/2015 10:52:21 PM ,4650,20.921,20.615,0.307,0.6,4436,0.041,0.336,0.295,0.5,0.954,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3306,2026,2068,1230,0,0,25.2,25.0,
15,0104,10/7/2015 11:25:21 PM ,4835,20.921,20.601,0.321,0.6,4626,0.040,0.350,0.310,0.6,0.957,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,4253,2750,2500,1458,0,0,25.5,25.0,
16,0104,10/7/2015 11:58:21 PM ,5534,20.921,20.560,0.362,0.7,5211,0.040,0.385,0.345,0.6,0.942,0.5,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,5248,3476,2633,1592,0,0,25.1,25.0,
17,0104,10/8/2015 12:31:21 AM ,4404,20.921,20.629,0.292,0.7,4281,0.040,0.326,0.285,0.7,0.972,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,4441,2575,2435,1311,0,0,25.3,25.0,
18,0104,10/8/2015 1:04:21 AM ,2867,20.921,20.731,0.191,0.8,2761,0.039,0.224,0.185,0.7,0.963,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,625,132,48,5,0,0,25.4,25.0,
19,0104,10/8/2015 1:37:21 AM ,3147,20.921,20.713,0.208,0.8,3105,0.039,0.245,0.206,0.7,0.987,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,399,38,0,0,0,0,25.0,25.0,
20,0104,10/8/2015 2:10:21 AM ,4473,20.921,20.625,0.296,0.8,4471,0.039,0.335,0.296,0.8,1.000,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1141,388,232,109,0,0,25.2,25.0,
21,0104,10/8/2015 2:42:21 AM ,4205,20.921,20.640,0.281,0.9,4176,0.039,0.318,0.279,0.8,0.993,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3811,2453,2180,1258,0,0,25.4,25.0,
22,0104,10/8/2015 3:15:21 AM ,3774,20.921,20.674,0.247,0.9,3603,0.039,0.277,0.238,0.9,0.955,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2159,1047,829,355,0,0,25.1,25.0,
23,0104,10/8/2015 3:48:21 AM ,2726,20.921,20.740,0.181,0.9,2657,0.039,0.216,0.178,0.9,0.975,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,119,24,0,0,0,0,25.1,25.0,
24,0104,10/8/2015 4:21:21 AM ,4647,20.921,20.613,0.308,1.0,4507,0.039,0.340,0.300,0.9,0.970,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2364,1313,1384,718,0,0,25.4,25.0,
25,0104,10/8/2015 4:54:21 AM ,4393,20.921,20.631,0.290,1.0,4236,0.039,0.321,0.282,1.0,0.964,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,4204,2674,2113,1176,0,0,25.2,25.0,
26,0104,10/8/2015 5:27:21 AM ,3842,20.921,20.669,0.253,1.1,3628,0.039,0.281,0.241,1.0,0.944,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,2378,786,555,276,0,0,24.9,25.0,
27,0104,10/8/2015 6:00:21 AM ,4577,20.921,20.619,0.302,1.1,4351,0.041,0.331,0.291,1.0,0.951,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3541,2172,2138,1224,0,0,25.5,25.0,
28,0104,10/8/2015 6:33:21 AM ,4281,20.921,20.641,0.280,1.2,4097,0.041,0.311,0.271,1.1,0.957,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3979,2504,2359,1369,0,0,25.4,25.0,
29,0104,10/8/2015 7:06:21 AM ,2718,20.921,20.744,0.178,1.2,2552,0.041,0.210,0.169,1.1,0.939,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1407,512,391,214,0,0,25.6,25.0,
30,0104,10/8/2015 7:39:21 AM ,3357,20.921,20.705,0.216,1.2,2869,0.042,0.232,0.191,1.2,0.855,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,319,52,10,5,0,0,25.4,25.0,
31,0104,10/8/2015 8:12:21 AM ,3107,20.921,20.721,0.200,1.3,2647,0.042,0.218,0.176,1.2,0.852,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,1758,794,1049,501,0,0,25.0,25.0,
32,0104,10/8/2015 8:45:21 AM ,3212,20.921,20.718,0.204,1.3,2580,0.042,0.213,0.171,1.2,0.803,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,108,22,8,0,0,0,24.9,25.0,
33,0104,10/8/2015 9:18:21 AM ,3395,20.921,20.708,0.213,1.3,2653,0.042,0.217,0.175,1.2,0.782,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,190,29,10,1,0,0,25.1,25.0,
34,0104,10/8/2015 9:51:21 AM ,3574,20.921,20.696,0.226,1.4,2757,0.041,0.224,0.183,1.3,0.771,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,312,44,7,1,0,0,25.4,25.0,
35,0104,10/8/2015 10:24:21 AM ,4898,20.921,20.607,0.314,1.4,3951,0.043,0.308,0.264,1.3,0.807,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3787,2326,2234,1277,0,0,25.7,25.0,
36,0104,10/8/2015 10:57:21 AM ,4217,20.921,20.652,0.269,1.4,3396,0.043,0.269,0.226,1.3,0.805,0.4,0.47,RESPONSE ERROR / OPEN,0.00,0.00,3045,1571,1278,671,0,0,25.5,25.0,
37,0104,10/8/2015 11:29:21 AM ,3380,20.921,20.709,0.212,1.5,2522,0.043,0.210,0.167,1.4,0.746,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,185,25,10,0,0,0,25.5,25.0,
38,0104,10/8/2015 12:02:21 PM ,3450,20.921,20.705,0.216,1.5,2523,0.042,0.209,0.167,1.4,0.731,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,312,65,16,1,0,0,25.1,25.0,
39,0104,10/8/2015 12:35:21 PM ,3486,20.921,20.700,0.221,1.6,2763,0.042,0.225,0.183,1.4,0.793,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,459,74,45,0,0,0,25.0,25.0,
40,0104,10/8/2015 1:08:21 PM ,4590,20.921,20.630,0.291,1.6,3789,0.041,0.290,0.249,1.5,0.826,0.4,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,3198,1692,1782,951,0,0,25.3,25.0,
41,0104,10/8/2015 1:41:21 PM ,2874,20.921,20.736,0.185,1.6,2512,0.040,0.207,0.166,1.5,0.874,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,800,288,287,128,0,0,25.5,25.0,
42,0104,10/8/2015 2:14:21 PM ,3225,20.921,20.713,0.208,1.7,2697,0.040,0.220,0.180,1.5,0.836,0.3,0.47,CELL NOT RESPONDING / OPEN,0.00,0.00,254,29,21,0,0,0,25.1,25.0,
