Oxymax Activity CSV File

CSV FILE CREATION:10/12/2015 10:23:15 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.ADTA

GROUP/CAGE:0101
SUBJECT ID:4370
SUBJECT MASS:16 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,WHEEL,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0101,10/7/2015 3:41:21 PM , 229 , 47 , 7 , 1 , 0 ,
 1 ,0101,10/7/2015 3:42:21 PM , 114 , 62 , 101 , 50 , 0 ,
 1 ,0101,10/7/2015 3:43:21 PM , 20 , 17 , 40 , 20 , 0 ,
 1 ,0101,10/7/2015 3:44:21 PM , 96 , 59 , 81 , 32 , 0 ,
 1 ,0101,10/7/2015 3:45:21 PM , 86 , 51 , 64 , 34 , 0 ,
 1 ,0101,10/7/2015 3:46:21 PM , 70 , 50 , 56 , 37 , 0 ,
 1 ,0101,10/7/2015 3:47:21 PM , 31 , 17 , 76 , 40 , 0 ,
 1 ,0101,10/7/2015 3:48:21 PM , 105 , 55 , 66 , 36 , 0 ,
 1 ,0101,10/7/2015 3:49:21 PM , 137 , 94 , 96 , 56 , 0 ,
 1 ,0101,10/7/2015 3:50:21 PM , 94 , 65 , 68 , 30 , 0 ,
 1 ,0101,10/7/2015 3:51:21 PM , 81 , 59 , 62 , 37 , 0 ,
 1 ,0101,10/7/2015 3:52:21 PM , 29 , 14 , 37 , 14 , 0 ,
 1 ,0101,10/7/2015 3:53:21 PM , 70 , 26 , 52 , 15 , 0 ,
 1 ,0101,10/7/2015 3:54:21 PM , 90 , 54 , 38 , 15 , 0 ,
 1 ,0101,10/7/2015 3:55:21 PM , 87 , 32 , 71 , 17 , 0 ,
 1 ,0101,10/7/2015 3:56:21 PM , 67 , 4 , 76 , 0 , 0 ,
 1 ,0101,10/7/2015 3:57:21 PM , 98 , 60 , 101 , 34 , 0 ,
 1 ,0101,10/7/2015 3:58:21 PM , 37 , 23 , 39 , 28 , 0 ,
 1 ,0101,10/7/2015 3:59:21 PM , 38 , 9 , 32 , 5 , 0 ,
 1 ,0101,10/7/2015 4:00:21 PM , 0 , 0 , 1 , 1 , 0 ,
 1 ,0101,10/7/2015 4:01:21 PM , 0 , 0 , 10 , 3 , 0 ,
 1 ,0101,10/7/2015 4:02:21 PM , 55 , 27 , 48 , 24 , 0 ,
 1 ,0101,10/7/2015 4:03:21 PM , 56 , 28 , 58 , 28 , 0 ,
 1 ,0101,10/7/2015 4:04:21 PM , 27 , 3 , 12 , 1 , 0 ,
 1 ,0101,10/7/2015 4:05:21 PM , 58 , 5 , 28 , 0 , 0 ,
 1 ,0101,10/7/2015 4:06:21 PM , 49 , 3 , 52 , 4 , 0 ,
 1 ,0101,10/7/2015 4:07:21 PM , 93 , 29 , 46 , 0 , 0 ,
 1 ,0101,10/7/2015 4:08:21 PM , 63 , 53 , 66 , 38 , 0 ,
 1 ,0101,10/7/2015 4:09:21 PM , 22 , 1 , 12 , 0 , 0 ,
 1 ,0101,10/7/2015 4:10:21 PM , 99 , 57 , 44 , 18 , 0 ,
 1 ,0101,10/7/2015 4:11:21 PM , 26 , 3 , 35 , 9 , 0 ,
 1 ,0101,10/7/2015 4:12:21 PM , 8 , 0 , 6 , 1 , 0 ,
 2 ,0101,10/7/2015 4:13:21 PM , 1 , 1 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:14:21 PM , 13 , 0 , 1 , 0 , 0 ,
 2 ,0101,10/7/2015 4:15:21 PM , 1 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:16:21 PM , 2 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:17:21 PM , 3 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:18:21 PM , 43 , 10 , 14 , 1 , 0 ,
 2 ,0101,10/7/2015 4:19:21 PM , 49 , 2 , 1 , 1 , 0 ,
 2 ,0101,10/7/2015 4:20:21 PM , 74 , 3 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:21:21 PM , 2 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:22:21 PM , 51 , 6 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:23:21 PM , 35 , 1 , 2 , 0 , 0 ,
 2 ,0101,10/7/2015 4:24:21 PM , 51 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:25:21 PM , 77 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:26:21 PM , 7 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:27:21 PM , 2 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:28:21 PM , 3 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:29:21 PM , 18 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:30:21 PM , 21 , 0 , 3 , 0 , 0 ,
 2 ,0101,10/7/2015 4:31:21 PM , 0 , 0 , 7 , 0 , 0 ,
 2 ,0101,10/7/2015 4:32:21 PM , 1 , 0 , 18 , 0 , 0 ,
 2 ,0101,10/7/2015 4:33:21 PM , 23 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:34:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:35:21 PM , 8 , 0 , 1 , 0 , 0 ,
 2 ,0101,10/7/2015 4:36:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:37:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:38:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:39:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:40:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:41:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:42:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:43:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:44:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0101,10/7/2015 4:45:21 PM , 2 , 0 , 2 , 0 , 0 ,
 3 ,0101,10/7/2015 4:46:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 4:47:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 4:48:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 4:49:21 PM , 0 , 0 , 3 , 0 , 0 ,
 3 ,0101,10/7/2015 4:50:21 PM , 0 , 0 , 1 , 0 , 0 ,
 3 ,0101,10/7/2015 4:51:21 PM , 0 , 0 , 4 , 0 , 0 ,
 3 ,0101,10/7/2015 4:52:21 PM , 0 , 0 , 14 , 0 , 0 ,
 3 ,0101,10/7/2015 4:53:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 4:54:21 PM , 0 , 0 , 19 , 0 , 0 ,
 3 ,0101,10/7/2015 4:55:21 PM , 0 , 0 , 27 , 0 , 0 ,
 3 ,0101,10/7/2015 4:56:21 PM , 0 , 0 , 1 , 0 , 0 ,
 3 ,0101,10/7/2015 4:57:21 PM , 4 , 1 , 7 , 0 , 0 ,
 3 ,0101,10/7/2015 4:58:21 PM , 0 , 0 , 51 , 0 , 0 ,
 3 ,0101,10/7/2015 4:59:21 PM , 0 , 0 , 9 , 0 , 0 ,
 3 ,0101,10/7/2015 5:00:21 PM , 0 , 0 , 8 , 0 , 0 ,
 3 ,0101,10/7/2015 5:01:21 PM , 0 , 0 , 6 , 0 , 0 ,
 3 ,0101,10/7/2015 5:02:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 5:03:21 PM , 0 , 0 , 37 , 0 , 0 ,
 3 ,0101,10/7/2015 5:04:21 PM , 0 , 0 , 18 , 0 , 0 ,
 3 ,0101,10/7/2015 5:05:21 PM , 0 , 0 , 3 , 0 , 0 ,
 3 ,0101,10/7/2015 5:06:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 5:07:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 5:08:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 5:09:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 5:10:21 PM , 13 , 1 , 10 , 1 , 0 ,
 3 ,0101,10/7/2015 5:11:21 PM , 3 , 0 , 2 , 0 , 0 ,
 3 ,0101,10/7/2015 5:12:21 PM , 2 , 0 , 1 , 0 , 0 ,
 3 ,0101,10/7/2015 5:13:21 PM , 1 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 5:14:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 5:15:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 5:16:21 PM , 5 , 2 , 1 , 0 , 0 ,
 3 ,0101,10/7/2015 5:17:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0101,10/7/2015 5:18:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:19:21 PM , 4 , 1 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:20:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:21:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:22:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:23:21 PM , 13 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:24:21 PM , 14 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:25:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:26:21 PM , 1 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:27:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:28:21 PM , 19 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:29:21 PM , 5 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:30:21 PM , 47 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:31:21 PM , 17 , 0 , 0 , 0 , 0 ,
 4 ,0101,10/7/2015 5:32:21 PM , 13 , 0 , 2 , 1 , 0 ,
 4 ,0101,10/7/2015 5:33:21 PM , 90 , 58 , 37 , 13 , 0 ,
 4 ,0101,10/7/2015 5:34:21 PM , 28 , 3 , 26 , 5 , 0 ,
 4 ,0101,10/7/2015 5:35:21 PM , 47 , 14 , 34 , 14 , 0 ,
 4 ,0101,10/7/2015 5:36:21 PM , 93 , 43 , 45 , 32 , 0 ,
 4 ,0101,10/7/2015 5:37:21 PM , 127 , 22 , 6 , 0 , 0 ,
 4 ,0101,10/7/2015 5:38:21 PM , 130 , 36 , 17 , 0 , 0 ,
 4 ,0101,10/7/2015 5:39:21 PM , 99 , 59 , 45 , 24 , 0 ,
 4 ,0101,10/7/2015 5:40:21 PM , 97 , 79 , 92 , 72 , 0 ,
 4 ,0101,10/7/2015 5:41:21 PM , 83 , 60 , 71 , 46 , 0 ,
 4 ,0101,10/7/2015 5:42:21 PM , 50 , 28 , 73 , 40 , 0 ,
 4 ,0101,10/7/2015 5:43:21 PM , 106 , 64 , 74 , 31 , 0 ,
 4 ,0101,10/7/2015 5:44:21 PM , 133 , 91 , 89 , 43 , 0 ,
 4 ,0101,10/7/2015 5:45:21 PM , 37 , 14 , 65 , 14 , 0 ,
 4 ,0101,10/7/2015 5:46:21 PM , 148 , 92 , 89 , 65 , 0 ,
 4 ,0101,10/7/2015 5:47:21 PM , 86 , 63 , 59 , 35 , 0 ,
 4 ,0101,10/7/2015 5:48:21 PM , 103 , 65 , 67 , 35 , 0 ,
 4 ,0101,10/7/2015 5:49:21 PM , 48 , 22 , 27 , 22 , 0 ,
 4 ,0101,10/7/2015 5:50:21 PM , 86 , 54 , 96 , 57 , 0 ,
 4 ,0101,10/7/2015 5:51:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0101,10/7/2015 5:52:21 PM , 31 , 9 , 108 , 36 , 0 ,
 5 ,0101,10/7/2015 5:53:21 PM , 141 , 86 , 90 , 53 , 0 ,
 5 ,0101,10/7/2015 5:54:21 PM , 101 , 14 , 15 , 1 , 0 ,
 5 ,0101,10/7/2015 5:55:21 PM , 50 , 3 , 2 , 0 , 0 ,
 5 ,0101,10/7/2015 5:56:21 PM , 102 , 16 , 59 , 0 , 0 ,
 5 ,0101,10/7/2015 5:57:21 PM , 209 , 83 , 159 , 25 , 0 ,
 5 ,0101,10/7/2015 5:58:21 PM , 84 , 60 , 61 , 40 , 0 ,
 5 ,0101,10/7/2015 5:59:21 PM , 129 , 76 , 127 , 80 , 0 ,
 5 ,0101,10/7/2015 6:00:21 PM , 62 , 43 , 28 , 18 , 0 ,
 5 ,0101,10/7/2015 6:01:21 PM , 111 , 73 , 89 , 55 , 0 ,
 5 ,0101,10/7/2015 6:02:21 PM , 97 , 63 , 91 , 53 , 0 ,
 5 ,0101,10/7/2015 6:03:21 PM , 76 , 31 , 42 , 27 , 0 ,
 5 ,0101,10/7/2015 6:04:21 PM , 157 , 20 , 12 , 0 , 0 ,
 5 ,0101,10/7/2015 6:05:21 PM , 121 , 49 , 40 , 13 , 0 ,
 5 ,0101,10/7/2015 6:06:21 PM , 59 , 0 , 65 , 10 , 0 ,
 5 ,0101,10/7/2015 6:07:21 PM , 119 , 83 , 86 , 38 , 0 ,
 5 ,0101,10/7/2015 6:08:21 PM , 219 , 149 , 104 , 61 , 0 ,
 5 ,0101,10/7/2015 6:09:21 PM , 77 , 52 , 59 , 38 , 0 ,
 5 ,0101,10/7/2015 6:10:21 PM , 2 , 1 , 0 , 0 , 0 ,
 5 ,0101,10/7/2015 6:11:21 PM , 1 , 0 , 0 , 0 , 0 ,
 5 ,0101,10/7/2015 6:12:21 PM , 76 , 31 , 69 , 35 , 0 ,
 5 ,0101,10/7/2015 6:13:21 PM , 83 , 48 , 65 , 39 , 0 ,
 5 ,0101,10/7/2015 6:14:21 PM , 36 , 26 , 19 , 14 , 0 ,
 5 ,0101,10/7/2015 6:15:21 PM , 36 , 8 , 2 , 0 , 0 ,
 5 ,0101,10/7/2015 6:16:21 PM , 96 , 17 , 25 , 0 , 0 ,
 5 ,0101,10/7/2015 6:17:21 PM , 115 , 71 , 58 , 38 , 0 ,
 5 ,0101,10/7/2015 6:18:21 PM , 70 , 36 , 71 , 42 , 0 ,
 5 ,0101,10/7/2015 6:19:21 PM , 98 , 39 , 116 , 80 , 0 ,
 5 ,0101,10/7/2015 6:20:21 PM , 70 , 44 , 63 , 32 , 0 ,
 5 ,0101,10/7/2015 6:21:21 PM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0101,10/7/2015 6:22:21 PM , 117 , 71 , 59 , 20 , 0 ,
 5 ,0101,10/7/2015 6:23:21 PM , 114 , 64 , 68 , 27 , 0 ,
 5 ,0101,10/7/2015 6:24:21 PM , 55 , 44 , 49 , 42 , 0 ,
 6 ,0101,10/7/2015 6:25:21 PM , 64 , 16 , 44 , 9 , 0 ,
 6 ,0101,10/7/2015 6:26:21 PM , 89 , 49 , 94 , 47 , 0 ,
 6 ,0101,10/7/2015 6:27:21 PM , 41 , 21 , 32 , 17 , 0 ,
 6 ,0101,10/7/2015 6:28:21 PM , 44 , 10 , 49 , 25 , 0 ,
 6 ,0101,10/7/2015 6:29:21 PM , 74 , 45 , 97 , 60 , 0 ,
 6 ,0101,10/7/2015 6:30:21 PM , 36 , 24 , 33 , 23 , 0 ,
 6 ,0101,10/7/2015 6:31:21 PM , 90 , 46 , 36 , 21 , 0 ,
 6 ,0101,10/7/2015 6:32:21 PM , 134 , 86 , 106 , 65 , 0 ,
 6 ,0101,10/7/2015 6:33:21 PM , 89 , 62 , 91 , 55 , 0 ,
 6 ,0101,10/7/2015 6:34:21 PM , 45 , 30 , 36 , 21 , 0 ,
 6 ,0101,10/7/2015 6:35:21 PM , 100 , 10 , 42 , 7 , 0 ,
 6 ,0101,10/7/2015 6:36:21 PM , 101 , 25 , 13 , 8 , 0 ,
 6 ,0101,10/7/2015 6:37:21 PM , 5 , 3 , 2 , 1 , 0 ,
 6 ,0101,10/7/2015 6:38:21 PM , 168 , 129 , 133 , 83 , 0 ,
 6 ,0101,10/7/2015 6:39:21 PM , 124 , 87 , 84 , 53 , 0 ,
 6 ,0101,10/7/2015 6:40:21 PM , 76 , 42 , 37 , 20 , 0 ,
 6 ,0101,10/7/2015 6:41:21 PM , 81 , 59 , 77 , 53 , 0 ,
 6 ,0101,10/7/2015 6:42:21 PM , 3 , 3 , 1 , 1 , 0 ,
 6 ,0101,10/7/2015 6:43:21 PM , 49 , 24 , 47 , 21 , 0 ,
 6 ,0101,10/7/2015 6:44:21 PM , 91 , 8 , 43 , 0 , 0 ,
 6 ,0101,10/7/2015 6:45:21 PM , 101 , 72 , 82 , 59 , 0 ,
 6 ,0101,10/7/2015 6:46:21 PM , 125 , 86 , 92 , 59 , 0 ,
 6 ,0101,10/7/2015 6:47:21 PM , 82 , 56 , 89 , 63 , 0 ,
 6 ,0101,10/7/2015 6:48:21 PM , 127 , 96 , 78 , 62 , 0 ,
 6 ,0101,10/7/2015 6:49:21 PM , 36 , 28 , 22 , 15 , 0 ,
 6 ,0101,10/7/2015 6:50:21 PM , 83 , 64 , 91 , 57 , 0 ,
 6 ,0101,10/7/2015 6:51:21 PM , 82 , 50 , 100 , 65 , 0 ,
 6 ,0101,10/7/2015 6:52:21 PM , 145 , 64 , 52 , 22 , 0 ,
 6 ,0101,10/7/2015 6:53:21 PM , 81 , 52 , 42 , 21 , 0 ,
 6 ,0101,10/7/2015 6:54:21 PM , 69 , 42 , 58 , 38 , 0 ,
 6 ,0101,10/7/2015 6:55:21 PM , 113 , 50 , 54 , 41 , 0 ,
 6 ,0101,10/7/2015 6:56:21 PM , 64 , 40 , 35 , 21 , 0 ,
 6 ,0101,10/7/2015 6:57:21 PM , 167 , 106 , 115 , 66 , 0 ,
 7 ,0101,10/7/2015 6:58:21 PM , 73 , 46 , 60 , 48 , 0 ,
 7 ,0101,10/7/2015 6:59:21 PM , 102 , 61 , 59 , 38 , 0 ,
 7 ,0101,10/7/2015 7:00:21 PM , 92 , 69 , 74 , 45 , 0 ,
 7 ,0101,10/7/2015 7:01:21 PM , 83 , 39 , 58 , 41 , 0 ,
 7 ,0101,10/7/2015 7:02:21 PM , 63 , 35 , 54 , 34 , 0 ,
 7 ,0101,10/7/2015 7:03:21 PM , 135 , 69 , 77 , 46 , 0 ,
 7 ,0101,10/7/2015 7:04:21 PM , 93 , 54 , 50 , 26 , 0 ,
 7 ,0101,10/7/2015 7:05:21 PM , 92 , 49 , 87 , 40 , 0 ,
 7 ,0101,10/7/2015 7:06:21 PM , 21 , 1 , 16 , 1 , 0 ,
 7 ,0101,10/7/2015 7:07:21 PM , 19 , 1 , 22 , 1 , 0 ,
 7 ,0101,10/7/2015 7:08:21 PM , 6 , 0 , 8 , 0 , 0 ,
 7 ,0101,10/7/2015 7:09:21 PM , 27 , 7 , 24 , 16 , 0 ,
 7 ,0101,10/7/2015 7:10:21 PM , 122 , 42 , 53 , 37 , 0 ,
 7 ,0101,10/7/2015 7:11:21 PM , 84 , 59 , 58 , 38 , 0 ,
 7 ,0101,10/7/2015 7:12:21 PM , 162 , 95 , 108 , 77 , 0 ,
 7 ,0101,10/7/2015 7:13:21 PM , 31 , 16 , 21 , 14 , 0 ,
 7 ,0101,10/7/2015 7:14:21 PM , 93 , 38 , 33 , 24 , 0 ,
 7 ,0101,10/7/2015 7:15:21 PM , 69 , 45 , 57 , 30 , 0 ,
 7 ,0101,10/7/2015 7:16:21 PM , 178 , 125 , 113 , 83 , 0 ,
 7 ,0101,10/7/2015 7:17:21 PM , 176 , 123 , 135 , 92 , 0 ,
 7 ,0101,10/7/2015 7:18:21 PM , 142 , 112 , 63 , 35 , 0 ,
 7 ,0101,10/7/2015 7:19:21 PM , 58 , 35 , 20 , 8 , 0 ,
 7 ,0101,10/7/2015 7:20:21 PM , 53 , 11 , 37 , 0 , 0 ,
 7 ,0101,10/7/2015 7:21:21 PM , 159 , 102 , 90 , 52 , 0 ,
 7 ,0101,10/7/2015 7:22:21 PM , 62 , 54 , 43 , 27 , 0 ,
 7 ,0101,10/7/2015 7:23:21 PM , 159 , 109 , 101 , 78 , 0 ,
 7 ,0101,10/7/2015 7:24:21 PM , 0 , 0 , 0 , 0 , 0 ,
 7 ,0101,10/7/2015 7:25:21 PM , 49 , 26 , 32 , 23 , 0 ,
 7 ,0101,10/7/2015 7:26:21 PM , 127 , 32 , 23 , 8 , 0 ,
 7 ,0101,10/7/2015 7:27:21 PM , 46 , 35 , 24 , 18 , 0 ,
