Oxymax Activity CSV File

CSV FILE CREATION:10/12/2015 10:23:23 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.ADTA

GROUP/CAGE:0115
SUBJECT ID:4365
SUBJECT MASS:27.8 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,WHEEL,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0115,10/7/2015 3:41:21 PM , 108 , 0 , 15 , 0 , 0 ,
 1 ,0115,10/7/2015 3:42:21 PM , 66 , 20 , 19 , 3 , 0 ,
 1 ,0115,10/7/2015 3:43:21 PM , 12 , 1 , 11 , 0 , 0 ,
 1 ,0115,10/7/2015 3:44:21 PM , 21 , 4 , 6 , 0 , 0 ,
 1 ,0115,10/7/2015 3:45:21 PM , 173 , 112 , 78 , 43 , 0 ,
 1 ,0115,10/7/2015 3:46:21 PM , 74 , 43 , 65 , 31 , 0 ,
 1 ,0115,10/7/2015 3:47:21 PM , 10 , 1 , 40 , 2 , 0 ,
 1 ,0115,10/7/2015 3:48:21 PM , 51 , 0 , 43 , 0 , 0 ,
 1 ,0115,10/7/2015 3:49:21 PM , 7 , 1 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:50:21 PM , 4 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:51:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:52:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:53:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:54:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:55:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:56:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:57:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:58:21 PM , 1 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 3:59:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:00:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:01:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:02:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:03:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:04:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:05:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:06:21 PM , 1 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:07:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:08:21 PM , 4 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:09:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:10:21 PM , 0 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:11:21 PM , 4 , 0 , 0 , 0 , 0 ,
 1 ,0115,10/7/2015 4:12:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:13:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:14:21 PM , 6 , 0 , 6 , 0 , 0 ,
 2 ,0115,10/7/2015 4:15:21 PM , 5 , 1 , 2 , 0 , 0 ,
 2 ,0115,10/7/2015 4:16:21 PM , 0 , 0 , 38 , 0 , 0 ,
 2 ,0115,10/7/2015 4:17:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:18:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:19:21 PM , 7 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:20:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:21:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:22:21 PM , 3 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:23:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:24:21 PM , 1 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:25:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:26:21 PM , 0 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:27:21 PM , 8 , 0 , 4 , 0 , 0 ,
 2 ,0115,10/7/2015 4:28:21 PM , 18 , 0 , 50 , 0 , 0 ,
 2 ,0115,10/7/2015 4:29:21 PM , 6 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:30:21 PM , 23 , 0 , 6 , 0 , 0 ,
 2 ,0115,10/7/2015 4:31:21 PM , 9 , 0 , 78 , 0 , 0 ,
 2 ,0115,10/7/2015 4:32:21 PM , 40 , 0 , 39 , 1 , 0 ,
 2 ,0115,10/7/2015 4:33:21 PM , 87 , 0 , 47 , 0 , 0 ,
 2 ,0115,10/7/2015 4:34:21 PM , 54 , 2 , 52 , 0 , 0 ,
 2 ,0115,10/7/2015 4:35:21 PM , 48 , 27 , 6 , 2 , 0 ,
 2 ,0115,10/7/2015 4:36:21 PM , 14 , 0 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:37:21 PM , 86 , 51 , 14 , 5 , 0 ,
 2 ,0115,10/7/2015 4:38:21 PM , 40 , 23 , 26 , 6 , 0 ,
 2 ,0115,10/7/2015 4:39:21 PM , 120 , 82 , 41 , 16 , 0 ,
 2 ,0115,10/7/2015 4:40:21 PM , 22 , 9 , 4 , 2 , 0 ,
 2 ,0115,10/7/2015 4:41:21 PM , 89 , 53 , 19 , 7 , 0 ,
 2 ,0115,10/7/2015 4:42:21 PM , 43 , 1 , 10 , 0 , 0 ,
 2 ,0115,10/7/2015 4:43:21 PM , 12 , 1 , 0 , 0 , 0 ,
 2 ,0115,10/7/2015 4:44:21 PM , 23 , 1 , 2 , 0 , 0 ,
 2 ,0115,10/7/2015 4:45:21 PM , 30 , 2 , 32 , 0 , 0 ,
 3 ,0115,10/7/2015 4:46:21 PM , 52 , 2 , 31 , 0 , 0 ,
 3 ,0115,10/7/2015 4:47:21 PM , 64 , 2 , 21 , 0 , 0 ,
 3 ,0115,10/7/2015 4:48:21 PM , 21 , 0 , 31 , 0 , 0 ,
 3 ,0115,10/7/2015 4:49:21 PM , 25 , 2 , 2 , 0 , 0 ,
 3 ,0115,10/7/2015 4:50:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 4:51:21 PM , 2 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 4:52:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 4:53:21 PM , 1 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 4:54:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 4:55:21 PM , 1 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 4:56:21 PM , 6 , 0 , 2 , 0 , 0 ,
 3 ,0115,10/7/2015 4:57:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 4:58:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 4:59:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:00:21 PM , 13 , 1 , 1 , 0 , 0 ,
 3 ,0115,10/7/2015 5:01:21 PM , 0 , 0 , 14 , 0 , 0 ,
 3 ,0115,10/7/2015 5:02:21 PM , 8 , 0 , 2 , 0 , 0 ,
 3 ,0115,10/7/2015 5:03:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:04:21 PM , 5 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:05:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:06:21 PM , 36 , 0 , 65 , 0 , 0 ,
 3 ,0115,10/7/2015 5:07:21 PM , 6 , 0 , 9 , 0 , 0 ,
 3 ,0115,10/7/2015 5:08:21 PM , 1 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:09:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:10:21 PM , 4 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:11:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:12:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:13:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:14:21 PM , 7 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:15:21 PM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:16:21 PM , 3 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:17:21 PM , 2 , 0 , 0 , 0 , 0 ,
 3 ,0115,10/7/2015 5:18:21 PM , 68 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:19:21 PM , 3 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:20:21 PM , 16 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:21:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:22:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:23:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:24:21 PM , 82 , 1 , 7 , 0 , 0 ,
 4 ,0115,10/7/2015 5:25:21 PM , 78 , 2 , 18 , 0 , 0 ,
 4 ,0115,10/7/2015 5:26:21 PM , 9 , 2 , 1 , 0 , 0 ,
 4 ,0115,10/7/2015 5:27:21 PM , 83 , 57 , 23 , 11 , 0 ,
 4 ,0115,10/7/2015 5:28:21 PM , 109 , 70 , 24 , 15 , 0 ,
 4 ,0115,10/7/2015 5:29:21 PM , 50 , 14 , 8 , 4 , 0 ,
 4 ,0115,10/7/2015 5:30:21 PM , 10 , 1 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:31:21 PM , 1 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:32:21 PM , 1 , 0 , 1 , 0 , 0 ,
 4 ,0115,10/7/2015 5:33:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:34:21 PM , 3 , 0 , 4 , 0 , 0 ,
 4 ,0115,10/7/2015 5:35:21 PM , 0 , 0 , 7 , 0 , 0 ,
 4 ,0115,10/7/2015 5:36:21 PM , 6 , 0 , 2 , 0 , 0 ,
 4 ,0115,10/7/2015 5:37:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:38:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:39:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:40:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:41:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:42:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:43:21 PM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:44:21 PM , 22 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:45:21 PM , 30 , 0 , 0 , 0 , 0 ,
 4 ,0115,10/7/2015 5:46:21 PM , 23 , 7 , 5 , 1 , 0 ,
 4 ,0115,10/7/2015 5:47:21 PM , 64 , 37 , 13 , 7 , 0 ,
 4 ,0115,10/7/2015 5:48:21 PM , 75 , 26 , 18 , 2 , 0 ,
 4 ,0115,10/7/2015 5:49:21 PM , 42 , 0 , 10 , 0 , 0 ,
 4 ,0115,10/7/2015 5:50:21 PM , 24 , 1 , 10 , 0 , 0 ,
 4 ,0115,10/7/2015 5:51:21 PM , 20 , 1 , 19 , 0 , 0 ,
 5 ,0115,10/7/2015 5:52:21 PM , 4 , 0 , 43 , 2 , 0 ,
 5 ,0115,10/7/2015 5:53:21 PM , 0 , 0 , 97 , 0 , 0 ,
 5 ,0115,10/7/2015 5:54:21 PM , 21 , 14 , 37 , 1 , 0 ,
 5 ,0115,10/7/2015 5:55:21 PM , 80 , 35 , 22 , 9 , 0 ,
 5 ,0115,10/7/2015 5:56:21 PM , 121 , 76 , 40 , 14 , 0 ,
 5 ,0115,10/7/2015 5:57:21 PM , 132 , 88 , 37 , 19 , 0 ,
 5 ,0115,10/7/2015 5:58:21 PM , 97 , 56 , 33 , 16 , 0 ,
 5 ,0115,10/7/2015 5:59:21 PM , 97 , 58 , 35 , 10 , 0 ,
 5 ,0115,10/7/2015 6:00:21 PM , 52 , 34 , 32 , 11 , 0 ,
 5 ,0115,10/7/2015 6:01:21 PM , 76 , 23 , 50 , 30 , 0 ,
 5 ,0115,10/7/2015 6:02:21 PM , 93 , 47 , 45 , 18 , 0 ,
 5 ,0115,10/7/2015 6:03:21 PM , 81 , 44 , 36 , 17 , 0 ,
 5 ,0115,10/7/2015 6:04:21 PM , 86 , 8 , 19 , 3 , 0 ,
 5 ,0115,10/7/2015 6:05:21 PM , 92 , 0 , 22 , 2 , 0 ,
 5 ,0115,10/7/2015 6:06:21 PM , 76 , 2 , 36 , 5 , 0 ,
 5 ,0115,10/7/2015 6:07:21 PM , 44 , 23 , 27 , 7 , 0 ,
 5 ,0115,10/7/2015 6:08:21 PM , 138 , 82 , 48 , 23 , 0 ,
 5 ,0115,10/7/2015 6:09:21 PM , 74 , 40 , 30 , 12 , 0 ,
 5 ,0115,10/7/2015 6:10:21 PM , 16 , 0 , 7 , 0 , 0 ,
 5 ,0115,10/7/2015 6:11:21 PM , 73 , 38 , 43 , 21 , 0 ,
 5 ,0115,10/7/2015 6:12:21 PM , 97 , 46 , 34 , 9 , 0 ,
 5 ,0115,10/7/2015 6:13:21 PM , 53 , 28 , 39 , 17 , 0 ,
 5 ,0115,10/7/2015 6:14:21 PM , 78 , 39 , 49 , 26 , 0 ,
 5 ,0115,10/7/2015 6:15:21 PM , 72 , 37 , 69 , 39 , 0 ,
 5 ,0115,10/7/2015 6:16:21 PM , 40 , 2 , 11 , 1 , 0 ,
 5 ,0115,10/7/2015 6:17:21 PM , 47 , 0 , 1 , 1 , 0 ,
 5 ,0115,10/7/2015 6:18:21 PM , 54 , 1 , 21 , 0 , 0 ,
 5 ,0115,10/7/2015 6:19:21 PM , 51 , 0 , 2 , 1 , 0 ,
 5 ,0115,10/7/2015 6:20:21 PM , 81 , 40 , 25 , 5 , 0 ,
 5 ,0115,10/7/2015 6:21:21 PM , 147 , 102 , 80 , 45 , 0 ,
 5 ,0115,10/7/2015 6:22:21 PM , 47 , 34 , 13 , 6 , 0 ,
 5 ,0115,10/7/2015 6:23:21 PM , 88 , 59 , 56 , 27 , 0 ,
 5 ,0115,10/7/2015 6:24:21 PM , 125 , 87 , 40 , 23 , 0 ,
 6 ,0115,10/7/2015 6:25:21 PM , 70 , 30 , 34 , 15 , 0 ,
 6 ,0115,10/7/2015 6:26:21 PM , 17 , 1 , 1 , 0 , 0 ,
 6 ,0115,10/7/2015 6:27:21 PM , 21 , 2 , 3 , 0 , 0 ,
 6 ,0115,10/7/2015 6:28:21 PM , 54 , 1 , 32 , 6 , 0 ,
 6 ,0115,10/7/2015 6:29:21 PM , 106 , 51 , 46 , 6 , 0 ,
 6 ,0115,10/7/2015 6:30:21 PM , 121 , 79 , 69 , 39 , 0 ,
 6 ,0115,10/7/2015 6:31:21 PM , 55 , 42 , 33 , 22 , 0 ,
 6 ,0115,10/7/2015 6:32:21 PM , 161 , 103 , 70 , 34 , 0 ,
 6 ,0115,10/7/2015 6:33:21 PM , 62 , 48 , 40 , 24 , 0 ,
 6 ,0115,10/7/2015 6:34:21 PM , 69 , 33 , 26 , 16 , 0 ,
 6 ,0115,10/7/2015 6:35:21 PM , 44 , 25 , 14 , 5 , 0 ,
 6 ,0115,10/7/2015 6:36:21 PM , 93 , 78 , 23 , 12 , 0 ,
 6 ,0115,10/7/2015 6:37:21 PM , 78 , 39 , 20 , 5 , 0 ,
 6 ,0115,10/7/2015 6:38:21 PM , 59 , 4 , 14 , 6 , 0 ,
 6 ,0115,10/7/2015 6:39:21 PM , 22 , 3 , 16 , 5 , 0 ,
 6 ,0115,10/7/2015 6:40:21 PM , 61 , 19 , 22 , 6 , 0 ,
 6 ,0115,10/7/2015 6:41:21 PM , 86 , 58 , 41 , 19 , 0 ,
 6 ,0115,10/7/2015 6:42:21 PM , 83 , 61 , 63 , 30 , 0 ,
 6 ,0115,10/7/2015 6:43:21 PM , 7 , 1 , 5 , 0 , 0 ,
 6 ,0115,10/7/2015 6:44:21 PM , 16 , 0 , 10 , 0 , 0 ,
 6 ,0115,10/7/2015 6:45:21 PM , 51 , 17 , 7 , 1 , 0 ,
 6 ,0115,10/7/2015 6:46:21 PM , 80 , 28 , 30 , 6 , 0 ,
 6 ,0115,10/7/2015 6:47:21 PM , 156 , 26 , 48 , 9 , 0 ,
 6 ,0115,10/7/2015 6:48:21 PM , 84 , 39 , 50 , 23 , 0 ,
 6 ,0115,10/7/2015 6:49:21 PM , 80 , 20 , 56 , 36 , 0 ,
 6 ,0115,10/7/2015 6:50:21 PM , 93 , 66 , 48 , 25 , 0 ,
 6 ,0115,10/7/2015 6:51:21 PM , 21 , 5 , 0 , 0 , 0 ,
 6 ,0115,10/7/2015 6:52:21 PM , 84 , 42 , 29 , 14 , 0 ,
 6 ,0115,10/7/2015 6:53:21 PM , 72 , 25 , 26 , 8 , 0 ,
 6 ,0115,10/7/2015 6:54:21 PM , 196 , 120 , 33 , 17 , 0 ,
 6 ,0115,10/7/2015 6:55:21 PM , 105 , 76 , 68 , 35 , 0 ,
 6 ,0115,10/7/2015 6:56:21 PM , 184 , 129 , 101 , 47 , 0 ,
 6 ,0115,10/7/2015 6:57:21 PM , 250 , 169 , 148 , 90 , 0 ,
 7 ,0115,10/7/2015 6:58:21 PM , 186 , 105 , 108 , 60 , 0 ,
 7 ,0115,10/7/2015 6:59:21 PM , 219 , 138 , 38 , 18 , 0 ,
 7 ,0115,10/7/2015 7:00:21 PM , 79 , 44 , 40 , 21 , 0 ,
 7 ,0115,10/7/2015 7:01:21 PM , 83 , 40 , 48 , 10 , 0 ,
 7 ,0115,10/7/2015 7:02:21 PM , 70 , 49 , 12 , 7 , 0 ,
 7 ,0115,10/7/2015 7:03:21 PM , 87 , 49 , 50 , 18 , 0 ,
 7 ,0115,10/7/2015 7:04:21 PM , 135 , 87 , 64 , 31 , 0 ,
 7 ,0115,10/7/2015 7:05:21 PM , 119 , 69 , 69 , 39 , 0 ,
 7 ,0115,10/7/2015 7:06:21 PM , 79 , 45 , 66 , 18 , 0 ,
 7 ,0115,10/7/2015 7:07:21 PM , 3 , 0 , 11 , 0 , 0 ,
 7 ,0115,10/7/2015 7:08:21 PM , 52 , 35 , 18 , 11 , 0 ,
 7 ,0115,10/7/2015 7:09:21 PM , 83 , 43 , 35 , 18 , 0 ,
 7 ,0115,10/7/2015 7:10:21 PM , 145 , 81 , 74 , 41 , 0 ,
 7 ,0115,10/7/2015 7:11:21 PM , 165 , 111 , 60 , 43 , 0 ,
 7 ,0115,10/7/2015 7:12:21 PM , 70 , 41 , 51 , 29 , 0 ,
 7 ,0115,10/7/2015 7:13:21 PM , 154 , 113 , 52 , 33 , 0 ,
 7 ,0115,10/7/2015 7:14:21 PM , 153 , 82 , 59 , 30 , 0 ,
 7 ,0115,10/7/2015 7:15:21 PM , 53 , 34 , 26 , 11 , 0 ,
 7 ,0115,10/7/2015 7:16:21 PM , 157 , 116 , 56 , 28 , 0 ,
 7 ,0115,10/7/2015 7:17:21 PM , 107 , 79 , 51 , 30 , 0 ,
 7 ,0115,10/7/2015 7:18:21 PM , 31 , 7 , 15 , 1 , 0 ,
 7 ,0115,10/7/2015 7:19:21 PM , 65 , 25 , 21 , 2 , 0 ,
 7 ,0115,10/7/2015 7:20:21 PM , 43 , 13 , 23 , 4 , 0 ,
 7 ,0115,10/7/2015 7:21:21 PM , 62 , 19 , 27 , 10 , 0 ,
 7 ,0115,10/7/2015 7:22:21 PM , 117 , 73 , 41 , 23 , 0 ,
 7 ,0115,10/7/2015 7:23:21 PM , 63 , 41 , 19 , 10 , 0 ,
 7 ,0115,10/7/2015 7:24:21 PM , 85 , 57 , 36 , 19 , 0 ,
 7 ,0115,10/7/2015 7:25:21 PM , 153 , 108 , 85 , 50 , 0 ,
 7 ,0115,10/7/2015 7:26:21 PM , 113 , 81 , 67 , 42 , 0 ,
 7 ,0115,10/7/2015 7:27:21 PM , 145 , 104 , 74 , 43 , 0 ,
