Oxymax Feeding Bouts CSV File 

CSV FILE CREATION:10/12/2015 10:23:14 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.BDTA

GROUP/CAGE:0101
SUBJECT ID:4370
SUBJECT MASS:16 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,010101,10/7/2015,10/7/2015 3:44:35 PM ,10/7/2015 3:45:01 PM , 26 ,0.06,0.06,
 2 , 1 ,010101,10/7/2015,10/7/2015 3:47:33 PM ,10/7/2015 3:47:38 PM , 5 ,-0.04,0.02,
 3 , 1 ,010101,10/7/2015,10/7/2015 3:58:37 PM ,10/7/2015 4:01:41 PM , 184 ,0.09,0.11,
 4 , 1 ,010101,10/7/2015,10/7/2015 4:02:35 PM ,10/7/2015 4:03:06 PM , 31 ,0.06,0.17,
 5 , 2 ,010101,10/7/2015,10/7/2015 4:15:40 PM ,10/7/2015 4:15:46 PM , 6 ,0.05,0.22,
 6 , 3 ,010101,10/7/2015,10/7/2015 5:02:45 PM ,10/7/2015 5:03:19 PM , 34 ,-0.04,0.17,
 7 , 4 ,010101,10/7/2015,10/7/2015 5:19:49 PM ,10/7/2015 5:19:52 PM , 3 ,-0.05,0.13,
 8 , 4 ,010101,10/7/2015,10/7/2015 5:39:20 PM ,10/7/2015 5:39:26 PM , 6 ,0.05,0.18,
 9 , 4 ,010101,10/7/2015,10/7/2015 5:40:34 PM ,10/7/2015 5:40:49 PM , 15 ,-0.04,0.14,
 10 , 4 ,010101,10/7/2015,10/7/2015 5:43:50 PM ,10/7/2015 5:45:03 PM , 73 ,-0.04,0.10,
 11 , 4 ,010101,10/7/2015,10/7/2015 5:47:18 PM ,10/7/2015 5:47:40 PM , 22 ,0.07,0.17,
 12 , 5 ,010101,10/7/2015,10/7/2015 5:52:04 PM ,10/7/2015 5:53:11 PM , 67 ,-0.05,0.13,
 13 , 5 ,010101,10/7/2015,10/7/2015 5:58:28 PM ,10/7/2015 5:59:21 PM , 53 ,0.06,0.19,
 14 , 5 ,010101,10/7/2015,10/7/2015 6:02:09 PM ,10/7/2015 6:02:18 PM , 9 ,-0.04,0.14,
 15 , 5 ,010101,10/7/2015,10/7/2015 6:16:16 PM ,10/7/2015 6:16:23 PM , 7 ,0.04,0.18,
 16 , 5 ,010101,10/7/2015,10/7/2015 6:16:53 PM ,10/7/2015 6:17:24 PM , 31 ,-0.14,0.04,
 17 , 5 ,010101,10/7/2015,10/7/2015 6:17:35 PM ,10/7/2015 6:21:54 PM , 259 ,0.13,0.18,
 18 , 6 ,010101,10/7/2015,10/7/2015 6:22:15 PM ,10/7/2015 6:25:44 PM , 209 ,-0.06,0.12,
 19 , 6 ,010101,10/7/2015,10/7/2015 6:27:31 PM ,10/7/2015 6:28:12 PM , 41 ,0.04,0.16,
 20 , 6 ,010101,10/7/2015,10/7/2015 6:30:36 PM ,10/7/2015 6:30:43 PM , 7 ,0.16,0.33,
 21 , 6 ,010101,10/7/2015,10/7/2015 6:30:55 PM ,10/7/2015 6:31:28 PM , 33 ,-0.18,0.15,
 22 , 6 ,010101,10/7/2015,10/7/2015 6:32:11 PM ,10/7/2015 6:32:57 PM , 46 ,0.04,0.18,
 23 , 6 ,010101,10/7/2015,10/7/2015 6:33:32 PM ,10/7/2015 6:37:41 PM , 249 ,-0.08,0.10,
 24 , 6 ,010101,10/7/2015,10/7/2015 6:38:20 PM ,10/7/2015 6:38:54 PM , 34 ,0.06,0.16,
 25 , 6 ,010101,10/7/2015,10/7/2015 6:42:48 PM ,10/7/2015 6:42:54 PM , 6 ,0.05,0.21,
 26 , 6 ,010101,10/7/2015,10/7/2015 6:43:06 PM ,10/7/2015 6:43:09 PM , 3 ,-0.03,0.18,
 27 , 6 ,010101,10/7/2015,10/7/2015 6:43:24 PM ,10/7/2015 6:43:32 PM , 8 ,0.15,0.33,
 28 , 6 ,010101,10/7/2015,10/7/2015 6:43:43 PM ,10/7/2015 6:43:49 PM , 6 ,-0.14,0.19,
 29 , 6 ,010101,10/7/2015,10/7/2015 6:44:20 PM ,10/7/2015 6:44:29 PM , 9 ,-0.05,0.14,
 30 , 6 ,010101,10/7/2015,10/7/2015 6:44:49 PM ,10/7/2015 6:44:54 PM , 5 ,0.04,0.19,
 31 , 6 ,010101,10/7/2015,10/7/2015 6:46:01 PM ,10/7/2015 6:46:34 PM , 33 ,-0.12,0.07,
 32 , 6 ,010101,10/7/2015,10/7/2015 6:46:55 PM ,10/7/2015 6:47:01 PM , 6 ,0.11,0.18,
 33 , 6 ,010101,10/7/2015,10/7/2015 6:53:11 PM ,10/7/2015 6:53:21 PM , 10 ,-0.05,0.13,
 34 , 6 ,010101,10/7/2015,10/7/2015 6:56:31 PM ,10/7/2015 6:56:53 PM , 22 ,0.09,0.22,
 35 , 7 ,010101,10/7/2015,10/7/2015 6:57:27 PM ,10/7/2015 6:57:32 PM , 5 ,-0.06,0.16,
 36 , 7 ,010101,10/7/2015,10/7/2015 6:58:45 PM ,10/7/2015 6:59:35 PM , 50 ,-0.03,0.13,
 37 , 7 ,010101,10/7/2015,10/7/2015 7:02:25 PM ,10/7/2015 7:02:48 PM , 23 ,0.05,0.17,
 38 , 7 ,010101,10/7/2015,10/7/2015 7:03:51 PM ,10/7/2015 7:04:10 PM , 19 ,0.07,0.24,
 39 , 7 ,010101,10/7/2015,10/7/2015 7:09:58 PM ,10/7/2015 7:10:05 PM , 7 ,0.07,0.31,
 40 , 7 ,010101,10/7/2015,10/7/2015 7:21:20 PM ,10/7/2015 7:21:26 PM , 6 ,0.09,0.40,
 41 , 7 ,010101,10/7/2015,10/7/2015 7:21:38 PM ,10/7/2015 7:21:54 PM , 16 ,-0.27,0.13,
 42 , 7 ,010101,10/7/2015,10/7/2015 7:22:15 PM ,10/7/2015 7:23:06 PM , 51 ,0.25,0.38,
 43 , 7 ,010101,10/7/2015,10/7/2015 7:23:17 PM ,10/7/2015 7:23:58 PM , 41 ,-0.06,0.32,
 44 , 8 ,010101,10/7/2015,10/7/2015 7:33:30 PM ,10/7/2015 7:33:42 PM , 12 ,-0.09,0.23,
 45 , 8 ,010101,10/7/2015,10/7/2015 7:33:53 PM ,10/7/2015 7:34:53 PM , 60 ,0.10,0.33,
 46 , 8 ,010101,10/7/2015,10/7/2015 7:44:38 PM ,10/7/2015 7:45:46 PM , 68 ,-0.05,0.28,
 47 , 8 ,010101,10/7/2015,10/7/2015 7:46:00 PM ,10/7/2015 7:46:07 PM , 7 ,0.06,0.34,
 48 , 8 ,010101,10/7/2015,10/7/2015 7:53:11 PM ,10/7/2015 7:53:20 PM , 9 ,-0.03,0.30,
 49 , 8 ,010101,10/7/2015,10/7/2015 7:54:07 PM ,10/7/2015 7:55:40 PM , 93 ,0.06,0.36,
 50 , 8 ,010101,10/7/2015,10/7/2015 7:55:56 PM ,10/7/2015 7:56:18 PM , 22 ,0.03,0.39,
 51 , 8 ,010101,10/7/2015,10/7/2015 7:59:28 PM ,10/7/2015 7:59:46 PM , 18 ,-0.05,0.35,
 52 , 9 ,010101,10/7/2015,10/7/2015 8:07:16 PM ,10/7/2015 8:08:11 PM , 55 ,0.06,0.40,
 53 , 9 ,010101,10/7/2015,10/7/2015 8:10:05 PM ,10/7/2015 8:10:26 PM , 21 ,-0.04,0.37,
 54 , 9 ,010101,10/7/2015,10/7/2015 8:11:28 PM ,10/7/2015 8:11:40 PM , 12 ,-0.08,0.29,
 55 , 9 ,010101,10/7/2015,10/7/2015 8:13:11 PM ,10/7/2015 8:18:23 PM , 312 ,0.17,0.47,
 56 , 9 ,010101,10/7/2015,10/7/2015 8:33:08 PM ,10/7/2015 8:33:15 PM , 7 ,-0.03,0.43,
 57 , 9 ,010101,10/7/2015,10/7/2015 8:33:28 PM ,10/7/2015 8:33:43 PM , 15 ,-0.62,-0.19,
 58 , 10 ,010101,10/7/2015,10/7/2015 8:38:23 PM ,10/7/2015 8:38:30 PM , 7 ,0.59,0.40,
 59 , 10 ,010101,10/7/2015,10/7/2015 8:38:50 PM ,10/7/2015 8:38:58 PM , 8 ,-0.12,0.28,
 60 , 10 ,010101,10/7/2015,10/7/2015 8:39:18 PM ,10/7/2015 8:41:01 PM , 103 ,0.16,0.44,
 61 , 10 ,010101,10/7/2015,10/7/2015 8:42:28 PM ,10/7/2015 8:42:38 PM , 10 ,-0.05,0.39,
 62 , 10 ,010101,10/7/2015,10/7/2015 8:43:37 PM ,10/7/2015 8:43:53 PM , 16 ,0.06,0.45,
 63 , 10 ,010101,10/7/2015,10/7/2015 8:48:24 PM ,10/7/2015 8:53:59 PM , 335 ,0.06,0.51,
 64 , 10 ,010101,10/7/2015,10/7/2015 9:02:57 PM ,10/7/2015 9:03:17 PM , 20 ,-0.06,0.45,
 65 , 10 ,010101,10/7/2015,10/7/2015 9:03:29 PM ,10/7/2015 9:03:45 PM , 16 ,0.04,0.49,
 66 , 11 ,010101,10/7/2015,10/7/2015 9:04:00 PM ,10/7/2015 9:09:19 PM , 319 ,-0.08,0.41,
 67 , 11 ,010101,10/7/2015,10/7/2015 9:10:13 PM ,10/7/2015 9:10:43 PM , 30 ,0.12,0.54,
 68 , 11 ,010101,10/7/2015,10/7/2015 9:24:22 PM ,10/7/2015 9:24:46 PM , 24 ,0.04,0.58,
 69 , 11 ,010101,10/7/2015,10/7/2015 9:30:03 PM ,10/7/2015 9:30:43 PM , 40 ,-0.04,0.54,
 70 , 11 ,010101,10/7/2015,10/7/2015 9:31:41 PM ,10/7/2015 9:34:25 PM , 164 ,0.07,0.62,
 71 , 11 ,010101,10/7/2015,10/7/2015 9:37:00 PM ,10/7/2015 9:41:25 PM , 265 ,0.10,0.72,
 72 , 12 ,010101,10/7/2015,10/7/2015 9:42:09 PM ,10/7/2015 9:42:29 PM , 20 ,0.13,0.84,
 73 , 12 ,010101,10/7/2015,10/7/2015 9:43:49 PM ,10/7/2015 9:44:04 PM , 15 ,-0.13,0.71,
 74 , 12 ,010101,10/7/2015,10/7/2015 9:53:57 PM ,10/7/2015 9:54:06 PM , 9 ,0.04,0.75,
 75 , 12 ,010101,10/7/2015,10/7/2015 9:56:23 PM ,10/7/2015 9:59:26 PM , 183 ,-0.03,0.72,
 76 , 12 ,010101,10/7/2015,10/7/2015 10:02:38 PM ,10/7/2015 10:02:46 PM , 8 ,0.07,0.79,
 77 , 12 ,010101,10/7/2015,10/7/2015 10:03:26 PM ,10/7/2015 10:03:33 PM , 7 ,-0.04,0.75,
 78 , 12 ,010101,10/7/2015,10/7/2015 10:04:16 PM ,10/7/2015 10:07:43 PM , 207 ,0.06,0.81,
 79 , 12 ,010101,10/7/2015,10/7/2015 10:07:56 PM ,10/7/2015 10:09:43 PM , 107 ,0.12,0.93,
 80 , 12 ,010101,10/7/2015,10/7/2015 10:09:54 PM ,10/7/2015 10:10:09 PM , 15 ,-0.14,0.79,
 81 , 13 ,010101,10/7/2015,10/7/2015 10:17:41 PM ,10/7/2015 10:18:35 PM , 54 ,0.05,0.84,
 82 , 13 ,010101,10/7/2015,10/7/2015 10:19:07 PM ,10/7/2015 10:19:23 PM , 16 ,-0.05,0.79,
 83 , 13 ,010101,10/7/2015,10/7/2015 10:23:55 PM ,10/7/2015 10:29:34 PM , 339 ,0.16,0.95,
 84 , 13 ,010101,10/7/2015,10/7/2015 10:30:28 PM ,10/7/2015 10:30:43 PM , 15 ,-0.03,0.92,
 85 , 13 ,010101,10/7/2015,10/7/2015 10:43:43 PM ,10/7/2015 10:44:17 PM , 34 ,-0.05,0.87,
 86 , 13 ,010101,10/7/2015,10/7/2015 10:44:29 PM ,10/7/2015 10:44:35 PM , 6 ,0.04,0.91,
 87 , 13 ,010101,10/7/2015,10/7/2015 10:46:11 PM ,10/7/2015 10:46:40 PM , 29 ,0.11,1.02,
 88 , 14 ,010101,10/7/2015,10/7/2015 10:47:24 PM ,10/7/2015 10:51:29 PM , 245 ,0.03,1.05,
