Oxymax Feeding Bouts CSV File 

CSV FILE CREATION:10/12/2015 10:23:31 AM
DATA FILENAME:C:\Users\Clams\Desktop\Data\BridgesLab\2015-10-07 mTSC-HFD cont & C57BL6J-Rapa2\2015-10-07-2.BDTA

GROUP/CAGE:0128
SUBJECT ID:4569
SUBJECT MASS:28.08 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,WEIGHT,ACCUM,
#,#,#,,,,seconds,grams,grams,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 71 ,012801,10/9/2015,10/8/2015 6:02:33 PM ,10/9/2015 6:06:33 AM , 43440 ,3.16,3.16,
 2 , 71 ,012801,10/9/2015,10/9/2015 6:27:50 AM ,10/9/2015 6:33:58 AM , 368 ,0.16,3.32,
 3 , 72 ,012801,10/9/2015,10/9/2015 6:46:18 AM ,10/9/2015 6:52:27 AM , 369 ,-0.05,3.27,
 4 , 73 ,012801,10/9/2015,10/9/2015 7:09:02 AM ,10/9/2015 7:17:35 AM , 513 ,0.10,3.37,
 5 , 73 ,012801,10/9/2015,10/9/2015 7:21:12 AM ,10/9/2015 7:21:33 AM , 21 ,-0.12,3.25,
 6 , 73 ,012801,10/9/2015,10/9/2015 7:22:34 AM ,10/9/2015 7:26:24 AM , 230 ,0.06,3.30,
 7 , 73 ,012801,10/9/2015,10/9/2015 7:28:19 AM ,10/9/2015 7:35:29 AM , 430 ,-0.10,3.20,
 8 , 74 ,012801,10/9/2015,10/9/2015 7:37:18 AM ,10/9/2015 7:51:50 AM , 872 ,0.23,3.44,
 9 , 74 ,012801,10/9/2015,10/9/2015 7:54:59 AM ,10/9/2015 8:01:21 AM , 382 ,0.03,3.47,
 10 , 74 ,012801,10/9/2015,10/9/2015 8:02:18 AM ,10/9/2015 8:09:58 AM , 460 ,0.03,3.50,
 11 , 75 ,012801,10/9/2015,10/9/2015 8:10:44 AM ,10/9/2015 8:18:13 AM , 449 ,-0.08,3.42,
 12 , 75 ,012801,10/9/2015,10/9/2015 8:21:44 AM ,10/9/2015 8:25:23 AM , 219 ,0.04,3.46,
 13 , 75 ,012801,10/9/2015,10/9/2015 8:30:43 AM ,10/9/2015 8:36:00 AM , 317 ,0.05,3.51,
 14 , 75 ,012801,10/9/2015,10/9/2015 8:37:27 AM ,10/9/2015 8:42:38 AM , 311 ,-0.09,3.42,
 15 , 76 ,012801,10/9/2015,10/9/2015 8:54:02 AM ,10/9/2015 9:00:51 AM , 409 ,0.11,3.53,
 16 , 76 ,012801,10/9/2015,10/9/2015 9:04:09 AM ,10/9/2015 9:09:42 AM , 333 ,-0.10,3.43,
 17 , 77 ,012801,10/9/2015,10/9/2015 9:28:19 AM ,10/9/2015 9:34:18 AM , 359 ,0.03,3.47,
 18 , 77 ,012801,10/9/2015,10/9/2015 9:36:18 AM ,10/9/2015 9:43:15 AM , 417 ,-0.12,3.34,
 19 , 77 ,012801,10/9/2015,10/9/2015 9:44:51 AM ,10/9/2015 9:51:10 AM , 379 ,0.13,3.48,
 20 , 78 ,012801,10/9/2015,10/9/2015 9:52:40 AM ,10/9/2015 9:59:05 AM , 385 ,0.05,3.53,
 21 , 78 ,012801,10/9/2015,10/9/2015 10:00:39 AM ,10/9/2015 10:08:27 AM , 468 ,-0.12,3.41,
 22 , 78 ,012801,10/9/2015,10/9/2015 10:10:26 AM ,10/9/2015 10:17:14 AM , 408 ,-0.07,3.34,
 23 , 78 ,012801,10/9/2015,10/9/2015 10:18:33 AM ,10/9/2015 10:25:09 AM , 396 ,0.07,3.41,
 24 , 79 ,012801,10/9/2015,10/9/2015 10:27:17 AM ,10/9/2015 10:33:16 AM , 359 ,0.10,3.51,
 25 , 79 ,012801,10/9/2015,10/9/2015 10:34:56 AM ,10/9/2015 10:41:08 AM , 372 ,-0.15,3.36,
 26 , 79 ,012801,10/9/2015,10/9/2015 10:43:40 AM ,10/9/2015 10:51:27 AM , 467 ,0.18,3.54,
 27 , 79 ,012801,10/9/2015,10/9/2015 10:51:53 AM ,10/9/2015 10:59:11 AM , 438 ,-0.09,3.45,
 28 , 80 ,012801,10/9/2015,10/9/2015 11:18:10 AM ,10/9/2015 11:26:20 AM , 490 ,-0.12,3.33,
 29 , 81 ,012801,10/9/2015,10/9/2015 11:26:31 AM ,10/9/2015 11:41:10 AM , 879 ,0.17,3.50,
 30 , 81 ,012801,10/9/2015,10/9/2015 11:50:53 AM ,10/9/2015 11:56:40 AM , 347 ,-0.15,3.35,
 31 , 81 ,012801,10/9/2015,10/9/2015 11:59:21 AM ,10/9/2015 12:05:39 PM , 378 ,0.14,3.49,
 32 , 82 ,012801,10/9/2015,10/9/2015 12:07:17 PM ,10/9/2015 12:13:15 PM , 358 ,-0.09,3.40,
 33 , 82 ,012801,10/9/2015,10/9/2015 12:15:44 PM ,10/9/2015 12:22:25 PM , 401 ,0.16,3.57,
 34 , 83 ,012801,10/9/2015,10/9/2015 12:32:20 PM ,10/9/2015 12:46:54 PM , 874 ,-0.04,3.52,
 35 , 83 ,012801,10/9/2015,10/9/2015 12:48:59 PM ,10/9/2015 12:56:03 PM , 424 ,0.05,3.57,
 36 , 83 ,012801,10/9/2015,10/9/2015 12:57:02 PM ,10/9/2015 1:03:29 PM , 387 ,0.59,4.16,
 37 , 83 ,012801,10/9/2015,10/9/2015 1:06:01 PM ,10/9/2015 1:11:04 PM , 303 ,-0.16,4.00,
 38 , 84 ,012801,10/9/2015,10/9/2015 1:13:53 PM ,10/9/2015 1:18:38 PM , 285 ,0.03,4.03,
 39 , 84 ,012801,10/9/2015,10/9/2015 1:29:48 PM ,10/9/2015 1:36:03 PM , 375 ,0.10,4.12,
 40 , 85 ,012801,10/9/2015,10/9/2015 1:46:07 PM ,10/9/2015 1:52:33 PM , 386 ,-0.05,4.08,
 41 , 85 ,012801,10/9/2015,10/9/2015 2:01:25 PM ,10/9/2015 2:01:59 PM , 34 ,0.07,4.15,
 42 , 85 ,012801,10/9/2015,10/9/2015 2:02:14 PM ,10/9/2015 2:08:15 PM , 361 ,-0.07,4.09,
 43 , 86 ,012801,10/9/2015,10/9/2015 2:26:05 PM ,10/9/2015 2:33:20 PM , 435 ,0.09,4.17,
 44 , 86 ,012801,10/9/2015,10/9/2015 2:34:40 PM ,10/9/2015 2:41:27 PM , 407 ,-0.10,4.08,
 45 , 86 ,012801,10/9/2015,10/9/2015 2:43:21 PM ,10/9/2015 2:49:53 PM , 392 ,-0.09,3.99,
 46 , 87 ,012801,10/9/2015,10/9/2015 2:51:37 PM ,10/9/2015 2:58:09 PM , 392 ,0.08,4.07,
 47 , 87 ,012801,10/9/2015,10/9/2015 2:59:53 PM ,10/9/2015 3:05:53 PM , 360 ,0.08,4.15,
 48 , 87 ,012801,10/9/2015,10/9/2015 3:08:05 PM ,10/9/2015 3:14:25 PM , 380 ,-0.04,4.11,
 49 , 87 ,012801,10/9/2015,10/9/2015 3:15:43 PM ,10/9/2015 3:21:39 PM , 356 ,-0.11,4.00,
 50 , 88 ,012801,10/9/2015,10/9/2015 3:24:30 PM ,10/9/2015 3:30:03 PM , 333 ,0.11,4.10,
 51 , 88 ,012801,10/9/2015,10/9/2015 3:31:52 PM ,10/9/2015 3:37:25 PM , 333 ,-0.11,3.99,
 52 , 88 ,012801,10/9/2015,10/9/2015 3:37:57 PM ,10/9/2015 3:38:30 PM , 33 ,0.05,4.04,
 53 , 88 ,012801,10/9/2015,10/9/2015 3:40:22 PM ,10/9/2015 3:42:02 PM , 100 ,-0.13,3.92,
 54 , 89 ,012801,10/9/2015,10/9/2015 3:42:24 PM ,10/9/2015 4:05:24 PM , 1380 ,0.13,4.05,
 55 , 90 ,012801,10/9/2015,10/9/2015 4:50:01 PM ,10/9/2015 4:52:45 PM , 164 ,-0.03,4.02,
 56 , 91 ,012801,10/9/2015,10/9/2015 5:04:27 PM ,10/9/2015 5:06:37 PM , 130 ,0.07,4.08,
 57 , 91 ,012801,10/9/2015,10/9/2015 5:07:23 PM ,10/9/2015 5:10:20 PM , 177 ,-0.06,4.02,
 58 , 91 ,012801,10/9/2015,10/9/2015 5:16:39 PM ,10/9/2015 5:19:25 PM , 166 ,0.06,4.08,
 59 , 92 ,012801,10/9/2015,10/9/2015 5:35:15 PM ,10/9/2015 5:37:50 PM , 155 ,-0.11,3.97,
 60 , 92 ,012801,10/9/2015,10/9/2015 5:53:39 PM ,10/9/2015 5:58:58 PM , 319 ,0.04,4.01,
 61 , 92 ,012801,10/9/2015,10/9/2015 6:02:50 PM ,10/9/2015 6:06:08 PM , 198 ,0.04,4.05,
 62 , 93 ,012801,10/9/2015,10/9/2015 6:12:26 PM ,10/9/2015 6:14:41 PM , 135 ,-0.11,3.95,
 63 , 93 ,012801,10/9/2015,10/9/2015 6:23:06 PM ,10/9/2015 6:23:17 PM , 11 ,0.06,4.01,
 64 , 93 ,012801,10/9/2015,10/9/2015 6:25:01 PM ,10/9/2015 6:25:30 PM , 29 ,0.05,4.06,
 65 , 93 ,012801,10/9/2015,10/9/2015 6:25:58 PM ,10/9/2015 6:35:05 PM , 547 ,0.05,4.10,
 66 , 94 ,012801,10/9/2015,10/9/2015 7:07:35 PM ,10/9/2015 7:09:40 PM , 125 ,0.06,4.16,
 67 , 95 ,012801,10/9/2015,10/9/2015 7:18:37 PM ,10/9/2015 7:23:13 PM , 276 ,0.13,4.29,
 68 , 95 ,012801,10/9/2015,10/9/2015 7:34:02 PM ,10/9/2015 7:39:45 PM , 343 ,0.19,4.48,
 69 , 95 ,012801,10/9/2015,10/9/2015 7:43:11 PM ,10/9/2015 7:45:14 PM , 123 ,-0.04,4.44,
 70 , 96 ,012801,10/9/2015,10/9/2015 8:08:36 PM ,10/9/2015 8:09:44 PM , 68 ,-0.05,4.40,
 71 , 96 ,012801,10/9/2015,10/9/2015 8:12:11 PM ,10/9/2015 8:14:18 PM , 127 ,0.04,4.44,
 72 , 97 ,012801,10/9/2015,10/9/2015 8:16:14 PM ,10/9/2015 8:22:04 PM , 350 ,0.20,4.64,
 73 , 97 ,012801,10/9/2015,10/9/2015 8:30:13 PM ,10/9/2015 8:32:19 PM , 126 ,0.09,4.73,
 74 , 97 ,012801,10/9/2015,10/9/2015 8:40:00 PM ,10/9/2015 8:42:24 PM , 144 ,-0.09,4.64,
 75 , 98 ,012801,10/9/2015,10/9/2015 8:50:02 PM ,10/9/2015 8:56:24 PM , 382 ,0.17,4.81,
 76 , 98 ,012801,10/9/2015,10/9/2015 9:24:54 PM ,10/9/2015 9:25:31 PM , 37 ,-0.04,4.77,
 77 , 99 ,012801,10/9/2015,10/9/2015 9:35:13 PM ,10/9/2015 9:37:31 PM , 138 ,0.07,4.84,
 78 , 100 ,012801,10/9/2015,10/9/2015 10:02:48 PM ,10/9/2015 10:05:16 PM , 148 ,0.03,4.87,
 79 , 100 ,012801,10/9/2015,10/9/2015 10:16:38 PM ,10/9/2015 10:19:11 PM , 153 ,-0.06,4.81,
 80 , 101 ,012801,10/9/2015,10/9/2015 10:31:00 PM ,10/9/2015 10:33:27 PM , 147 ,0.03,4.85,
 81 , 101 ,012801,10/9/2015,10/9/2015 10:40:37 PM ,10/9/2015 10:43:26 PM , 169 ,0.05,4.90,
 82 , 101 ,012801,10/9/2015,10/9/2015 10:43:44 PM ,10/9/2015 10:47:02 PM , 198 ,0.07,4.97,
 83 , 101 ,012801,10/9/2015,10/9/2015 10:58:58 PM ,10/9/2015 11:00:44 PM , 106 ,-0.08,4.89,
 84 , 101 ,012801,10/9/2015,10/9/2015 11:01:20 PM ,10/9/2015 11:01:35 PM , 15 ,0.04,4.94,
 85 , 101 ,012801,10/9/2015,10/9/2015 11:03:00 PM ,10/9/2015 11:04:46 PM , 106 ,0.66,5.60,
 86 , 103 ,012801,10/9/2015,10/9/2015 11:54:23 PM ,10/9/2015 11:57:03 PM , 160 ,-0.05,5.55,
 87 , 104 ,012801,10/10/2015,10/10/2015 12:23:07 AM ,10/10/2015 12:24:11 AM , 64 ,-0.03,5.52,
 88 , 105 ,012801,10/10/2015,10/10/2015 12:47:00 AM ,10/10/2015 12:47:30 AM , 30 ,0.06,5.58,
