"","Treatment","Light.Dark","Subject","VO2","Heat","RER","Total.Activity","Lean.Mass","Fat.Mass","Percent.Fat.Mass","Body.Weight","VO2.lbm","Heat.lbm"
"1","Control Diet","Dark",2774,119.790398773256,540.240331395349,0.917637847674419,782.348837209302,26.76,11.67,30.3669008587041,38.43,4.47647230094379,20.1883531911565
"2","Control Diet","Dark",2777,134.661807307209,626.203079069767,0.896108481395349,1990.18604651163,27.15,5.87,17.7771047849788,33.02,4.9599192378346,23.0645701314831
"3","Control Diet","Dark",2778,123.956010500698,542.781936046512,0.989144287209302,809.848837209302,29.06,8.96,23.5665439242504,38.02,4.26551997593591,18.6779743993982
"4","Control Diet","Dark",2791,127.156989878966,590.163073563218,0.924795065517241,998.310344827586,29.04,6.07,17.2885217886642,35.11,4.37868422448228,20.3224198885406
"5","Control Diet","Dark",2792,94.5330914786207,426.315394252874,0.948994673563218,653.149425287356,26.25,13.14,33.3587204874334,39.39,3.60126062775698,16.2405864477285
"6","Control Diet","Dark",2797,121.807091777471,600.704288505747,0.965329481609195,1439.91954022989,26.2,3.18,10.8236895847515,29.38,4.6491256403615,22.927644599456
"7","Control Diet","Dark",4439,97.9589997380435,497.400355434783,0.890190844565217,1392.36956521739,26.25,3.4,11.4671163575042,29.65,3.73177141859213,18.9485849689441
"8","Control Diet","Dark",4440,111.768532926087,558.975069565217,0.960700758695652,1311.51086956522,28.19,5.01,15.0903614457831,33.2,3.96482912118081,19.8288424819162
"9","Control Diet","Dark",4442,111.639329464516,557.642260215054,0.894561469892473,214.978494623656,27.39,8.56,23.8108484005563,35.95,4.07591564310026,20.3593377223459
"10","Control Diet","Dark",4443,96.6993319080645,486.392556989247,0.962930474193548,1044.52688172043,23.96,6.49,21.3136288998358,30.45,4.03586527162206,20.3001901915379
"11","Control Diet","Dark",4447,110.772361650543,548.42842826087,0.9252881,1542.03260869565,26.9,4.95,15.541601255887,31.85,4.1179316598715,20.3876739130435
"12","Control Diet","Dark",4448,114.515073952174,572.071432608696,0.948233190217391,2193.22826086957,26.42,3.04,10.3190767141887,29.46,4.33440855231544,21.6529686831452
"13","Control Diet","Light",2774,94.36304437875,418.8501125,0.853385806944444,98.8055555555556,26.76,11.67,30.3669008587041,38.43,3.526272211463,15.6520968796711
"14","Control Diet","Light",2777,110.233031974722,504.317291666667,0.828756509722222,356,27.15,5.87,17.7771047849788,33.02,4.06014850735625,18.575222529159
"15","Control Diet","Light",2778,98.996637585,425.522315277778,0.916567929166667,161.152777777778,29.06,8.96,23.5665439242504,38.02,3.40662896025465,14.6428876558079
"16","Control Diet","Light",2791,107.255097618732,491.067814084507,0.868100156338028,146.253521126761,29.04,6.07,17.2885217886642,35.11,3.69335735601696,16.9100486943701
"17","Control Diet","Light",2792,85.2308265130986,376.808476056338,0.866450736619718,115.028169014085,26.25,13.14,33.3587204874334,39.39,3.24688862907042,14.35460861167
"18","Control Diet","Light",2797,100.42610936507,478.257852112676,0.819209845070422,248.859154929577,26.2,3.18,10.8236895847515,29.38,3.83305760935383,18.2541164928502
"19","Control Diet","Light",4439,84.7060926918478,424.019001086957,0.834397201086956,348.521739130435,26.25,3.4,11.4671163575042,29.65,3.22689876921325,16.1531048033126
"20","Control Diet","Light",4440,98.5928523782609,480.518972826087,0.852988342391304,265.239130434783,28.19,5.01,15.0903614457831,33.2,3.49744066613199,17.0457244705955
"21","Control Diet","Light",4442,108.298598321978,527.432036263736,0.793087518681319,74.8791208791209,27.39,8.56,23.8108484005563,35.95,3.95394663461037,19.2563722622759
"22","Control Diet","Light",4443,79.4197790076923,392.220723076923,0.889863514285714,204.285714285714,23.96,6.49,21.3136288998358,30.45,3.31468192853474,16.369813150122
"23","Control Diet","Light",4447,84.8818920059783,408.079810869565,0.809380920652174,232.489130434783,26.9,4.95,15.541601255887,31.85,3.15546066936722,15.1702531921771
"24","Control Diet","Light",4448,99.6428753354348,485.458922826087,0.849914773913043,500.576086956522,26.42,3.04,10.3190767141887,29.46,3.77149414592864,18.3746753529934
"25","High Protein Diet","Dark",2776,133.831745683523,626.8617125,0.891183889772727,916.329545454545,25.22,2.85,10.1531884574279,28.07,5.30657199379551,24.8557380055511
"26","High Protein Diet","Dark",2781,132.519811043864,612.525288636364,0.864348709090909,918.136363636364,28.81,6.53,18.4776457272213,35.34,4.59978518027989,21.2608569467672
"27","High Protein Diet","Dark",2784,103.54886694,480.808977272727,0.841900797727273,723.738636363636,23.98,4.91,16.9955001730703,28.89,4.31813456797331,20.050416066419
"28","High Protein Diet","Dark",2790,126.835513398851,582.763513793103,0.893117628735632,624.080459770115,31.83,7.27,18.5933503836317,39.1,3.98477893178921,18.3086243730161
"29","High Protein Diet","Dark",2795,118.483928042414,597.428728735632,0.873352989655172,1051.12643678161,27.55,2.84,9.34517933530767,30.39,4.30068704328181,21.6852533116382
"30","High Protein Diet","Dark",2796,128.305901421954,621.039614942529,0.911922363218391,908.218390804598,27.33,4.3,13.5946885867847,31.63,4.69469086798222,22.7237327092034
"31","High Protein Diet","Dark",4437,105.642764326957,538.837067391304,0.886190466304348,1666.39130434783,26.53,5.63,17.5062189054726,32.16,3.98201147105,20.3104812435471
"32","High Protein Diet","Dark",4438,109.482010032717,534.086216304348,0.858720135869565,1187.82608695652,27.1,4.93,15.3918201685919,32.03,4.03992656947297,19.707978461415
"33","High Protein Diet","Dark",4441,116.372912244565,580.417481521739,0.882158292391304,702.70652173913,22.17,5.08,18.6422018348624,27.25,5.24911647472103,26.1803103979134
"34","High Protein Diet","Dark",4444,96.4863218001075,484.393937634409,0.88509825483871,1470.95698924731,27.25,2.88,9.55857948888151,30.13,3.54078245138009,17.775924316859
"35","High Protein Diet","Dark",4445,109.163920455652,558.948961956522,0.907084677173913,1521.86956521739,26.23,4.24,13.9153265507056,30.47,4.16179643368861,21.309529620912
"36","High Protein Diet","Dark",4446,133.541403455484,656.549851612903,0.913563817204301,2531.50537634409,28.77,2.71,8.60864040660737,31.48,4.64168937975265,22.8206413490755
"37","High Protein Diet","Light",2776,118.321028108,550.725607142857,0.861130794285714,271.857142857143,25.22,2.85,10.1531884574279,28.07,4.69155543647898,21.8368599184321
"38","High Protein Diet","Light",2781,119.541754955143,541.294598571429,0.78537588,456.3,28.81,6.53,18.4776457272213,35.34,4.14931464613478,18.7884275797094
"39","High Protein Diet","Light",2784,91.5518656298571,424.612274285714,0.836828537142857,121.157142857143,23.98,4.91,16.9955001730703,28.89,3.81784260341356,17.706933873466
"40","High Protein Diet","Light",2790,101.578814435714,456.538121428571,0.806881781428571,195.357142857143,31.83,7.27,18.5933503836317,39.1,3.19129168820969,14.3430135541493
"41","High Protein Diet","Light",2795,89.8647850997143,447.343238571429,0.821592534285714,216.271428571429,27.55,2.84,9.34517933530767,30.39,3.26187967694063,16.2375041223749
"42","High Protein Diet","Light",2796,110.611539676,526.880671428571,0.850044702857143,202.4,27.33,4.3,13.5946885867847,31.63,4.04725721463593,19.2784731587476
