Week,Treatment,Food
0.5,CD,
0.5,CD,
0.5,CD + Dex,
0.5,CD + Dex,
0.5,HPD,
0.5,HPD,
0.5,HPD + Dex,
0.5,HPD + Dex,
1.5,CD,3.157142857
1.5,CD,3.361904762
1.5,CD + Dex,3.40952381
1.5,CD + Dex,2.776190476
1.5,HPD,2.680952381
1.5,HPD,2.861904762
1.5,HPD + Dex,2.857142857
1.5,HPD + Dex,2.842857143
2.5,CD,2.823809524
2.5,CD,3.147619048
2.5,CD + Dex,4.133333333
2.5,CD + Dex,3.423809524
2.5,HPD,2.919047619
2.5,HPD,3.328571429
2.5,HPD + Dex,3.419047619
2.5,HPD + Dex,3.557142857
3.5,CD,2.985714286
3.5,CD,3.180952381
3.5,CD + Dex,3.733333333
3.5,CD + Dex,3.4
3.5,HPD,2.980952381
3.5,HPD,3.266666667
3.5,HPD + Dex,1.480952381
3.5,HPD + Dex,3.814285714
4.5,CD,3.066666667
4.5,CD,3.504761905
4.5,CD + Dex,3.328571429
4.5,CD + Dex,3.49047619
4.5,HPD,2.50952381
4.5,HPD,3.457142857
4.5,HPD + Dex,2.638095238
4.5,HPD + Dex,3.6
5.5,CD,3.338095238
5.5,CD,3.619047619
5.5,CD + Dex,5.121428571
5.5,CD + Dex,4.052380952
5.5,HPD,2.833333333
5.5,HPD,3.457142857
5.5,HPD + Dex,3.776190476
5.5,HPD + Dex,4.407142857
6.5,CD,3.195238095
6.5,CD,3.123809524
6.5,CD + Dex,2.821428571
6.5,CD + Dex,3.514285714
6.5,HPD,2.633333333
6.5,HPD,3.842857143
6.5,HPD + Dex,3.214285714
6.5,HPD + Dex,3.942857143
7.5,CD,3.20952381
7.5,CD,3.280952381
7.5,HPD,2.776190476
7.5,HPD,3.452380952
8.5,CD,3.652380952
8.5,CD,3.7
8.5,HPD,2.871428571
8.5,HPD,3.361904762
9.5,CD,3.566666667
9.5,CD,3.466666667
9.5,HPD,2.866666667
9.5,HPD,3.542857143
10.5,CD,3.628571429
10.5,CD,3.60952381
10.5,HPD,2.942857143
10.5,HPD,3.438095238
11.5,CD,3.90952381
11.5,CD,3.828571429
11.5,HPD,3.242857143
11.5,HPD,4.00952381
