Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type
S6K,700,1,249000,2150000,612,3100,Signal
S6K,800,2,67000,227000,612,262,Signal
S6K,700,3,306000,1470000,595,1960,Signal
S6K,800,4,34700,170000,595,228,Signal
S6K,700,5,346000,1680000,684,1950,Signal
S6K,800,6,49700,209000,684,233,Signal
S6K,700,7,410000,1660000,630,1980,Signal
S6K,800,8,47200,187000,630,221,Signal
S6K,700,9,386000,1720000,703,1900,Signal
S6K,800,10,37500,183000,703,207,Signal
S6K,700,11,764000,1780000,525,1940,Signal
S6K,800,12,69300,192000,525,233,Signal
S6K,700,13,660000,1520000,468,1840,Signal
S6K,800,14,71300,199000,468,273,Signal
S6K,700,15,266000,1140000,525,1660,Signal
S6K,800,16,28500,138000,525,209,Signal
S6K,700,17,745000,1610000,462,1870,Signal
S6K,800,18,69700,194000,462,270,Signal
S6K,700,19,529000,1530000,504,1990,Signal
S6K,800,20,63200,192000,504,256,Signal
TSC,700,1,897000,2230000,648,2050,Signal
TSC,800,2,98800,240000,648,218,Signal
TSC,700,3,365000,1580000,648,1880,Signal
TSC,800,4,49800,183000,648,205,Signal
TSC,700,5,357000,1640000,665,1940,Signal
TSC,800,6,69100,205000,665,204,Signal
TSC,700,7,407000,1660000,630,1980,Signal
TSC,800,8,52800,186000,630,212,Signal
TSC,700,9,371000,1570000,630,1910,Signal
TSC,800,10,44100,168000,630,197,Signal
TSC,700,11,798000,1780000,525,1870,Signal
TSC,800,12,84300,192000,525,205,Signal
TSC,700,13,714000,1750000,595,1730,Signal
TSC,800,14,117000,240000,595,206,Signal
TSC,700,15,268000,1080000,490,1650,Signal
TSC,800,16,38800,130000,490,186,Signal
TSC,700,17,772000,1680000,495,1840,Signal
TSC,800,18,91100,206000,495,233,Signal
TSC,700,19,541000,1700000,592,1960,Signal
TSC,800,20,84600,214000,592,218,Signal
S6,700,1,116000,873000,372,2030,Signal
S6,800,2,7040,82200,372,202,Signal
S6,700,3,9890,719000,372,1900,Signal
S6,800,4,276,67600,372,181,Signal
S6,700,5,6210,425000,220,1900,Signal
S6,800,6,559,40600,220,182,Signal
S6,700,7,8400,587000,308,1880,Signal
S6,800,8,1370,56500,308,179,Signal
S6,700,9,4620,335000,176,1880,Signal
S6,800,10,413,32100,176,180,Signal
S6,700,11,8740,455000,260,1720,Signal
S6,800,12,1890,47500,260,176,Signal
S6,700,13,75600,1020000,578,1630,Signal
S6,800,14,11300,107000,578,166,Signal
S6,700,15,20300,501000,297,1620,Signal
S6,800,16,853,48700,297,161,Signal
S6,700,17,156000,897000,416,1780,Signal
S6,800,18,5060,80400,416,181,Signal
S6,700,19,101000,1000000,480,1880,Signal
S6,800,20,4910,92500,480,182,Signal
Akt,700,1,87800,1090000,455,2190,Signal
Akt,800,2,479000,773000,455,646,Signal
Akt,700,3,122000,1090000,480,2020,Signal
Akt,800,4,224000,381000,480,327,Signal
Akt,700,5,46600,1140000,544,2010,Signal
Akt,800,6,241000,427000,544,342,Signal
Akt,700,7,132000,1080000,462,2050,Signal
Akt,800,8,315000,567000,462,544,Signal
Akt,700,9,56300,971000,462,1980,Signal
Akt,800,10,267000,506000,462,517,Signal
Akt,700,11,131000,909000,432,1800,Signal
Akt,800,12,413000,703000,432,672,Signal
Akt,700,13,196000,1050000,462,1840,Signal
Akt,800,14,360000,701000,462,739,Signal
Akt,700,15,77900,911000,462,1800,Signal
Akt,800,16,180000,406000,462,490,Signal
Akt,700,17,83300,966000,462,1910,Signal
Akt,800,18,372000,761000,462,842,Signal
Akt,700,19,162000,979000,432,1890,Signal
Akt,800,20,280000,548000,432,621,Signal
