Subject,Interval,Date/Time,Light/Dark,Volume O2,O2 In,O2 Out,Delta O2,Accumulated O2,Volume CO2,CO2 In,CO2 Out,Delta CO2,Accumulated CO2,RER,Heat,Flow,Feed Weight 1,Feed Acc. 1,X Total,X Ambulatory,Y Total,Y Ambulatory,Wheel,Wheel Accumulated,Event Log,
2774,1,5/9/2015 5:27:09 PM,Light,2481.008,20.86026,20.55403,0.3062292,0.00012026,2290.093,0.05189987,0.3391872,0.2872873,0.0001110059,0.9230493,0.4287967,0.4636919,0,0,15,1,3,1,0,0,5/9/2015 5:30:54 PM - Liam- naloxone injections,
2774,2,5/9/2015 5:52:09 PM,Light,2385.202,20.86026,20.56019,0.300067,0.03549934,2345.172,0.05669735,0.3527697,0.2960723,0.03381458,0.9832172,0.418409,0.4607393,-0.07487489,-0.07487489,518,27,256,23,0,0,,
2774,3,5/9/2015 6:18:09 PM,Light,2291.949,20.86026,20.58121,0.2790491,0.07086413,2196.309,0.05341596,0.3231749,0.2697589,0.06815213,0.958271,0.3995924,0.4735892,-0.04280598,-0.1176809,39,3,61,4,0,0,,
2774,4,5/9/2015 6:43:09 PM,Light,2679.817,20.86026,20.52577,0.3344897,0.1070224,2648.889,0.04780022,0.3792284,0.3314282,0.1033917,0.9884587,0.470694,0.4648907,0.1649475,0.04726662,375,29,252,47,0,0,,
2774,5,5/9/2015 7:09:09 PM,Dark,2989.365,20.86026,20.4835,0.376763,0.1498984,2969.338,0.04367565,0.4184389,0.3747633,0.1458827,0.9933003,0.5256866,0.4608696,0.2599945,0.3072611,227,26,373,92,0,0,,
2774,6,5/9/2015 7:34:09 PM,Dark,3407.282,20.86026,20.43194,0.4283192,0.1964175,3373.979,0.04137037,0.466372,0.4250017,0.1920136,0.990226,0.5987277,0.4617721,-0.1675822,0.139679,1638,714,1197,497,0,0,,
2774,7,5/9/2015 8:00:09 PM,Dark,3663.897,20.86026,20.39602,0.4642364,0.2498936,3661.991,0.04043579,0.5044818,0.464046,0.2452243,0.9994796,0.645278,0.4590188,0.6858673,0.8255463,1658,782,1997,732,0,0,,
2774,8,5/9/2015 8:25:09 PM,Dark,3626.417,20.86026,20.40925,0.4510057,0.3028994,3435.56,0.03912739,0.4711488,0.4320214,0.2968239,0.9473702,0.630552,0.4625683,0.6876168,1.513163,1993,1222,1684,831,0,0,,
2774,9,5/9/2015 8:51:09 PM,Dark,3705.457,20.86026,20.40498,0.4552742,0.3583425,3517.994,0.03995812,0.4768185,0.4368604,0.3494063,0.9494091,0.6446199,0.4684205,0.005055666,1.518219,2882,1813,2043,1040,0,0,,
2774,10,5/9/2015 9:16:09 PM,Dark,3605.205,20.86026,20.4123,0.4479558,0.4114946,3445.217,0.03912739,0.4712111,0.4320837,0.4000329,0.955623,0.6281428,0.4638,-0.3052928,1.212926,2341,1124,1247,564,0,0,,
2774,11,5/9/2015 9:42:09 PM,Dark,2664.504,20.86026,20.53222,0.3280416,0.4588813,2499.613,0.04168189,0.353455,0.3117731,0.4449628,0.9381155,0.4622367,0.4663588,0.02362061,1.236547,495,153,295,98,0,0,,
2774,12,5/9/2015 10:07:09 PM,Dark,2710.301,20.86026,20.52787,0.3323909,0.4979617,2497.451,0.04024888,0.3516482,0.3113993,0.4812956,0.9214665,0.4682413,0.466518,0.08514905,1.321696,326,29,46,10,0,0,,
2774,13,5/9/2015 10:33:09 PM,Dark,3512.275,20.86026,20.4277,0.4325554,0.5450342,3166.118,0.04211802,0.4402456,0.3981276,0.5241378,0.9014437,0.6037695,0.462593,0.532791,1.854487,1323,605,964,328,0,0,,
2774,14,5/9/2015 10:58:09 PM,Dark,2788.965,20.86026,20.51301,0.3472442,0.5908319,2645.85,0.04074732,0.3737456,0.3329983,0.5663831,0.9486852,0.4850956,0.4621755,0,1.854487,266,101,218,96,0,0,,
2774,15,5/9/2015 11:24:09 PM,Dark,2756.094,20.86026,20.52046,0.3397939,0.632761,2619.05,0.04261646,0.3689066,0.3262902,0.6061938,0.950276,0.4795667,0.4668998,0,1.854487,224,29,132,18,0,0,,
2774,16,5/9/2015 11:49:09 PM,Dark,3644.605,20.86026,20.40773,0.4525264,0.6793209,3481.762,0.04037349,0.4767562,0.4363827,0.6505728,0.9553195,0.6349601,0.4641026,0.04018664,1.894673,1119,402,735,292,0,0,,
2774,17,5/10/2015 12:15:09 AM,Dark,3765.415,20.86026,20.39423,0.4660281,0.735356,3578.67,0.04274108,0.4902971,0.447556,0.7039638,0.9504054,0.6552118,0.4651127,0.247594,2.142267,3422,2249,2086,1096,0,0,,
2774,18,5/10/2015 12:40:09 AM,Dark,3856.12,20.86026,20.39163,0.4686255,0.7907731,3468.718,0.04062271,0.4712111,0.4305884,0.7552015,0.8995358,0.662561,0.4685981,0.01257324,2.15484,2992,1783,2020,847,0,0,,
2774,19,5/10/2015 1:06:09 AM,Dark,3588.136,20.86026,20.42074,0.4395133,0.8470576,3237.709,0.04230494,0.4471614,0.4048565,0.8059077,0.9023371,0.6169481,0.4651904,0.2148895,2.36973,3209,2122,2333,1130,0,0,,
2774,20,5/10/2015 1:31:09 AM,Dark,2699.517,20.86026,20.53658,0.3236836,0.8927525,2219.934,0.04031119,0.3167575,0.2764463,0.8455646,0.822345,0.4548732,0.4671338,0.1732333,2.542963,367,56,208,15,0,0,,
2774,21,5/10/2015 1:57:09 AM,Dark,2097.163,20.86026,20.59829,0.2619665,0.9290088,1959.47,0.04142021,0.2895926,0.2481724,0.8771615,0.9343433,0.3634745,0.4592741,0.2993419,2.842305,189,31,168,15,0,0,,
2774,22,5/10/2015 2:22:09 AM,Dark,2901.637,20.86026,20.49629,0.3639662,0.9653737,2774.688,0.03970891,0.3909625,0.3512536,0.9116026,0.9562491,0.5056368,0.4594893,0.5363214,3.378627,1643,831,1302,454,0,0,,
2774,23,5/10/2015 2:48:09 AM,Dark,2403.466,20.86026,20.56061,0.2996517,1.005477,2280.055,0.04056041,0.3279101,0.2873497,0.9498128,0.948653,0.4180409,0.4615496,0.0670166,3.445643,1801,949,1158,484,0,0,,
2774,24,5/10/2015 3:13:09 AM,Dark,2271.333,20.86026,20.5804,0.2798573,1.039464,2162.001,0.03900278,0.3080971,0.2690943,0.9821073,0.9518644,0.3953722,0.4673411,0,3.445643,129,10,31,5,0,0,,
2774,25,5/10/2015 3:39:09 AM,Dark,2508.424,20.86026,20.55346,0.3067999,1.075612,2319.011,0.04078886,0.3289692,0.2881804,1.015995,0.9244894,0.4336903,0.4680875,0,3.445643,259,37,52,14,0,0,,
2774,26,5/10/2015 4:04:09 AM,Dark,2617.049,20.86026,20.53414,0.3261231,1.112881,2426.994,0.03943892,0.3465392,0.3071003,1.050505,0.9273783,0.452796,0.4597017,0,3.445643,139,25,84,11,0,0,,
2774,27,5/10/2015 4:30:09 AM,Dark,3164.821,20.86026,20.46472,0.3955403,1.156615,3004.684,0.04120422,0.4207442,0.37954,1.091592,0.949401,0.5505671,0.4604951,0.1713512,3.616994,956,362,824,203,0,0,,
