Subject,Interval,Date/Time,Light/Dark,Volume O2,O2 In,O2 Out,Delta O2,Accumulated O2,Volume CO2,CO2 In,CO2 Out,Delta CO2,Accumulated CO2,RER,Heat,Flow,Feed Weight 1,Feed Acc. 1,X Total,X Ambulatory,Y Total,Y Ambulatory,Wheel,Wheel Accumulated,Event Log,
2774,1,5/6/2015 4:59:06 PM,Light,3375.911,20.866,20.46155,0.4044522,0.0001655134,2459.094,0.04528671,0.3576489,0.3123622,0.0001205639,0.7284238,0.5615773,0.4632479,0,0,227,150,150,71,0,0,,
2774,2,5/6/2015 5:24:06 PM,Light,3395.519,20.866,20.46221,0.4037943,0.04996422,2438.044,0.04547333,0.3535848,0.3081114,0.03613441,0.7180181,0.5633023,0.4656233,-0.049942,-0.049942,3269,1984,2005,890,0,0,,
2774,3,5/6/2015 5:50:06 PM,Light,3430.027,20.866,20.45376,0.4122391,0.1021691,2503.732,0.04684189,0.3657773,0.3189355,0.07393237,0.7299452,0.5708064,0.4619381,0.09292094,0.04297893,2339,1312,1872,760,0,0,,
2774,4,5/6/2015 6:15:06 PM,Light,3370.129,20.866,20.46397,0.402027,0.1521771,2390.293,0.0434205,0.3470323,0.3036118,0.1099211,0.7092587,0.5578065,0.4632691,0.1483104,0.1912893,958,312,580,187,0,0,,
2774,5,5/6/2015 6:41:06 PM,Light,2609.716,20.866,20.55279,0.3132136,0.1978943,1854.199,0.04205194,0.2789363,0.2368844,0.1423712,0.7104986,0.4320875,0.4605935,-0.03112286,0.1601664,463,208,275,126,0,0,,
2774,6,5/6/2015 7:06:06 PM,Dark,2491.572,20.866,20.56949,0.2965118,0.2354071,1795.631,0.03923189,0.2661839,0.226952,0.1692112,0.7206819,0.41363,0.4655567,-0.1025645,0.05760197,67,1,13,0,0,0,,
2774,7,5/6/2015 7:32:06 PM,Dark,3092.302,20.866,20.49538,0.3706183,0.2781292,2340.131,0.03972955,0.3352337,0.2955042,0.2008563,0.7567602,0.5182101,0.4659674,0.007146195,0.06474817,1087,165,349,119,0,0,,
2774,8,5/6/2015 7:57:06 PM,Dark,2718.342,20.866,20.53617,0.3298271,0.3208525,2124.399,0.03782187,0.3079248,0.2701029,0.2336839,0.7815052,0.4584671,0.4627817,-0.209966,-0.1452179,184,45,219,69,0,0,,
2774,9,5/6/2015 8:23:06 PM,Dark,2863.147,20.866,20.51483,0.3511716,0.3635451,2571.187,0.03881718,0.3610496,0.3222324,0.2696083,0.8980283,0.4973985,0.4694692,0.1838837,0.03866585,1282,189,551,162,0,0,,
2774,10,5/6/2015 8:48:06 PM,Dark,2727.879,20.866,20.53367,0.3323282,0.4046591,2319.303,0.03775966,0.3294484,0.2916888,0.3055676,0.8502219,0.4682277,0.4678322,-0.04041545,-0.001749605,295,29,46,23,0,0,,
