ear tag,genotype,Cage,cage.size,sex,DOB,date,experiment week,age (weeks),HFD (Y/N),food initial (g),food final (g),food eaten per mouse,Notes,calorie.intake,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,5/8/18,1,13,N,na,407.8,,,0,link to last cell,HFD = 4.71 kcal/g,,
1860,fl/fl;+/+,5753,1,M,3/26/18,5/8/18,1,6,N,na,404.1,,,0,,NCD = 2.91 kcal/gram,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,5/8/18,1,6,N,na,401.5,,,0,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,5/8/18,1,6,N,na,401.5,,,0,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,5/8/18,1,4,N,na,408.4,,,0,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,5/8/18,1,4,N,na,397.3,,,0,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,5/8/18,1,3,N,na,404.5,,,0,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,5/16/18,2,14,N,376.4,409.7,31.4,,91.374,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,5/16/18,2,7,N,371.6,402.5,32.5,,94.575,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,5/16/18,2,7,N,340.9,402.7,30.3,,88.173,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,5/16/18,2,7,N,340.9,402.7,30.3,,88.173,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,5/16/18,2,5,N,366.5,407.7,41.9,,121.929,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,5/16/18,2,5,N,365.1,400.7,32.2,,93.702,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,5/16/18,2,4,N,393.4,400.6,11.1,,32.301,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,5/23/18,3,15,N,379.6,400.3,30.1,,87.591,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,5/23/18,3,8,N,373.2,401.8,29.3,,85.263,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,5/23/18,3,8,N,335.6,400.2,33.6,,97.6305,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,5/23/18,3,8,N,335.6,400.2,33.6,,97.6305,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,5/23/18,3,6,N,381.8,401.7,25.9,,75.369,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,5/23/18,3,6,N,371.8,401.1,28.9,,84.099,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,5/23/18,3,5,N,371.3,401.2,29.3,,85.263,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,5/30/18,4,16,N,381.0,399.3,19.3,,56.163,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,5/30/18,4,9,N,379.7,400.6,22.1,,64.311,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,5/30/18,4,9,N,330.3,399.4,35.0,,101.7045,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,5/30/18,4,9,N,330.3,399.4,35.0,,101.7045,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,5/30/18,4,7,N,377.1,399.6,24.6,,71.586,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,5/30/18,4,7,N,377.5,399.7,23.6,,68.676,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,5/30/18,4,6,N,390.7,401.9,10.5,,30.555,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,6/6/2018,5,17,N,373.7,399.9,25.6,,74.496,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,6/6/2018,5,10,N,370.3,402.2,30.3,,88.173,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,6/6/2018,5,10,N,315.9,400.0,41.8,,121.4925,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,6/6/2018,5,10,N,315.9,400.0,41.8,,121.4925,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,6/6/2018,5,8,N,362.1,399.8,37.5,,109.125,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,6/6/2018,5,8,N,368.8,399.6,30.9,,89.919,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,6/6/2018,5,7,N,380.7,399.3,21.2,,61.692,,,,
6252,fl/fl;+/+,2888,1,M,5/10/2018,6/6/2018,1,4,N,,399.0,,,0,,,,
6256,fl/fl;tg/+,2889,2,M,5/10/2018,6/6/2018,1,4,N,,401.7,,,0,,,,
6257,fl/fl;tg/+,2889,2,M,5/10/2018,6/6/2018,1,4,N,,401.7,,,0,,,,
6258,fl/fl;tg/+,9890,2,F,5/10/2018,6/6/2018,1,4,N,,399.1,,,0,,,,
6260,fl/fl;tg/+,9890,2,F,5/10/2018,6/6/2018,1,4,N,,399.1,,,0,,,,
6261,fl/fl;+/+,9891,1,F,5/10/2018,6/6/2018,1,4,N,,350.0,,,0,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,6/13/2018,6,18,N,381.2,381.2,18.7,,54.417,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,6/13/2018,6,11,N,379.1,379.1,23.1,,67.221,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,6/13/2018,6,11,N,319.4,355.4,40.3,,117.273,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,6/13/2018,6,11,N,319.4,355.4,40.3,,117.273,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,6/13/2018,6,9,N,378.4,378.4,21.4,,62.274,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,6/13/2018,6,9,N,343.6,343.6,56.0,,162.96,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,6/13/2018,6,8,N,385.0,385.0,14.3,,41.613,,,,
6252,fl/fl;+/+,2888,1,M,5/10/2018,6/13/2018,2,5,N,381.0,381.0,18.0,,52.38,,,,
6256,fl/fl;tg/+,2889,2,M,5/10/2018,6/13/2018,2,5,N,334.1,350.9,33.8,,98.358,,,,
6257,fl/fl;tg/+,2889,2,M,5/10/2018,6/13/2018,2,5,N,334.1,350.9,33.8,,98.358,,,,
6258,fl/fl;tg/+,9890,2,F,5/10/2018,6/13/2018,2,5,N,346.6,351.3,26.3,,76.3875,,,,
6260,fl/fl;tg/+,9890,2,F,5/10/2018,6/13/2018,2,5,N,346.6,351.3,26.3,,76.3875,,,,
6261,fl/fl;+/+,9891,1,F,5/10/2018,6/13/2018,2,5,N,321.0,321.0,29.0,,84.39,,,,
6317,fl/fl;tg/+,9914,1,M,5/17/2018,6/13/2018,1,4,N,na,349.6,,,0,,,,
6321,fl/fl;+/+,9929,1,M,5/17/2018,6/13/2018,1,4,N,na,362.9,,,0,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,6/20/2018,7,19,N,355.2,355.2,26.0,,75.66,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,6/20/2018,7,12,N,353.3,353.3,25.8,,75.078,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,6/20/2018,7,12,N,264.3,350.9,45.6,,132.5505,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,6/20/2018,7,12,N,264.3,350.9,45.6,,132.5505,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,6/20/2018,7,10,N,347.8,352.0,30.6,,89.046,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,6/20/2018,7,10,N,275.8,349.7,67.8,*,197.298,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,6/20/2018,7,9,N,365.9,365.9,19.1,,55.581,,,,
6252,fl/fl;+/+,2888,1,M,5/10/2018,6/20/2018,3,6,N,347.5,350.3,33.5,,97.485,,,,
6256,fl/fl;tg/+,2889,2,M,5/10/2018,6/20/2018,3,6,N,268.2,351.5,41.4,,120.3285,,,,
6257,fl/fl;tg/+,2889,2,M,5/10/2018,6/20/2018,3,6,N,268.2,351.5,41.4,,120.3285,,,,
6258,fl/fl;tg/+,9890,2,F,5/10/2018,6/20/2018,3,6,N,292.0,352.1,29.7,,86.2815,,,,
6260,fl/fl;tg/+,9890,2,F,5/10/2018,6/20/2018,3,6,N,292.0,352.1,29.7,,86.2815,,,,
6261,fl/fl;+/+,9891,1,F,5/10/2018,6/20/2018,3,6,N,319.2,349.3,1.8,*,5.238,,,,
6317,fl/fl;tg/+,9914,1,M,5/17/2018,6/20/2018,2,5,N,331.3,349.4,18.3,,53.253,,,,
6321,fl/fl;+/+,9929,1,M,5/17/2018,6/20/2018,2,5,N,314.9,353.3,48.0,,139.68,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,6/27/2018,8,20,N,335.7,350.3,19.5,,56.745,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,6/27/2018,8,13,N,328.8,351.1,24.5,,71.295,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,6/27/2018,8,13,N,275.7,351.7,37.6,,109.416,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,6/27/2018,8,13,N,275.7,350.3,37.6,,109.416,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,6/27/2018,8,11,N,320.1,350.3,31.9,,92.829,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,6/27/2018,8,11,N,275.7,351.7,74.0,*,215.34,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,6/27/2018,8,10,N,350.4,350.4,15.5,,45.105,,,,
6252,fl/fl;+/+,2888,1,M,5/10/2018,6/27/2018,4,7,N,324.5,349.4,25.8,,75.078,,,,
6256,fl/fl;tg/+,2889,2,M,5/10/2018,6/27/2018,4,7,N,260.2,353.4,45.7,,132.8415,,,,
6257,fl/fl;tg/+,2889,2,M,5/10/2018,6/27/2018,4,7,N,260.5,351.0,45.5,,132.405,,,,
6258,fl/fl;tg/+,9890,2,F,5/10/2018,6/27/2018,4,7,N,276.4,351.0,37.9,,110.1435,,,,
6260,fl/fl;tg/+,9890,2,F,5/10/2018,6/27/2018,4,7,N,276.4,351.4,37.9,,110.1435,,,,
6261,fl/fl;+/+,9891,1,F,5/10/2018,6/27/2018,4,7,N,308.2,351.4,41.1,,119.601,,,,
6317,fl/fl;tg/+,9914,1,M,5/17/2018,6/27/2018,3,6,N,318.5,349.8,30.9,,89.919,,,,
6321,fl/fl;+/+,9929,1,M,5/17/2018,6/27/2018,3,6,N,326.2,351.4,27.1,,78.861,,,,
6362,fl/fl;tg/+,5994,2,F,5/29/2018,6/27/2018,1,4,N,na,368.4,,,0,,,,
6364,fl/fl;tg/+,5994,2,F,5/29/2018,6/27/2018,1,4,N,na,368.4,,,0,,,,
6441,fl/fl;+/+,5997,1,M,5/30/2018,6/27/2018,1,4,N,na,369.6,,,0,,,,
6431,fl/fl;tg/+,6006,1,M,6/4/2018,6/27/2018,1,3,N,na,395.0,,,0,,,,
6444,fl/fl;+/+,5998,1,F,5/30/2018,6/27/2018,1,4,N,na,402.9,,,0,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,7/3/2018,9,21,N,336.1,349.1,14.2,,41.322,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,7/3/2018,9,14,N,306.0,351.3,45.1,,131.241,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,7/3/2018,9,14,N,276.6,352.5,37.6,,109.2705,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,7/3/2018,9,14,N,276.6,352.5,36.9,,107.2335,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,7/3/2018,9,12,N,349.4,349.4,0.9,*,2.619,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,7/3/2018,9,12,N,313.8,351.0,37.9,,110.289,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,7/3/2018,9,11,N,337.2,351.6,13.2,,38.412,,,,
6252,fl/fl;+/+,2888,1,M,5/10/2018,7/3/2018,5,8,N,328.5,350.1,20.9,,60.819,,,,
6256,fl/fl;tg/+,2889,2,M,5/10/2018,7/3/2018,5,8,N,186.9,349.5,83.3,*,242.2575,,,,
6257,fl/fl;tg/+,2889,2,M,5/10/2018,7/3/2018,5,8,N,186.9,349.5,82.1,*,238.7655,,,,
6258,fl/fl;tg/+,9890,2,F,5/10/2018,7/3/2018,5,8,N,284.4,352.3,33.3,,96.903,,,,
6260,fl/fl;tg/+,9890,2,F,5/10/2018,7/3/2018,5,8,N,284.4,352.3,33.5,,97.485,,,,
6261,fl/fl;+/+,9891,1,F,5/10/2018,7/3/2018,5,8,N,294.1,350.3,57.3,,166.743,,,,
6317,fl/fl;tg/+,9914,1,M,5/17/2018,7/3/2018,4,7,N,321.0,349.3,28.8,,83.808,,,,
6321,fl/fl;+/+,9929,1,M,5/17/2018,7/3/2018,4,7,N,308.6,351.2,42.8,,124.548,,,,
6362,fl/fl;tg/+,5994,2,F,5/29/2018,7/3/2018,2,5,N,328.4,350.3,20.0,,58.2,,,,
6364,fl/fl;tg/+,5994,2,F,5/29/2018,7/3/2018,2,5,N,328.4,350.2,20.0,,58.2,,,,
6441,fl/fl;+/+,5997,1,M,5/30/2018,7/3/2018,2,5,N,347.0,351.9,22.6,,65.766,,,,
6431,fl/fl;tg/+,6006,1,M,6/4/2018,7/3/2018,2,4,N,353.2,353.2,41.8,,121.638,,,,
6444,fl/fl;+/+,5998,1,F,5/30/2018,7/3/2018,2,5,N,350.9,350.9,52.0,,151.32,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,7/10/2018,10,22,N,326.5,351.5,22.6,,65.766,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,7/10/2018,10,15,N,305.8,352.8,45.5,,132.405,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,7/10/2018,10,15,N,269.2,349.7,41.7,,121.2015,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,7/10/2018,10,15,N,269.2,349.7,41.7,,121.2015,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,7/10/2018,10,13,N,317.5,350.5,31.9,,92.829,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,7/10/2018,10,13,N,264.2,349.5,86.8,*,252.588,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,7/10/2018,10,12,N,330.3,351.1,21.3,,61.983,,,,
6252,fl/fl;+/+,2888,1,M,5/10/2018,7/10/2018,6,9,N,317.3,350.2,32.8,,95.448,,,,
6256,fl/fl;tg/+,2889,2,M,5/10/2018,7/10/2018,6,9,N,274.0,350.3,37.8,,109.8525,,,,
6257,fl/fl;tg/+,2889,2,M,5/10/2018,7/10/2018,6,9,N,274.0,350.3,37.8,,109.8525,,,,
6258,fl/fl;tg/+,9890,2,F,5/10/2018,7/10/2018,6,9,N,274.9,350.6,38.7,,112.617,,,,
6260,fl/fl;tg/+,9890,2,F,5/10/2018,7/10/2018,6,9,N,274.9,350.6,38.7,,112.617,,,,
6261,fl/fl;+/+,9891,1,F,5/10/2018,7/10/2018,6,9,N,294.0,350.8,56.3,,163.833,,,,
6317,fl/fl;tg/+,9914,1,M,5/17/2018,7/10/2018,5,8,N,304.7,349.4,44.6,,129.786,,,,
6321,fl/fl;+/+,9929,1,M,5/17/2018,7/10/2018,5,8,N,313.1,349.7,38.1,,110.871,,,,
6362,fl/fl;tg/+,5994,2,F,5/29/2018,7/10/2018,3,6,N,302.2,353.2,24.1,,69.9855,,,,
6364,fl/fl;tg/+,5994,2,F,5/29/2018,7/10/2018,3,6,N,302.2,353.2,24.0,,69.84,,,,
6441,fl/fl;+/+,5997,1,M,5/30/2018,7/10/2018,3,6,N,321.0,351.3,30.9,,89.919,,,,
6431,fl/fl;tg/+,6006,1,M,6/4/2018,7/10/2018,3,5,N,314.2,350.8,39.0,,113.49,,,,
6444,fl/fl;+/+,5998,1,F,5/30/2018,7/10/2018,3,6,N,321.7,350.4,29.2,,84.972,,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,7/17/2018,11,23,N,332.7,350.1,18.8,,54.708,,,,
1860,fl/fl;+/+,5753,1,M,3/26/18,7/17/2018,11,16,N,335.2,349.9,15.9,,46.269,,,,
1966,fl/fl;tg/+,0111,2,F,3/30/18,7/17/2018,11,16,N,299.1,350.7,25.6,,74.3505,,,,
1967,fl/fl;tg/+,0111,2,F,3/30/18,7/17/2018,11,16,N,299.1,350.7,25.6,,74.496,,,,
6083,fl/fl;tg/+,0156,1,F,4/8/18,7/17/2018,11,14,N,319.8,349.7,30.5,,88.755,,,,
6084,fl/fl;+/+,0157,1,F,4/8/18,7/17/2018,11,14,N,285.1,349.8,65.5,*,190.605,,,,
6164,fl/fl;+/+,0159,1,M,4/18/2018,7/17/2018,11,13,N,332.2,351.7,18.4,,53.544,,,,
6252,fl/fl;+/+,2888,1,M,5/10/2018,7/17/2018,7,10,N,291.5,350.7,59.3,,172.563,,,,
6256,fl/fl;tg/+,2889,2,M,5/10/2018,7/17/2018,7,10,N,228.0,351.0,60.7,,176.637,FALSE,,,
6257,fl/fl;tg/+,2889,2,M,5/10/2018,7/17/2018,7,10,N,228.0,351.0,60.9,,177.0735,,,,
6258,fl/fl;tg/+,9890,2,F,5/10/2018,7/17/2018,7,10,N,284.2,349.2,34.5,,100.395,,,,
6260,fl/fl;tg/+,9890,2,F,5/10/2018,7/17/2018,7,10,N,284.2,349.2,34.5,,100.395,,,,
6261,fl/fl;+/+,9891,1,F,5/10/2018,7/17/2018,7,10,N,317.4,352.6,33.9,,98.649,,,,
6317,fl/fl;tg/+,9914,1,M,5/17/2018,7/17/2018,6,9,N,312.8,350.8,38.0,,110.58,,,,
6321,fl/fl;+/+,9929,1,M,5/17/2018,7/17/2018,6,9,N,280.8,350.0,69.6,*,202.536,,,,
6362,fl/fl;tg/+,5994,2,F,5/29/2018,7/17/2018,4,7,N,304.9,350.3,22.6,,65.766,,,,
6364,fl/fl;tg/+,5994,2,F,5/29/2018,7/17/2018,4,7,N,304.9,350.3,22.5,,65.475,,,,
6441,fl/fl;+/+,5997,1,M,5/30/2018,7/17/2018,4,7,N,321.9,350.7,28.8,,83.808,,,,
6431,fl/fl;tg/+,6006,1,M,6/4/2018,7/17/2018,4,6,N,308.1,351.6,42.6,,123.966,,,,
6444,fl/fl;+/+,5998,1,F,5/30/2018,7/17/2018,4,7,N,312.2,350.6,37.5,,109.125,,,,
6525,fl/fl;tg/+,3338,1,M,6/25/2018,7/17/2018,1,3,N,,352.5,,,0,,,,
6544,fl/fl;+/+,3339,1,F,6/25/2018,7/17/2018,1,3,N,,351.8,,,0,,,,
6593,fl/fl;tg/+,3345,3,M,6/26/2018,7/17/2018,1,3,N,,351.2,,,0,,,,
6587,fl/fl;tg/+,3345,3,M,6/26/2018,7/17/2018,1,3,N,,351.2,,,0,,,,
6586,fl/fl;tg/+,3345,3,M,6/26/2018,7/17/2018,1,3,N,,351.2,,,0,,,,
6595,fl/fl;+/+,3346,2,F,6/26/2018,7/17/2018,1,3,N,,350.4,,,0,,,,
6588,fl/fl;+/+,3346,2,F,6/26/2018,7/17/2018,1,3,N,,350.4,,,0,All green highlighted cells = switch to HFD,,,
1640,fl/fl;+/+,0155,1,M,2/7/2018,7/24/18,12,24,N,331.1,350.8,18.1,,52.671,,,,FALSE
1860,fl/fl;+/+,5753,1,M,3/26/18,7/24/18,12,17,N,328.1,351.3,21.1,,61.401,,,,FALSE
1966,fl/fl;tg/+,0111,2,F,3/30/18,7/24/18,12,17,N,292.2,352.2,30.2,,87.882,,,,FALSE
1967,fl/fl;tg/+,0111,2,F,3/30/18,7/24/18,12,17,N,292.2,352.2,29.3,,85.263,,,,FALSE
6083,fl/fl;tg/+,0156,1,F,4/8/18,7/24/18,12,15,N,322.7,350.6,27.3,,79.443,,,,FALSE
6084,fl/fl;+/+,0157,1,F,4/8/18,7/24/18,12,15,N,265.2,349.8,85.1,*,247.641,,,,FALSE
6164,fl/fl;+/+,0159,1,M,4/18/2018,7/24/18,12,14,N,336.3,349.9,14.0,,40.74,,,,FALSE
6252,fl/fl;+/+,2888,1,M,5/10/2018,7/24/18,8,11,N,285.7,349.4,65.0,*,189.15,,,,FALSE
6256,fl/fl;tg/+,2889,2,M,5/10/2018,7/24/18,8,11,N,196.8,350.7,77.4,*,225.234,,,,FALSE
6257,fl/fl;tg/+,2889,2,M,5/10/2018,7/24/18,8,11,N,196.8,350.1,76.9,*,223.779,,,,FALSE
6258,fl/fl;tg/+,9890,2,F,5/10/2018,7/24/18,8,11,N,274.4,352.8,39.1,,113.6355,,,,FALSE
6260,fl/fl;tg/+,9890,2,F,5/10/2018,7/24/18,8,11,N,274.4,352.8,38.7,,112.617,,,,FALSE
6261,fl/fl;+/+,9891,1,F,5/10/2018,7/24/18,8,11,N,319.2,349.4,32.0,,93.12,,,,FALSE
6317,fl/fl;tg/+,9914,1,M,5/17/2018,7/24/18,7,10,N,317.6,172.8,33.6,,97.776,,,,FALSE
6321,fl/fl;+/+,9929,1,M,5/17/2018,7/24/18,7,10,N,223.6,144.3,127.6,**,371.316,,,,FALSE
6362,fl/fl;tg/+,5994,2,F,5/29/2018,7/24/18,5,8,N,302.5,352.3,24.0,,69.6945,,,,FALSE
6364,fl/fl;tg/+,5994,2,F,5/29/2018,7/24/18,5,8,N,302.5,352.3,24.0,,69.6945,,,,FALSE
6441,fl/fl;+/+,5997,1,M,5/30/2018,7/24/18,5,8,N,234.2,349.8,116.6,**,339.306,,,,FALSE
6431,fl/fl;tg/+,6006,1,M,6/4/2018,7/24/18,5,7,N,273.6,350.7,77.7,*,226.107,,,,FALSE
6444,fl/fl;+/+,5998,1,F,5/30/2018,7/24/18,5,8,N,316.4,349.3,35.8,,104.178,imputed 7/24 data,,,FALSE
6525,fl/fl;tg/+,3338,1,M,6/25/2018,7/24/18,2,4,N,331.5,350.3,20.7,,60.237,,,,FALSE
6544,fl/fl;+/+,3339,1,F,6/25/2018,7/24/18,2,4,N,344.4,351.6,6.2,*,18.042,,,,FALSE
6593,fl/fl;tg/+,3345,3,M,6/26/2018,7/24/18,2,4,N,298.7,351.1,17.0,,49.567,,,,FALSE
6587,fl/fl;tg/+,3345,3,M,6/26/2018,7/24/18,2,4,N,298.7,351.1,17.1,,49.664,,,,FALSE
6586,fl/fl;tg/+,3345,3,M,6/26/2018,7/24/18,2,4,N,298.7,351.1,16.9,,49.179,,,,FALSE
6595,fl/fl;+/+,3346,2,F,6/26/2018,7/24/18,2,4,N,324.0,350.6,13.4,,38.8485,,,,FALSE
6588,fl/fl;+/+,3346,2,F,6/26/2018,7/24/18,2,4,N,324.0,350.6,13.1,,37.9755,,,,FALSE
3351,fl/fl;+/+,3351,3,M,7/1/2018,7/24/18,1,3,N,,351.3,,,0,,,,FALSE
3351,fl/fl;+/+,3351,3,M,7/1/2018,7/24/18,1,3,N,,351.3,,,0,,,,FALSE
3351,fl/fl;+/+,3351,3,M,7/1/2018,7/24/18,1,3,N,,351.3,,,0,,,,FALSE
3352,fl/fl;tg/+,6589,1,F,6/29/2018,7/24/18,1,4,N,,351.5,,,0,,,,FALSE
1640,fl/fl;+/+,0155,1,M,2/7/2018,7/31,13,25,N,328.8,350.6,22.0,,64.02,,,,FALSE
1860,fl/fl;+/+,5753,1,M,3/26/18,7/31,13,18,N,327.0,350.1,24.3,,70.713,,,,FALSE
1966,fl/fl;tg/+,0111,2,F,3/30/18,7/31,13,18,N,330.4,353.9,10.9,,31.719,,,,FALSE
1967,fl/fl;tg/+,0111,2,F,3/30/18,7/31,13,18,N,330.4,353.9,10.9,,31.719,,,,FALSE
6083,fl/fl;tg/+,0156,1,F,4/8/18,7/31,13,16,N,319.4,351.6,31.2,,90.792,,,,FALSE
6084,fl/fl;+/+,0157,1,F,4/8/18,7/31,13,16,N,319.6,354.3,30.2,,87.882,,,,FALSE
6164,fl/fl;+/+,0159,1,M,4/18/2018,7/31,13,15,N,,,,,0,,,,FALSE
6252,fl/fl;+/+,2888,1,M,5/10/2018,7/31,9,12,N,310.1,356.5,39.3,,114.363,,,,FALSE
6256,fl/fl;tg/+,2889,2,M,5/10/2018,7/31,9,12,N,220.0,350.0,65.4,*,190.1685,,,,FALSE
6257,fl/fl;tg/+,2889,2,M,5/10/2018,7/31,9,12,N,220.0,350.0,65.1,*,189.2955,,,,FALSE
6258,fl/fl;tg/+,9890,2,F,5/10/2018,7/31,9,12,N,331.1,350.8,10.9,,31.5735,,,,FALSE
6260,fl/fl;tg/+,9890,2,F,5/10/2018,7/31,9,12,N,331.1,350.8,10.9,,31.5735,,,,FALSE
6261,fl/fl;+/+,9891,1,F,5/10/2018,7/31,9,12,N,314.1,356.9,35.3,,102.723,,,,FALSE
6317,fl/fl;tg/+,9914,1,M,5/17/2018,7/31,8,11,Y,114.6,350.6,58.2,,274.122,,,,TRUE
6321,fl/fl;+/+,9929,1,M,5/17/2018,7/31,8,11,Y,94.1,351.6,50.2,,236.442,,,,TRUE
6362,fl/fl;tg/+,5994,2,F,5/29/2018,7/31,6,9,N,293.2,350.6,29.6,,85.9905,,,,FALSE
6364,fl/fl;tg/+,5994,2,F,5/29/2018,7/31,6,9,N,293.2,350.6,29.6,,85.9905,,,,FALSE
