"","age","animal.Alive","animal.Background","animal.Cage","animal.Cause_of_Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","HighFatKnockout","Knockout"
"1",74,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-08-24","fed",52812,"17700",TRUE,"High Fat Diet"
"2",74,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-08-24","fed",52815,"3240",TRUE,"High Fat Diet"
"3",74,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-08-24","fed",52818,"13860",TRUE,"High Fat Diet"
"4",84,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-09-03","fed",53577,"16500",TRUE,"High Fat Diet"
"5",84,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-09-03","fed",53580,"2450",TRUE,"High Fat Diet"
"6",84,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-09-03","fed",53583,"13530",TRUE,"High Fat Diet"
"7",141,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-10-30","fed",58662,"19900",TRUE,"High Fat Diet"
"8",141,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-10-30","fed",58695,"3010",TRUE,"High Fat Diet"
"9",141,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-10-30","fed",58724,"16010",TRUE,"High Fat Diet"
"10",148,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-11-06","fed",59281,"19500",TRUE,"High Fat Diet"
"11",148,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-11-06","fed",59316,"2530",TRUE,"High Fat Diet"
"12",148,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-11-06","fed",59350,"16210",TRUE,"High Fat Diet"
"13",151,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-11-09","fed",59423,"19500",TRUE,"High Fat Diet"
"14",151,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-11-09","fed",59432,"2200",TRUE,"High Fat Diet"
"15",92,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Body Weight","2015-09-11","fed",60057,"17000",TRUE,"High Fat Diet"
"16",92,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Total Fat Mass","2015-09-11","fed",60060,"2310",TRUE,"High Fat Diet"
"17",92,FALSE,"Mixed",159681,"Sacrificed","F","fl/fl; +/+",4092,188,9099,"Muscle TSC1","Lean Mass","2015-09-11","fed",60063,"13920",TRUE,"High Fat Diet"
