age,animal.Alive,animal.Background,animal.Cage,animal.Cause_of_Death,animal.Death,animal.Gender,animal.Genotype,animal.MouseID,animal.age,animal.breeding.Crosstype,animal.breeding.id,animal.id,animal.strain.Strain,assay.assay,experiment.date,experiment.fasting_time,experiment.feeding_state,experiment.time,id,values,genotype,Sex,Knockout,1,2,3,4,5,6,7,8,9,t0,t15,t30,t45,t60,t75,t90,t105,t120
170,FALSE,Mixed,166180,Sacrificed,2016-04-01,M,+/+; +/+,4641,194,HET vs HET,339,9678,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65900,"91,123,120,118,119,113,132,131,134",+/+; +/+,M,Wild-Type,91,123,120,118,119,113,132,131,134,91,123,120,118,119,113,132,131,134
169,FALSE,Mixed,165374,Sacrificed,2016-04-01,M,fl/fl; Tg/+,4628,193,HET vs HET,340,9665,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65901,"87,96,66,55,46,47,49,52,55",fl/fl; Tg/+,M,Knockout,87,96,66,55,46,47,49,52,55,87,96,66,55,46,47,49,52,55
169,FALSE,Mixed,165374,Sacrificed,2016-04-01,M,fl/fl; Tg/+,4629,193,HET vs HET,340,9666,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65902,"80,67,55,40,31,36,30,39,47",fl/fl; Tg/+,M,Knockout,80,67,55,40,31,36,30,39,47,80,67,55,40,31,36,30,39,47
169,FALSE,Mixed,159681,Sacrificed,2016-04-05,F,+/+; +/+,4624,197,HET vs HET,325,9661,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65903,"108,93,89,89,85,78,114,101,100",+/+; +/+,F,Wild-Type,108,93,89,89,85,78,114,101,100,108,93,89,89,85,78,114,101,100
169,FALSE,Mixed,159681,Sacrificed,2016-04-05,F,+/+; Tg/+,4622,197,HET vs HET,325,9659,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65904,"91,88,57,50,47,54,68,76,69",+/+; Tg/+,F,Wild-Type,91,88,57,50,47,54,68,76,69,91,88,57,50,47,54,68,76,69
169,FALSE,Mixed,165374,Sacrificed,2016-04-05,F,fl/fl; +/+,4630,197,HET vs HET,340,9667,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65905,"89,67,67,83,75,75,86,80,76",fl/fl; +/+,F,Wild-Type,89,67,67,83,75,75,86,80,76,89,67,67,83,75,75,86,80,76
169,FALSE,Mixed,165374,Sacrificed,2016-04-05,F,fl/fl; Tg/+,4631,197,HET vs HET,340,9668,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65906,"69,25,20,20",fl/fl; Tg/+,F,Knockout,69,25,20,20,NA,NA,NA,NA,NA,69,25,20,20,NA,NA,NA,NA,NA
169,FALSE,Mixed,165374,Sacrificed,2016-04-05,F,+/+; Tg/+,4638,197,HET vs HET,340,9675,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65907,"68,50,34,38,39,42,49,58,65",+/+; Tg/+,F,Wild-Type,68,50,34,38,39,42,49,58,65,68,50,34,38,39,42,49,58,65
169,FALSE,Mixed,165374,Sacrificed,2016-04-05,F,+/+; Tg/+,4639,197,HET vs HET,340,9676,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65908,"63,50,41,40,44,50,58,84,90",+/+; Tg/+,F,Wild-Type,63,50,41,40,44,50,58,84,90,63,50,41,40,44,50,58,84,90
169,FALSE,Mixed,165374,Sacrificed,2016-04-05,F,fl/fl; +/+,4635,197,HET vs HET,340,9672,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65909,"71,40,30,29,39,42,44,72,75",fl/fl; +/+,F,Wild-Type,71,40,30,29,39,42,44,72,75,71,40,30,29,39,42,44,72,75
169,FALSE,Mixed,165374,Sacrificed,2016-04-05,F,fl/fl; Tg/+,4637,197,HET vs HET,340,9674,Muscle TSC1,Plasma Glucose,2016-03-08,6,fasted,14:30:00,65910,"58,60,37,23,21,26,28,28,40",fl/fl; Tg/+,F,Knockout,58,60,37,23,21,26,28,28,40,58,60,37,23,21,26,28,28,40
