age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
78,22593,8609,M,fl/fl; Tg/+,"03,10,09,07,07,06,04",Ketone Bodies,2019-08-01
78,22594,8610,F,fl/fl; +/+,"03,19,10,07,03,02",Ketone Bodies,2019-08-01
78,22595,8611,F,fl/fl; +/+,"05,25,16,11,03,04,04",Ketone Bodies,2019-08-01
78,22596,8612,F,fl/fl; Tg/+,"06,16,09,08,07,06,04",Ketone Bodies,2019-08-01
78,22597,8613,F,fl/fl; +/+,"04,17,11,07,04,04",Ketone Bodies,2019-08-01
78,22598,8614,F,fl/fl; Tg/+,"03,13,07,05,07,05",Ketone Bodies,2019-08-01
70,23078,8943,M,fl/fl; Tg/+,21300,Body Weight,2019-09-04
70,23078,8943,M,fl/fl; Tg/+,970,Total Fat Mass,2019-09-04
70,23078,8943,M,fl/fl; Tg/+,18330,Lean Mass,2019-09-04
71,23078,8943,M,fl/fl; Tg/+,"03,13,06,04,02",Ketone Bodies,2019-09-05
70,23079,8944,M,fl/fl; Tg/+,22800,Body Weight,2019-09-04
70,23079,8944,M,fl/fl; Tg/+,1280,Total Fat Mass,2019-09-04
70,23079,8944,M,fl/fl; Tg/+,19650,Lean Mass,2019-09-04
71,23079,8944,M,fl/fl; Tg/+,"04,14,08,04,04",Ketone Bodies,2019-09-05
70,23080,8945,M,fl/fl; Tg/+,24600,Body Weight,2019-09-04
70,23080,8945,M,fl/fl; Tg/+,1130,Total Fat Mass,2019-09-04
70,23080,8945,M,fl/fl; Tg/+,21430,Lean Mass,2019-09-04
71,23080,8945,M,fl/fl; Tg/+,"04,17,08,06,05",Ketone Bodies,2019-09-05
70,23081,8946,M,fl/fl; Tg/+,17890,Lean Mass,2019-09-04
70,23081,8946,M,fl/fl; Tg/+,970,Total Fat Mass,2019-09-04
70,23081,8946,M,fl/fl; Tg/+,20500,Body Weight,2019-09-04
71,23081,8946,M,fl/fl; Tg/+,"04,16,07,06,04",Ketone Bodies,2019-09-05
70,23082,8947,M,fl/fl; Tg/+,18660,Lean Mass,2019-09-04
70,23082,8947,M,fl/fl; Tg/+,1820,Total Fat Mass,2019-09-04
70,23082,8947,M,fl/fl; Tg/+,22400,Body Weight,2019-09-04
71,23082,8947,M,fl/fl; Tg/+,"03,21,07,05,03",Ketone Bodies,2019-09-05
70,23083,8948,F,fl/fl; Tg/+,14370,Lean Mass,2019-09-04
70,23083,8948,F,fl/fl; Tg/+,1630,Total Fat Mass,2019-09-04
70,23083,8948,F,fl/fl; Tg/+,17500,Body Weight,2019-09-04
71,23083,8948,F,fl/fl; Tg/+,"04,20,08,07,05",Ketone Bodies,2019-09-05
70,23084,8949,F,fl/fl; Tg/+,14220,Lean Mass,2019-09-04
70,23084,8949,F,fl/fl; Tg/+,1350,Total Fat Mass,2019-09-04
70,23084,8949,F,fl/fl; Tg/+,17100,Body Weight,2019-09-04
71,23084,8949,F,fl/fl; Tg/+,"06,17,10,07,08",Ketone Bodies,2019-09-05
70,23085,8950,F,fl/fl; Tg/+,17700,Body Weight,2019-09-04
70,23085,8950,F,fl/fl; Tg/+,1580,Total Fat Mass,2019-09-04
70,23085,8950,F,fl/fl; Tg/+,14370,Lean Mass,2019-09-04
71,23085,8950,F,fl/fl; Tg/+,"06,08,06,07",Ketone Bodies,2019-09-05
70,23086,8951,F,fl/fl; +/+,16400,Body Weight,2019-09-04
70,23086,8951,F,fl/fl; +/+,1000,Total Fat Mass,2019-09-04
70,23086,8951,F,fl/fl; +/+,13950,Lean Mass,2019-09-04
71,23086,8951,F,fl/fl; +/+,"07,27,18,08",Ketone Bodies,2019-09-05
82,23390,9235,M,fl/fl; Tg/+,"7,20,12,6,8,5,4",Ketone Bodies,2019-10-24
82,23390,9235,M,fl/fl; Tg/+,26100,Body Weight,2019-10-24
82,23390,9235,M,fl/fl; Tg/+,210,Total Fat Mass,2019-10-24
82,23390,9235,M,fl/fl; Tg/+,22820,Lean Mass,2019-10-24
80,23393,9238,M,fl/fl; +/+,"5,24,17,13,9,4,6",Ketone Bodies,2019-10-24
80,23393,9238,M,fl/fl; +/+,25500,Body Weight,2019-10-24
80,23393,9238,M,fl/fl; +/+,1390,Total Fat Mass,2019-10-24
80,23393,9238,M,fl/fl; +/+,21970,Lean Mass,2019-10-24
80,23394,9239,M,fl/fl; +/+,"5,24,22,11,9,4,4",Ketone Bodies,2019-10-24
80,23394,9239,M,fl/fl; +/+,24400,Body Weight,2019-10-24
80,23394,9239,M,fl/fl; +/+,1300,Total Fat Mass,2019-10-24
80,23394,9239,M,fl/fl; +/+,21200,Lean Mass,2019-10-24
80,23395,9240,M,fl/fl; Tg/+,"6,18,12,8,10,8,4",Ketone Bodies,2019-10-24
80,23395,9240,M,fl/fl; Tg/+,22500,Body Weight,2019-10-24
80,23395,9240,M,fl/fl; Tg/+,3660,Total Fat Mass,2019-10-24
80,23395,9240,M,fl/fl; Tg/+,16700,Lean Mass,2019-10-24
80,23396,9241,M,fl/fl; +/+,"4,22,19,6,7,7,6",Ketone Bodies,2019-10-24
80,23396,9241,M,fl/fl; +/+,26400,Body Weight,2019-10-24
80,23396,9241,M,fl/fl; +/+,1590,Total Fat Mass,2019-10-24
80,23396,9241,M,fl/fl; +/+,21410,Lean Mass,2019-10-24
75,23466,9309,M,fl/fl; Tg/+,"4,29,16,7,6,3,2",Ketone Bodies,2019-10-24
75,23466,9309,M,fl/fl; Tg/+,26200,Body Weight,2019-10-24
