"","Cause_of_Death","Genotype","age","strain"
"1","Sacrificed","fl/fl; Tg/+",256,"Muscle TSC1"
"2","Sacrificed","fl/fl; +/+",256,"Muscle TSC1"
"3","Sacrificed","fl/fl; Tg/+",256,"Muscle TSC1"
"4","Sacrificed","fl/fl; +/+",256,"Muscle TSC1"
"5","Sacrificed","fl/fl; +/+",207,"Muscle TSC1"
"6","Sacrificed","fl/fl; +/+",207,"Muscle TSC1"
"7","Sacrificed","fl/fl; +/+",207,"Muscle TSC1"
"8","Sacrificed","fl/fl; Tg/+",245,"Muscle TSC1"
"9","Sacrificed","fl/fl; Tg/+",209,"Muscle TSC1"
"10","Sacrificed","fl/fl; +/+",181,"Muscle TSC1"
"11","Sacrificed","fl/fl; ?",97,"Muscle TSC1"
"12","Sacrificed","fl/fl; ?",97,"Muscle TSC1"
"13","Sacrificed","fl/fl; ?",134,"Muscle TSC1"
"14","Sacrificed","fl/fl; ?",134,"Muscle TSC1"
"15","Sacrificed","fl/fl; ?",134,"Muscle TSC1"
"16","Sacrificed","fl/fl; ?",131,"Muscle TSC1"
"17","Sacrificed","fl/fl; ?",131,"Muscle TSC1"
"18","Sacrificed","fl/fl; ?",128,"Muscle TSC1"
"19","Sacrificed","fl/fl; ?",128,"Muscle TSC1"
"20","Sacrificed","fl/fl; ?",91,"Muscle TSC1"
"21","Sacrificed","fl/fl; ?",128,"Muscle TSC1"
"22","Sacrificed","fl/fl; ?",112,"Muscle TSC1"
"23","Sacrificed","fl/fl; ?",112,"Muscle TSC1"
"24","Sacrificed","fl/fl; ?",112,"Muscle TSC1"
"25","Sacrificed","fl/fl; ?",112,"Muscle TSC1"
"26","Sacrificed","fl/fl; +/+",89,"Muscle TSC1"
"27","Sacrificed","fl/fl; Tg/+",89,"Muscle TSC1"
"28","Sacrificed","fl/fl; +/+",427,"Muscle TSC1"
"29","Sacrificed","fl/fl; +/+",427,"Muscle TSC1"
"30","Sacrificed","fl/fl; Tg/+",89,"Muscle TSC1"
"31","Sacrificed","fl/fl; ?",108,"Muscle TSC1"
"32","Sacrificed","fl/fl; ?",108,"Muscle TSC1"
"33","Sacrificed","fl/fl; Tg/+",108,"Muscle TSC1"
"34","Sacrificed","fl/fl; +/+",155,"Muscle TSC1"
"35","Sacrificed","fl/fl; Tg/+",108,"Muscle TSC1"
"36","Sacrificed","fl/fl; Tg/+",108,"Muscle TSC1"
"37","Sacrificed","fl/fl; Tg/+",85,"Muscle TSC1"
"38","Sacrificed","fl/fl; +/+",85,"Muscle TSC1"
"39","Sacrificed","fl/fl; Tg/+",85,"Muscle TSC1"
"40","Sacrificed","fl/fl; ?",103,"Muscle TSC1"
"41","Sacrificed","fl/fl; Tg/+",103,"Muscle TSC1"
"42","Sacrificed","fl/fl; +/+",103,"Muscle TSC1"
"43","Sacrificed","fl/fl; Tg/+",103,"Muscle TSC1"
"44","Sacrificed","fl/fl; ?",103,"Muscle TSC1"
"45","Sacrificed","fl/fl; Tg/+",103,"Muscle TSC1"
"46","Sacrificed","fl/fl; +/+",103,"Muscle TSC1"
"47","Estimated","fl/fl; +/+",914,"Muscle TSC1"
"48","","fl/fl; ?",1862,"Muscle TSC1"
"49","","fl/fl; ?",1862,"Muscle TSC1"
"50","","fl/fl; ?",1862,"Muscle TSC1"
"51","","fl/fl; ?",1862,"Muscle TSC1"
"52","","fl/fl; ?",1862,"Muscle TSC1"
"53","Sacrificed","fl/fl; ?",22,"Muscle TSC1"
"54","Sacrificed","fl/fl; +/+",134,"Muscle TSC1"
"55","Sacrificed","fl/+; +/+",939,"Muscle TSC1"
"56","Sacrificed","fl/fl; Tg/+",64,"Muscle TSC1"
"57","Estimated","fl/fl; Tg/+",64,"Muscle TSC1"
"58","Sacrificed","fl/fl; +/+",402,"Muscle TSC1"
"59","Sacrificed","fl/fl; Tg/+",638,"Muscle TSC1"
"60","Sacrificed","fl/fl; Tg/+",63,"Muscle TSC1"
"61","Sacrificed","fl/fl; Tg/+",63,"Muscle TSC1"
"62","Sacrificed","fl/fl; Tg/+",63,"Muscle TSC1"
"63","Sacrificed","fl/fl; +/+",378,"Muscle TSC1"
"64","Estimated","fl/fl; Tg/+",1604,"Muscle TSC1"
"65","Sacrificed","fl/fl; +/+",376,"Muscle TSC1"
"66","Unknown","fl/fl; ?",1,"Muscle TSC1"
"67","Sacrificed","fl/fl; +/+",111,"Muscle TSC1"
"68","Sacrificed","fl/fl; +/+",375,"Muscle TSC1"
"69","Sacrificed","fl/fl; Tg/+",375,"Muscle TSC1"
