Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type,Protein,Genotype,Sample
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,2,367000,567000,5460,36.6,Signal,pJNK,Knockout,869
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,3,123000,296000,5254,32.9,Signal,pJNK,Knockout,1264
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,4,187000,391000,10208,20,Signal,pJNK,Knockout,1266
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,5,192000,298000,5183,20.5,Signal,pJNK,Knockout,1265
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,6,155000,316000,5920,27.3,Signal,pJNK,Knockout,1552
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,7,120000,274000,6156,25,Signal,pJNK,Wild-Type,1251
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,8,159000,304000,5893,24.5,Signal,pJNK,Wild-Type,867
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,9,206000,326000,5700,21.1,Signal,pJNK,Wild-Type,1260
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,10,139000,299000,5913,27,Signal,pJNK,Wild-Type,1550
2015-12-09_Muscle_Tsc1_KO-800-pJNK.tiff,W,11,282000,460000,6059,29.4,Signal,pJNK,Wild-Type,811
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,1,180000,648000,2856,164,Signal,JNK,Knockout,869
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,2,130000,423000,1960,149,Signal,JNK,Knockout,1264
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,3,191000,896000,5424,130,Signal,JNK,Knockout,1266
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,4,214000,616000,2812,143,Signal,JNK,Knockout,1265
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,5,336000,866000,3280,161,Signal,JNK,Knockout,1552
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,6,204000,627000,2844,149,Signal,JNK,Wild-Type,1251
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,7,274000,747000,3375,140,Signal,JNK,Wild-Type,867
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,8,291000,821000,3240,164,Signal,JNK,Wild-Type,1260
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,9,207000,646000,3066,143,Signal,JNK,Wild-Type,1550
2015-12-09_Muscle_Tsc1_KO-700-JNK.tiff,W,10,440000,958000,3154,164,Signal,JNK,Wild-Type,811
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,1,19100,333000,2356,133,Signal,LC3-II,Knockout,869
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,2,19000,270000,2000,125,Signal,LC3-II,Knockout,1264
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,3,28700,326000,2280,130,Signal,LC3-II,Knockout,1266
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,4,30800,321000,2106,138,Signal,LC3-II,Knockout,1265
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,5,41700,379000,2370,142,Signal,LC3-II,Knockout,1552
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,6,27600,335000,2275,135,Signal,LC3-II,Wild-Type,1251
2015-12-09_Muscle_Tsc1_KO-700.tiff,W,7,24600,394000,2759,134,Signal,LC3-II,Wild-Type,867
