Mouse,Genotype,Sex,Group,StageEstrousCylce,AgeAtSac,DateOfSac,FedWeight,FastingWeight,FedGlucose,FastingGlucose,MRI.Fat,MRI.Lean,GonadalWAT,InguinalWAT,Quadriceps,TricepsSurae,Heart,Temperature,Tissue location,Notes,
4092,fl/fl;+/+,Female,1,M,188,12/16/15,22.2,20.6,131,80,3.6,17.2,0.1864,0.1303,0.1792,0.1178,0.0899,,"Box 3, Female",,
4102,fl/fl;Tg/+,Female,1,E,184,12/16/15,23.8,22.5,141,98,2.18,20.28,0.0781,0.0547,0.1873,0.148,0.1163,,"Box 3, Female",,
4104,fl/fl;+/+,Female,1,E-M,184,12/16/15,33.2,31,183,108,11.52,20.48,0.9747,0.4286,0.1899,0.1355,0.1129,,"Box 3, Female",,
4192,fl/fl;+/+,Female,2,M,183,12/30/15,25.8,24,151,106,5.72,18.8,0.3587,0.2004,0.1794,0.1313,0.0989,,"Box 3, Female",,
4209,fl/fl;+/+,Female,2,D,183,12/30/15,29.8,28.5,143,154,11.04,17.78,0.8545,0.5974,0.168,0.1281,0.0928,,"Box 4, Female",,
4212,fl/fl;+/+,Female,2,E,183,12/30/15,24.4,22.9,169,117,5.15,18.19,0.3454,0.1855,0.1722,0.1251,0.1054,,"Box 4, Female",,
4215,fl/fl;Tg/+,Male,2,NA,183,12/30/15,29.4,26.7,203,79,3.65,23.83,0.191,0.113,0.1918,0.1678,0.1543,,"Box 1, Male",,
4217,fl/fl;Tg/+,Female,2,E,183,12/30/15,24.2,22.7,117,52,3.22,20.01,0.1332,0.0892,0.1541,0.1335,0.1272,,"Box 4, Female",,
4202,fl/fl;Tg/+,Female,2,E,182,12/30/15,23.1,21.7,136,89,2.76,19.42,0.1352,0.0762,0.172,0.1475,0.1114,,"Box 4, Female",,
4203,fl/fl;Tg/+,Female,2,M,182,12/30/15,21.3,20,120,69,2.64,17.82,0.1104,0.0798,0.1521,0.1262,0.1015,,"Box 4, Female",,
4200,fl/fl;+/+,Male,2,NA,182,12/30/15,48.4,45.6,181,130,18.45,28.51,1.242,1.0295,0.2561,0.2008,0.1425,,"Box 1, Male",,
4150,fl/fl;Tg/+,Female,3,M,184,1/13/16,18.2,16.7,160,80,1.78,15.54,0.0813,0.0405,0.113,0.0906,0.1257,,"Box 3, Female",,
4317,fl/fl;Tg/+,Female,3,E,182,1/13/16,20.1,18.4,152,70,2.53,16.6,0.1233,0.0775,0.1341,0.1189,0.1079,,"Box 3, Female",,
4370,+/+;+/+,Female,4,E,186,1/27/16,20.9,19.9,105,64,3.93,16.25,0.2703,0.1691,0.1589,0.1131,0.0794,,"Box 2, Female",,
4371,+/+;+/+,Female,4,E,186,1/27/16,23,22.3,117,72,5.58,16.73,0.341,0.2891,0.1583,0.124,0.082,,"Box 2, Female","Strange, multi-nuclear cells in estrous swab. Strange looking ovary? (not sure if this was the mouse)",
4390,+/+;+/+,Female,4,M,186,1/27/16,40.6,39.1,132,72,17.74,21.78,1.7001,0.9683,0.1927,0.1444,0.1181,,"Box 2, Female",,
4397,+/+;Tg/+,Female,4,D,186,1/27/16,30.7,29.7,150,81,10.73,19.22,0.9037,0.6941,0.2044,0.1459,0.0823,,"Box 2, Female",,
4368,fl/fl;+/+,Female,4,E,186,1/27/16,36.4,34.9,123,90,15.78,19.52,1.2632,0.9071,0.1543,0.1408,0.1021,,"Box 2, Female",,
4392,fl/fl;Tg/+,Female,4,D,186,1/27/16,25.7,24.2,193,77,2.23,22.4,0.1094,0.0501,0.2046,0.1573,0.1292,,"Box 2, Female",,
4394,fl/fl;Tg/+,Female,4,E,186,1/27/16,23.6,22.8,148,47,2.1,20.24,0.0755,0.0545,0.1448,0.1246,0.1328,,"Box 2, Female",,
4373,fl/fl;Tg/+,Female,4,P-E,186,1/27/16,21.6,20.1,204,49,2.52,17.95,0.1565,0.0669,0.163,0.1275,0.096,,"Box 2, Female",,
4362,+/+;+/+,Male,4,NA,186,1/27/16,42.1,40.9,121,80,16.07,25.37,1.0635,0.5636,0.201,0.1386,0.1253,,"Box 1, Male",,
4361,+/+;Tg/+,Male,4,NA,186,1/27/16,37.9,37.1,121,85,14.03,23.15,1.0836,0.5361,0.1813,0.1596,0.1261,,"Box 1, Male",,
4365,+/+;Tg/+,Male,4,NA,186,1/27/16,46.5,44.9,174,71,17.34,28.42,0.8265,0.8274,0.2396,0.188,0.1403,,"Box 3, Male",,
4458,+/+;+/+,Male,5,NA,184,2/10/16,25.9,24.6,199,135,3.41,21.55,0.2212,0.1432,0.2063,0.1424,0.1122,,"Box 3, Male",,
5560,fl/fl;+/+,Female,5,E,184,2/10/16,25.2,23.5,156,181,3.42,20.76,0.1281,0.1273,0.1769,0.1333,0.1136,,"Box 2, Female",,
4461,fl/fl;+/+,Female,5,E-M,184,2/10/16,24.9,23.3,182,114,4.71,19.07,0.2385,0.1772,0.1765,0.1323,0.1118,,"Box 2, Female",,
4471,+/+;+/+,Female,6,D,184,2/17/16,30.6,29.2,86,104,9.27,20.24,0.955,0.4142,0.1883,0.1309,0.1044,,"Box 3, Female",,
4472,fl/fl;+/+,Female,6,P-E,184,2/17/16,30.5,29,114,149,2.95,19.99,0.9103,0.4518,0.1837,0.1351,0.0928,,"Box 3, Female",,
4512,+/+;+/+,Female,6,E,180,2/17/16,26.9,25.5,101,71,5.41,20.36,0.4034,0.2613,0.1877,0.1307,0.1035,,"Box 3, Female",,
4518,+/+;+/+,Female,6,M,180,2/17/16,23,21.6,118,93,4.35,18.07,0.2887,0.1988,0.1799,0.1162,0.1011,,"Box 3, Female",,
4510,fl/fl;+/+,Male,6,NA,180,2/17/16,35.6,33.7,120,150,10.5,24.21,0.9542,0.6111,0.2157,0.1655,0.1142,,"Box 3, Male",,
4537,+/+; +/+,Female,7,M-D,184,3/2/16,31,29.1,NA,131,8.46,21.36,0.4327,0.3988,0.1904,0.1353,0.1146,,"Box 1, Female",Strange looking cells in estrous swab,
4544,+/+; +/+,Female,7,M,184,3/2/16,27,25.5,NA,94,4.53,21.38,0.2746,0.15,0.2065,0.1516,0.1095,,"Box 1, Female",,
4545,+/+; +/+,Female,7,D,184,3/2/16,30.6,28.7,NA,133,8.94,20.52,0.65,0.3484,0.1709,0.1351,0.1087,,"Box 1, Female",,
