"","age","animal.Alive","animal.Background","animal.Cage","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values"
"1",44,FALSE,"Mixed",1541447,"Estimated","2013-01-06","M","fl/fl; +/+",15,914,1000,"Muscle TSC1","Body Weight","2010-08-20","fed",120,18890
"2",800,FALSE,"Mixed",1541447,"Estimated","2013-01-06","M","fl/fl; +/+",15,914,1000,"Muscle TSC1","Body Weight","2012-09-14","fed",1229,32840
"3",58,FALSE,"Mixed",1523737,"Sacrificed","2010-09-20","M","fl/fl; +/+",698,89,1014,"Muscle TSC1","Body Weight","2010-08-20","fed",114,19950
"4",58,FALSE,"Mixed",1523737,"Sacrificed","2010-09-20","M","fl/fl; Tg/+",699,89,1015,"Muscle TSC1","Body Weight","2010-08-20","fed",113,22890
"5",49,FALSE,"Mixed",1541444,"Sacrificed","2010-10-13","M","fl/fl; Tg/+",692,103,1025,"Muscle TSC1","Body Weight","2010-08-20","fed",116,25030
"6",49,FALSE,"Mixed",1541444,"Sacrificed","2010-10-13","M","fl/fl; +/+",691,103,1026,"Muscle TSC1","Body Weight","2010-08-20","fed",115,25070
"7",49,FALSE,"Mixed",1541444,"Sacrificed","2010-10-13","M","fl/fl; Tg/+",690,103,1027,"Muscle TSC1","Body Weight","2010-08-20","fed",117,19740
"8",49,FALSE,"Mixed",1541444,"Sacrificed","2010-10-13","M","fl/fl; Tg/+",689,103,1029,"Muscle TSC1","Body Weight","2010-08-20","fed",118,26110
"9",805,FALSE,"Mixed",1541444,"Sacrificed","2010-10-13","M","fl/fl; Tg/+",689,103,1029,"Muscle TSC1","Body Weight","2012-09-14","fed",1226,25860
"10",49,FALSE,"Mixed",1541444,"Sacrificed","2010-10-13","M","fl/fl; +/+",688,103,1030,"Muscle TSC1","Body Weight","2010-08-20","fed",119,23550
"11",805,FALSE,"Mixed",1541444,"Sacrificed","2010-10-13","M","fl/fl; +/+",688,103,1030,"Muscle TSC1","Body Weight","2012-09-14","fed",1225,28470
"12",58,FALSE,"Mixed",1523737,"Sacrificed","2010-09-20","M","fl/fl; Tg/+",697,89,1031,"Muscle TSC1","Body Weight","2010-08-20","fed",112,20690
