Subject,Sex,Genotype,Date.Time,Lean,Fat,Volume O2
4652,Male,+/+; Tg/+,2015-11-30T16:24:15Z,26.19,2.13,109.43652288000001
4655,Male,+/+; Tg/+,2015-11-30T16:25:15Z,25.84,2.87,110.25452492999999
4573,NA,NA,NA,25.17,6.9,NA
4365,Male,+/+; Tg/+,2015-10-05T16:40:21Z,24.77,9.82,184.904532
4641,Male,+/+; +/+,2015-11-30T16:21:15Z,24.15,4.33,86.52261023999999
4575,NA,NA,NA,24.15,3.23,NA
4629,Male,fl/fl; Tg/+,2015-11-30T16:14:15Z,23.62,2.66,89.11434996
4620,Male,+/+; +/+,2015-11-30T16:07:15Z,23.37,8.69,103.28045644000002
4362,Male,+/+; +/+,2015-10-05T16:34:21Z,23.28,9.32,188.39335200000002
4628,Male,fl/fl; Tg/+,2015-11-30T16:13:15Z,22.97,4.41,108.70831989999999
4510,Male,fl/fl; +/+,2015-10-26T11:10:48Z,22.93,4.69,124.71666879999998
4650,Male,+/+; +/+,2015-11-30T16:22:15Z,22.18,6.24,80.09943956000001
4200,Male,fl/fl; +/+,2015-09-08T12:53:48Z,21.98,3.91,139.77678469999998
4662,Female,fl/fl; Tg/+,2015-11-30T16:30:15Z,21.95,1.68,116.19218360999999
4657,Female,fl/fl; Tg/+,2015-11-30T16:26:15Z,21.88,2.66,53.291726579999995
4626,Male,fl/fl; Tg/+,2015-11-30T16:12:15Z,21.72,2.84,56.23012
4186,Male,fl/fl; Tg/+,2015-09-08T12:50:48Z,21.68,3.13,97.6912614
4625,Male,+/+; +/+,2015-11-30T16:11:15Z,21.57,4.23,106.8523254
4361,Male,+/+; Tg/+,2015-10-05T16:39:21Z,21.39,8,169.10358660000003
4394,Female,fl/fl; Tg/+,2015-10-05T16:32:21Z,21.38,1.99,152.50836420000002
4390,Female,+/+; +/+,2015-10-05T16:28:21Z,21.24,9.9,174.2859625
4583,Male,fl/fl; +/+,2015-11-18T17:19:43Z,21.14,1.89,76.95615760000001
4392,Female,fl/fl; Tg/+,2015-10-05T16:31:21Z,20.83,1.84,132.0102108
4476,NA,NA,NA,20.82,2.74,NA
4458,Male,+/+; +/+,2015-10-19T12:45:48Z,20.76,2.48,111.32161740000001
4470,Male,fl/fl; +/+,2015-10-26T11:06:48Z,20.57,2.88,130.8315159
4621,Male,fl/fl; Tg/+,2015-11-30T16:08:15Z,20.22,4.02,95.24143247999999
4667,Male,+/+; +/+,2015-12-07T17:49:36Z,20.19,4.13,84.09481472
4215,Female,fl/fl; Tg/+,2015-09-08T12:48:48Z,19.87,2.87,120.68067959999998
4582,Male,+/+; +/+,2015-11-18T17:18:43Z,19.81,1.75,85.35650199999999
4197,NA,NA,NA,19.8,2.14,NA
4542,Male,fl/fl; +/+,2015-11-09T12:54:33Z,19.75,3.25,132.746133
4508,Male,fl/fl; Tg/+,2015-10-26T11:09:48Z,19.51,4.63,100.43764060000001
4668,Male,fl/fl; Tg/+,2015-12-07T17:50:36Z,19.39,2.73,79.48196004
4639,Female,+/+; Tg/+,2015-11-30T16:20:15Z,19.24,2.82,93.35575812
4471,Female,+/+; +/+,2015-10-26T11:07:48Z,19.18,3.79,124.25200800000002
4659,Female,+/+; +/+,2015-11-30T16:28:15Z,18.78,1.76,94.72033324000002
4104,Female,fl/fl; +/+,2015-11-09T12:59:33Z,18.73,7.84,105.92489440000001
4637,Female,fl/fl; Tg/+,2015-11-30T16:18:15Z,18.66,1.82,75.79793408
4540,Female,+/+; Tg/+,2015-11-09T12:53:33Z,18.63,1.89,104.8764456
4397,Female,+/+; Tg/+,2015-10-05T16:29:21Z,18.45,4.62,152.21458289999998
4460,Female,fl/fl; +/+,2015-10-19T12:46:48Z,18.41,2.34,120.7893843
4477,NA,NA,NA,18.29,1.79,NA
4217,Female,fl/fl; Tg/+,2015-09-08T12:49:48Z,18.25,2.77,120.2172405
4537,Female,+/+; +/+,2015-11-09T12:51:33Z,18.25,1.78,105.2681336
4512,Female,+/+; +/+,2015-10-26T11:11:48Z,18.18,3.31,135.2918025
4368,Female,fl/fl; +/+,2015-10-05T16:30:21Z,18.06,7.72,158.560416
4664,Female,fl/fl; +/+,2015-11-30T16:31:15Z,18.01,3.06,75.73695780000001
4373,Female,fl/fl; Tg/+,2015-10-05T16:33:21Z,17.98,2.85,121.29332599999998
4638,Female,+/+; Tg/+,2015-11-30T16:19:15Z,17.97,2.44,82.00042019
4544,Female,+/+; +/+,2015-11-09T12:55:33Z,17.86,2.43,86.9709648
4622,Female,+/+; Tg/+,2015-11-30T16:09:15Z,17.71,4.76,125.91098205000002
4673,Female,fl/fl; Tg/+,2015-12-07T17:53:36Z,17.61,2.48,74.28552733000001
4661,Female,+/+; Tg/+,2015-11-30T16:29:15Z,17.6,5.67,111.18122106
4317,Female,fl/fl; Tg/+,2015-09-21T13:39:08Z,17.58,2.02,99.2926734
4472,Female,fl/fl; +/+,2015-10-26T11:08:48Z,17.54,5.9,123.386343
4461,Female,fl/fl; +/+,2015-10-19T12:47:48Z,17.53,3.12,100.1165305
4545,Female,+/+; +/+,2015-11-09T12:56:33Z,17.52,2.91,104.2047595
4635,Female,fl/fl; +/+,2015-11-30T16:17:15Z,17.38,2.93,82.45246637999999
4649,Female,+/+; Tg/+,2015-12-07T17:48:36Z,17.07,1.26,67.23781272000001
4624,Female,+/+; +/+,2015-11-30T16:10:15Z,16.92,3.29,106.47889104000001
4671,Female,fl/fl; +/+,2015-12-07T17:52:36Z,16.89,1.85,98.79688646000002
4658,Female,+/+; +/+,2015-11-30T16:27:15Z,16.78,2.49,73.76205286000001
4106,NA,NA,NA,16.39,1.96,NA
4150,Female,fl/fl; Tg/+,2015-09-21T13:38:08Z,16.17,1.79,106.3831585
4631,Female,fl/fl; Tg/+,2015-11-30T16:16:15Z,16.04,2.23,63.93568229999999
