Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
2,1,11/13/2015 10:23:45 AM,Light,5/14/1981 10:19:16 AM,5/14/1981 10:23:35 AM,259,-0.05,-0.05,
2,2,11/13/2015 10:27:59 AM,Light,5/14/1981 10:24:06 AM,5/14/1981 10:27:48 AM,222,0.05,0.00,
3,3,11/13/2015 10:33:11 AM,Light,5/14/1981 10:32:37 AM,5/14/1981 10:33:00 AM,23,-0.03,-0.03,
4,4,11/13/2015 10:47:27 AM,Light,5/14/1981 10:42:51 AM,5/14/1981 10:47:17 AM,266,-0.06,-0.08,
9,5,11/13/2015 11:29:08 AM,Light,5/14/1981 10:59:39 AM,5/14/1981 11:28:57 AM,1758,0.05,-0.03,
12,6,11/13/2015 11:58:02 AM,Light,5/14/1981 11:31:55 AM,5/14/1981 11:57:51 AM,1556,-0.08,-0.12,
12,7,11/13/2015 12:01:24 PM,Light,5/14/1981 11:58:02 AM,5/14/1981 12:01:14 PM,192,0.06,-0.05,
13,8,11/13/2015 12:04:13 PM,Light,5/14/1981 12:02:47 PM,5/14/1981 12:04:02 PM,75,0.11,0.06,
13,9,11/13/2015 12:06:08 PM,Light,5/14/1981 12:04:28 PM,5/14/1981 12:05:57 PM,89,-0.04,0.02,
14,10,11/13/2015 12:19:06 PM,Light,5/14/1981 12:15:36 PM,5/14/1981 12:18:56 PM,200,0.11,0.12,
22,11,11/13/2015 1:36:09 PM,Light,5/14/1981 12:41:33 PM,5/14/1981 1:35:59 PM,3266,-0.04,0.08,
23,12,11/13/2015 1:39:54 PM,Light,5/14/1981 1:37:55 PM,5/14/1981 1:39:43 PM,108,-0.07,0.02,
23,13,11/13/2015 1:45:26 PM,Light,5/14/1981 1:42:21 PM,5/14/1981 1:45:15 PM,174,-0.03,-0.02,
24,14,11/13/2015 1:54:10 PM,Light,5/14/1981 1:51:13 PM,5/14/1981 1:53:59 PM,166,0.11,0.09,
25,15,11/13/2015 1:59:51 PM,Light,5/14/1981 1:54:21 PM,5/14/1981 1:59:40 PM,319,-0.03,0.06,
25,16,11/13/2015 2:02:05 PM,Light,5/14/1981 2:00:03 PM,5/14/1981 2:01:54 PM,111,-0.17,-0.11,
25,17,11/13/2015 2:04:04 PM,Light,5/14/1981 2:03:31 PM,5/14/1981 2:03:54 PM,23,0.24,0.13,
25,18,11/13/2015 2:08:24 PM,Light,5/14/1981 2:04:28 PM,5/14/1981 2:08:13 PM,225,-0.06,0.07,
26,19,11/13/2015 2:11:49 PM,Light,5/14/1981 2:10:40 PM,5/14/1981 2:11:38 PM,58,-0.11,-0.04,
27,20,11/13/2015 2:18:20 PM,Light,5/14/1981 2:16:30 PM,5/14/1981 2:18:09 PM,99,0.05,0.01,
27,21,11/13/2015 2:23:08 PM,Light,5/14/1981 2:18:31 PM,5/14/1981 2:22:57 PM,266,0.12,0.13,
28,22,11/13/2015 2:31:10 PM,Light,5/14/1981 2:30:21 PM,5/14/1981 2:31:00 PM,39,-0.05,0.07,
29,23,11/13/2015 2:38:16 PM,Light,5/14/1981 2:38:00 PM,5/14/1981 2:38:05 PM,5,0.14,0.21,
29,24,11/13/2015 2:41:04 PM,Light,5/14/1981 2:38:28 PM,5/14/1981 2:40:53 PM,145,-0.07,0.14,
30,25,11/13/2015 2:49:22 PM,Light,5/14/1981 2:48:01 PM,5/14/1981 2:49:11 PM,70,0.05,0.19,
30,26,11/13/2015 2:53:48 PM,Light,5/14/1981 2:51:55 PM,5/14/1981 2:53:37 PM,102,-0.07,0.12,
32,27,11/13/2015 3:07:03 PM,Light,5/14/1981 3:05:04 PM,5/14/1981 3:06:52 PM,108,-0.05,0.08,
32,28,11/13/2015 3:11:46 PM,Light,5/14/1981 3:09:12 PM,5/14/1981 3:11:35 PM,143,0.04,0.12,
33,29,11/13/2015 3:20:24 PM,Light,5/14/1981 3:17:42 PM,5/14/1981 3:20:13 PM,151,0.04,0.15,
34,30,11/13/2015 3:29:04 PM,Light,5/14/1981 3:26:39 PM,5/14/1981 3:28:53 PM,134,0.03,0.18,
34,31,11/13/2015 3:33:27 PM,Light,5/14/1981 3:31:53 PM,5/14/1981 3:33:16 PM,83,-0.09,0.10,
36,32,11/13/2015 3:46:56 PM,Light,5/14/1981 3:44:26 PM,5/14/1981 3:46:45 PM,139,0.04,0.14,
36,33,11/13/2015 3:47:27 PM,Light,5/14/1981 3:47:02 PM,5/14/1981 3:47:16 PM,14,-0.04,0.10,
36,34,11/13/2015 3:51:37 PM,Light,5/14/1981 3:48:55 PM,5/14/1981 3:51:27 PM,152,0.04,0.14,
37,35,11/13/2015 4:01:00 PM,Light,5/14/1981 3:57:36 PM,5/14/1981 4:00:49 PM,193,-0.05,0.09,
38,36,11/13/2015 4:04:56 PM,Light,5/14/1981 4:02:18 PM,5/14/1981 4:04:45 PM,147,0.04,0.12,
38,37,11/13/2015 4:05:47 PM,Light,5/14/1981 4:04:58 PM,5/14/1981 4:05:37 PM,39,-0.04,0.09,
38,38,11/13/2015 4:09:24 PM,Light,5/14/1981 4:06:04 PM,5/14/1981 4:09:14 PM,190,0.05,0.14,
39,39,11/13/2015 4:13:14 PM,Light,5/14/1981 4:10:38 PM,5/14/1981 4:13:04 PM,146,-0.04,0.10,
40,40,11/13/2015 4:23:21 PM,Light,5/14/1981 4:15:13 PM,5/14/1981 4:23:10 PM,477,0.10,0.20,
41,41,11/13/2015 4:40:07 PM,Light,5/14/1981 4:23:26 PM,5/14/1981 4:39:56 PM,990,0.12,0.32,
41,42,11/13/2015 4:40:43 PM,Light,5/14/1981 4:40:10 PM,5/14/1981 4:40:32 PM,22,-0.06,0.25,
42,43,11/13/2015 4:44:03 PM,Light,5/14/1981 4:41:43 PM,5/14/1981 4:43:53 PM,130,0.04,0.29,
42,44,11/13/2015 4:46:07 PM,Light,5/14/1981 4:45:47 PM,5/14/1981 4:45:55 PM,8,-0.12,0.18,
42,45,11/13/2015 4:48:27 PM,Light,5/14/1981 4:46:16 PM,5/14/1981 4:48:17 PM,121,0.09,0.27,
43,46,11/13/2015 4:57:45 PM,Light,5/14/1981 4:54:44 PM,5/14/1981 4:57:35 PM,171,0.05,0.32,
44,47,11/13/2015 5:07:01 PM,Light,5/14/1981 4:59:42 PM,5/14/1981 5:06:51 PM,429,-0.03,0.29,
45,48,11/13/2015 5:12:48 PM,Light,5/14/1981 5:08:00 PM,5/14/1981 5:12:37 PM,277,0.06,0.34,
46,49,11/13/2015 5:20:51 PM,Light,5/14/1981 5:13:04 PM,5/14/1981 5:20:40 PM,456,-0.04,0.30,
47,50,11/13/2015 5:28:59 PM,Light,5/14/1981 5:22:10 PM,5/14/1981 5:28:49 PM,399,0.11,0.41,
48,51,11/13/2015 5:44:56 PM,Light,5/14/1981 5:41:56 PM,5/14/1981 5:44:45 PM,169,-0.11,0.31,
