Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
2,1,8/27/2015 3:28:28 PM,Light,2/25/1981 3:27:49 PM,2/25/1981 3:28:18 PM,29,-0.06,-0.06,
2,2,8/27/2015 3:30:12 PM,Light,2/25/1981 3:29:10 PM,2/25/1981 3:30:02 PM,52,0.09,0.03,
13,3,8/27/2015 4:05:28 PM,Light,2/25/1981 4:04:58 PM,2/25/1981 4:05:18 PM,20,0.05,0.08,
14,4,8/27/2015 4:07:40 PM,Light,2/25/1981 4:07:14 PM,2/25/1981 4:07:30 PM,16,-0.05,0.03,
21,5,8/27/2015 4:30:08 PM,Light,2/25/1981 4:26:56 PM,2/25/1981 4:29:57 PM,181,0.13,0.16,
23,6,8/27/2015 4:35:44 PM,Light,2/25/1981 4:31:58 PM,2/25/1981 4:35:34 PM,216,0.24,0.40,
23,7,8/27/2015 4:37:02 PM,Light,2/25/1981 4:36:25 PM,2/25/1981 4:36:52 PM,27,0.04,0.45,
25,8,8/27/2015 4:42:32 PM,Light,2/25/1981 4:42:05 PM,2/25/1981 4:42:22 PM,17,0.04,0.49,
26,9,8/27/2015 4:44:15 PM,Light,2/25/1981 4:43:40 PM,2/25/1981 4:44:04 PM,24,-0.04,0.45,
27,10,8/27/2015 4:49:02 PM,Light,2/25/1981 4:48:39 PM,2/25/1981 4:48:51 PM,12,-0.05,0.40,
30,11,8/27/2015 4:58:18 PM,Light,2/25/1981 4:56:23 PM,2/25/1981 4:58:07 PM,104,0.05,0.45,
39,12,8/27/2015 5:26:14 PM,Light,2/25/1981 5:25:31 PM,2/25/1981 5:26:04 PM,33,0.04,0.49,
42,13,8/27/2015 5:36:06 PM,Light,2/25/1981 5:33:40 PM,2/25/1981 5:35:55 PM,135,0.17,0.66,
43,14,8/27/2015 5:39:43 PM,Light,2/25/1981 5:37:49 PM,2/25/1981 5:39:32 PM,103,-0.03,0.63,
44,15,8/27/2015 5:43:29 PM,Light,2/25/1981 5:43:09 PM,2/25/1981 5:43:19 PM,10,0.05,0.68,
47,16,8/27/2015 5:52:46 PM,Light,2/25/1981 5:52:21 PM,2/25/1981 5:52:35 PM,14,-0.06,0.62,
48,17,8/27/2015 5:54:56 PM,Light,2/25/1981 5:54:41 PM,2/25/1981 5:54:46 PM,5,0.10,0.72,
49,18,8/27/2015 5:59:58 PM,Light,2/25/1981 5:59:41 PM,2/25/1981 5:59:48 PM,7,0.06,0.78,
50,19,8/27/2015 6:01:03 PM,Light,2/25/1981 6:00:12 PM,2/25/1981 6:00:52 PM,40,-0.27,0.51,
50,20,8/27/2015 6:02:17 PM,Light,2/25/1981 6:01:49 PM,2/25/1981 6:02:07 PM,18,0.16,0.67,
51,21,8/27/2015 6:05:24 PM,Light,2/25/1981 6:04:17 PM,2/25/1981 6:05:13 PM,56,0.27,0.94,
60,22,8/27/2015 6:34:40 PM,Light,2/25/1981 6:31:50 PM,2/25/1981 6:34:29 PM,159,-0.03,0.90,
67,23,8/27/2015 6:56:58 PM,Light,2/25/1981 6:54:59 PM,2/25/1981 6:56:48 PM,109,0.21,1.11,
69,24,8/27/2015 7:02:24 PM,Dark,2/25/1981 7:01:01 PM,2/25/1981 7:02:14 PM,73,0.06,1.16,
69,25,8/27/2015 7:02:52 PM,Dark,2/25/1981 7:02:35 PM,2/25/1981 7:02:42 PM,7,-0.07,1.10,
72,26,8/27/2015 7:12:21 PM,Dark,2/25/1981 7:10:30 PM,2/25/1981 7:12:10 PM,100,0.03,1.13,
72,27,8/27/2015 7:13:18 PM,Dark,2/25/1981 7:12:47 PM,2/25/1981 7:13:07 PM,20,-0.09,1.04,
75,28,8/27/2015 7:20:31 PM,Dark,2/25/1981 7:19:49 PM,2/25/1981 7:20:21 PM,32,0.10,1.14,
76,29,8/27/2015 7:26:16 PM,Dark,2/25/1981 7:25:36 PM,2/25/1981 7:26:06 PM,30,-0.05,1.09,
90,30,8/27/2015 8:07:38 PM,Dark,2/25/1981 8:06:42 PM,2/25/1981 8:07:27 PM,45,0.09,1.17,
90,31,8/27/2015 8:08:06 PM,Dark,2/25/1981 8:07:49 PM,2/25/1981 8:07:56 PM,7,-0.09,1.09,
92,32,8/27/2015 8:16:22 PM,Dark,2/25/1981 8:15:47 PM,2/25/1981 8:16:11 PM,24,-0.08,1.01,
95,33,8/27/2015 8:26:24 PM,Dark,2/25/1981 8:20:51 PM,2/25/1981 8:26:13 PM,322,0.31,1.31,
99,34,8/27/2015 8:37:37 PM,Dark,2/25/1981 8:36:39 PM,2/25/1981 8:37:27 PM,48,0.08,1.39,
102,35,8/27/2015 8:48:01 PM,Dark,2/25/1981 8:42:22 PM,2/25/1981 8:47:51 PM,329,0.31,1.70,
104,36,8/27/2015 8:53:44 PM,Dark,2/25/1981 8:51:33 PM,2/25/1981 8:53:34 PM,121,-0.05,1.65,
107,37,8/27/2015 9:02:49 PM,Dark,2/25/1981 9:01:05 PM,2/25/1981 9:02:39 PM,94,0.13,1.78,
110,38,8/27/2015 9:13:31 PM,Dark,2/25/1981 9:10:34 PM,2/25/1981 9:13:21 PM,167,-0.06,1.72,
110,39,8/27/2015 9:14:04 PM,Dark,2/25/1981 9:13:49 PM,2/25/1981 9:13:54 PM,5,-0.04,1.67,
121,40,8/27/2015 9:48:34 PM,Dark,2/25/1981 9:46:35 PM,2/25/1981 9:48:23 PM,108,-0.05,1.62,
124,41,8/27/2015 9:57:47 PM,Dark,2/25/1981 9:55:32 PM,2/25/1981 9:57:37 PM,125,0.10,1.72,
126,42,8/27/2015 10:05:29 PM,Dark,2/25/1981 10:04:43 PM,2/25/1981 10:05:18 PM,35,-0.04,1.68,
130,43,8/27/2015 10:15:56 PM,Dark,2/25/1981 10:13:39 PM,2/25/1981 10:15:45 PM,126,-0.03,1.65,
136,44,8/27/2015 10:34:39 PM,Dark,2/25/1981 10:31:37 PM,2/25/1981 10:34:29 PM,172,0.11,1.76,
140,45,8/27/2015 10:48:34 PM,Dark,2/25/1981 10:46:19 PM,2/25/1981 10:48:23 PM,124,0.19,1.94,
141,46,8/27/2015 10:51:17 PM,Dark,2/25/1981 10:49:26 PM,2/25/1981 10:51:06 PM,100,0.07,2.02,
144,47,8/27/2015 11:01:12 PM,Dark,2/25/1981 10:58:46 PM,2/25/1981 11:01:01 PM,135,-0.08,1.94,
145,48,8/27/2015 11:05:05 PM,Dark,2/25/1981 11:03:44 PM,2/25/1981 11:04:55 PM,71,-0.06,1.88,
150,49,8/27/2015 11:18:59 PM,Dark,2/25/1981 11:16:46 PM,2/25/1981 11:18:49 PM,123,0.03,1.91,
155,50,8/27/2015 11:36:48 PM,Dark,2/25/1981 11:34:39 PM,2/25/1981 11:36:38 PM,119,-0.07,1.84,
158,51,8/27/2015 11:45:44 PM,Dark,2/26/1981 11:43:46 PM,2/26/1981 11:45:34 PM,108,0.06,1.90,
164,52,8/28/2015 12:03:48 AM,Dark,2/26/1981 12:01:39 AM,2/26/1981 12:03:37 AM,118,0.04,1.94,
166,53,8/28/2015 12:13:06 AM,Dark,2/26/1981 12:10:37 AM,2/26/1981 12:12:56 AM,139,-0.07,1.86,
168,54,8/28/2015 12:16:53 AM,Dark,2/26/1981 12:14:45 AM,2/26/1981 12:16:42 AM,117,0.18,2.05,
172,55,8/28/2015 12:31:01 AM,Dark,2/26/1981 12:28:41 AM,2/26/1981 12:30:50 AM,129,0.12,2.16,
175,56,8/28/2015 12:39:03 AM,Dark,2/26/1981 12:37:46 AM,2/26/1981 12:38:52 AM,66,-0.05,2.11,
175,57,8/28/2015 12:40:19 AM,Dark,2/26/1981 12:39:29 AM,2/26/1981 12:40:08 AM,39,-0.06,2.05,
176,58,8/28/2015 12:42:06 AM,Dark,2/26/1981 12:41:34 AM,2/26/1981 12:41:55 AM,21,0.07,2.12,
177,59,8/28/2015 12:45:16 AM,Dark,2/26/1981 12:44:54 AM,2/26/1981 12:45:05 AM,11,-0.07,2.05,
178,60,8/28/2015 12:48:42 AM,Dark,2/26/1981 12:46:36 AM,2/26/1981 12:48:31 AM,115,0.05,2.10,
180,61,8/28/2015 12:54:52 AM,Dark,2/26/1981 12:52:56 AM,2/26/1981 12:54:42 AM,106,0.06,2.15,
181,62,8/28/2015 12:57:41 AM,Dark,2/26/1981 12:55:40 AM,2/26/1981 12:57:31 AM,111,0.10,2.26,
186,63,8/28/2015 1:16:03 AM,Dark,2/26/1981 1:13:54 AM,2/26/1981 1:15:52 AM,118,-0.06,2.19,
187,64,8/28/2015 1:19:28 AM,Dark,2/26/1981 1:18:44 AM,2/26/1981 1:19:18 AM,34,0.07,2.27,
189,65,8/28/2015 1:25:20 AM,Dark,2/26/1981 1:23:15 AM,2/26/1981 1:25:09 AM,114,-0.03,2.23,
192,66,8/28/2015 1:33:13 AM,Dark,2/26/1981 1:32:01 AM,2/26/1981 1:33:03 AM,62,0.04,2.28,
192,67,8/28/2015 1:34:22 AM,Dark,2/26/1981 1:33:51 AM,2/26/1981 1:34:11 AM,20,-0.06,2.21,
198,68,8/28/2015 1:51:45 AM,Dark,2/26/1981 1:50:29 AM,2/26/1981 1:51:34 AM,65,-0.18,2.03,
200,69,8/28/2015 2:01:24 AM,Dark,2/26/1981 1:59:25 AM,2/26/1981 2:01:14 AM,109,0.14,2.17,
203,70,8/28/2015 2:10:27 AM,Dark,2/26/1981 2:08:13 AM,2/26/1981 2:10:17 AM,124,0.05,2.22,
206,71,8/28/2015 2:18:51 AM,Dark,2/26/1981 2:16:46 AM,2/26/1981 2:18:41 AM,115,-0.07,2.14,
209,72,8/28/2015 2:27:13 AM,Dark,2/26/1981 2:26:02 AM,2/26/1981 2:27:03 AM,61,0.09,2.24,
217,73,8/28/2015 2:55:17 AM,Dark,2/26/1981 2:52:33 AM,2/26/1981 2:55:07 AM,154,0.06,2.30,
223,74,8/28/2015 3:13:31 AM,Dark,2/26/1981 3:10:37 AM,2/26/1981 3:13:20 AM,163,0.05,2.35,
224,75,8/28/2015 3:14:48 AM,Dark,2/26/1981 3:14:00 AM,2/26/1981 3:14:38 AM,38,-0.07,2.28,
227,76,8/28/2015 3:24:47 AM,Dark,2/26/1981 3:24:29 AM,2/26/1981 3:24:37 AM,8,0.12,2.40,
227,77,8/28/2015 3:26:43 AM,Dark,2/26/1981 3:25:56 AM,2/26/1981 3:26:33 AM,37,-0.15,2.25,
227,78,8/28/2015 3:27:16 AM,Dark,2/26/1981 3:26:49 AM,2/26/1981 3:27:06 AM,17,0.05,2.30,
229,79,8/28/2015 3:30:59 AM,Dark,2/26/1981 3:28:41 AM,2/26/1981 3:30:48 AM,127,0.03,2.33,
231,80,8/28/2015 3:39:46 AM,Dark,2/26/1981 3:37:29 AM,2/26/1981 3:39:35 AM,126,-0.07,2.27,
234,81,8/28/2015 3:48:37 AM,Dark,2/26/1981 3:46:27 AM,2/26/1981 3:48:26 AM,119,-0.05,2.22,
237,82,8/28/2015 3:57:42 AM,Dark,2/26/1981 3:55:26 AM,2/26/1981 3:57:31 AM,125,0.05,2.27,
240,83,8/28/2015 4:06:53 AM,Dark,2/26/1981 4:04:29 AM,2/26/1981 4:06:43 AM,134,0.12,2.39,
243,84,8/28/2015 4:15:49 AM,Dark,2/26/1981 4:13:23 AM,2/26/1981 4:15:39 AM,136,-0.07,2.31,
246,85,8/28/2015 4:25:14 AM,Dark,2/26/1981 4:22:19 AM,2/26/1981 4:25:04 AM,165,-0.07,2.24,
248,86,8/28/2015 4:34:06 AM,Dark,2/26/1981 4:31:24 AM,2/26/1981 4:33:56 AM,152,0.21,2.45,
251,87,8/28/2015 4:42:24 AM,Dark,2/26/1981 4:40:40 AM,2/26/1981 4:42:14 AM,94,0.13,2.59,
254,88,8/28/2015 4:52:16 AM,Dark,2/26/1981 4:49:54 AM,2/26/1981 4:52:05 AM,131,-0.15,2.44,
268,89,8/28/2015 5:37:33 AM,Dark,2/26/1981 5:34:12 AM,2/26/1981 5:37:23 AM,191,0.17,2.61,
271,90,8/28/2015 5:45:30 AM,Dark,2/26/1981 5:43:20 AM,2/26/1981 5:45:18 AM,118,-0.03,2.58,
275,91,8/28/2015 5:57:39 AM,Dark,2/26/1981 5:57:09 AM,2/26/1981 5:57:28 AM,19,0.09,2.67,
275,92,8/28/2015 5:58:49 AM,Dark,2/26/1981 5:58:35 AM,2/26/1981 5:58:38 AM,3,-0.07,2.60,
278,93,8/28/2015 6:08:35 AM,Dark,2/26/1981 6:07:03 AM,2/26/1981 6:08:24 AM,81,0.04,2.64,
279,94,8/28/2015 6:12:22 AM,Dark,2/26/1981 6:09:11 AM,2/26/1981 6:12:12 AM,181,-0.04,2.59,
281,95,8/28/2015 6:17:05 AM,Dark,2/26/1981 6:15:31 AM,2/26/1981 6:16:55 AM,84,0.31,2.90,
281,96,8/28/2015 6:19:05 AM,Dark,2/26/1981 6:18:15 AM,2/26/1981 6:18:55 AM,40,-0.12,2.77,
281,97,8/28/2015 6:19:32 AM,Dark,2/26/1981 6:19:09 AM,2/26/1981 6:19:21 AM,12,0.06,2.83,
282,98,8/28/2015 6:22:24 AM,Dark,2/26/1981 6:21:09 AM,2/26/1981 6:22:12 AM,63,-0.07,2.76,
283,99,8/28/2015 6:26:25 AM,Dark,2/26/1981 6:22:57 AM,2/26/1981 6:26:14 AM,197,-0.11,2.65,
284,100,8/28/2015 6:26:58 AM,Dark,2/26/1981 6:26:38 AM,2/26/1981 6:26:47 AM,9,0.09,2.75,
286,101,8/28/2015 6:32:39 AM,Dark,2/26/1981 6:31:13 AM,2/26/1981 6:32:28 AM,75,0.08,2.83,
287,102,8/28/2015 6:36:16 AM,Dark,2/26/1981 6:35:52 AM,2/26/1981 6:36:06 AM,14,-0.09,2.75,
289,103,8/28/2015 6:42:16 AM,Dark,2/26/1981 6:41:45 AM,2/26/1981 6:42:06 AM,21,0.03,2.78,
290,104,8/28/2015 6:47:28 AM,Dark,2/26/1981 6:45:33 AM,2/26/1981 6:47:17 AM,104,-0.05,2.73,
292,105,8/28/2015 6:54:29 AM,Dark,2/26/1981 6:52:25 AM,2/26/1981 6:54:18 AM,113,0.18,2.91,
