Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
309,1,1/2/2016 8:25:06 AM,Light,1/1/2016 8:40:57 AM,1/2/2016 8:24:55 AM,85438,3.50,3.50,
328,2,1/2/2016 2:24:50 PM,Light,1/2/2016 8:25:13 AM,1/2/2016 2:24:39 PM,21566,232.16,235.66,
336,3,1/2/2016 4:36:07 PM,Light,1/2/2016 2:24:53 PM,1/2/2016 4:35:56 PM,7863,-238.92,-3.26,
336,4,1/2/2016 4:47:09 PM,Light,1/2/2016 4:36:11 PM,1/2/2016 4:46:59 PM,648,0.04,-3.22,
336,5,1/2/2016 4:49:04 PM,Light,1/2/2016 4:47:50 PM,1/2/2016 4:48:53 PM,63,0.04,-3.18,
337,6,1/2/2016 4:52:12 PM,Light,1/2/2016 4:51:58 PM,1/2/2016 4:52:01 PM,3,-0.05,-3.23,
337,7,1/2/2016 4:54:54 PM,Light,1/2/2016 4:52:23 PM,1/2/2016 4:54:44 PM,141,0.06,-3.18,
337,8,1/2/2016 4:58:36 PM,Light,1/2/2016 4:55:28 PM,1/2/2016 4:58:25 PM,177,0.21,-2.97,
337,9,1/2/2016 5:03:59 PM,Light,1/2/2016 4:58:43 PM,1/2/2016 5:03:49 PM,306,-0.20,-3.17,
337,10,1/2/2016 5:05:59 PM,Light,1/2/2016 5:05:07 PM,1/2/2016 5:05:48 PM,41,0.29,-2.88,
337,11,1/2/2016 5:08:45 PM,Light,1/2/2016 5:06:35 PM,1/2/2016 5:08:34 PM,119,-0.24,-3.13,
338,12,1/2/2016 5:09:36 PM,Light,1/2/2016 5:09:05 PM,1/2/2016 5:09:25 PM,20,0.10,-3.03,
338,13,1/2/2016 5:13:38 PM,Light,1/2/2016 5:09:41 PM,1/2/2016 5:13:27 PM,226,-0.12,-3.15,
338,14,1/2/2016 5:14:57 PM,Light,1/2/2016 5:13:49 PM,1/2/2016 5:14:46 PM,57,0.04,-3.11,
338,15,1/2/2016 5:16:03 PM,Light,1/2/2016 5:15:37 PM,1/2/2016 5:15:52 PM,15,-0.04,-3.15,
338,16,1/2/2016 5:16:57 PM,Light,1/2/2016 5:16:28 PM,1/2/2016 5:16:46 PM,18,0.05,-3.10,
339,17,1/2/2016 5:34:58 PM,Light,1/2/2016 5:18:50 PM,1/2/2016 5:34:47 PM,957,-0.07,-3.17,
339,18,1/2/2016 5:39:28 PM,Light,1/2/2016 5:35:12 PM,1/2/2016 5:39:17 PM,245,0.15,-3.02,
339,19,1/2/2016 5:41:28 PM,Light,1/2/2016 5:39:29 PM,1/2/2016 5:41:18 PM,109,0.08,-2.93,
339,20,1/2/2016 5:41:55 PM,Light,1/2/2016 5:41:33 PM,1/2/2016 5:41:45 PM,12,-0.16,-3.09,
340,21,1/2/2016 5:55:17 PM,Light,1/2/2016 5:42:01 PM,1/2/2016 5:55:06 PM,785,0.05,-3.04,
