Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,12/7/2015 5:29:27 PM,Light,12/7/2015 5:29:05 PM,12/7/2015 5:29:16 PM,11,-0.07,-0.07,
1,2,12/7/2015 5:30:07 PM,Light,12/7/2015 5:29:32 PM,12/7/2015 5:29:56 PM,24,0.17,0.10,
1,3,12/7/2015 5:31:12 PM,Light,12/7/2015 5:30:21 PM,12/7/2015 5:31:02 PM,41,-0.11,-0.01,
1,4,12/7/2015 5:31:35 PM,Light,12/7/2015 5:31:13 PM,12/7/2015 5:31:24 PM,11,0.07,0.06,
1,5,12/7/2015 5:44:34 PM,Light,12/7/2015 5:31:45 PM,12/7/2015 5:44:23 PM,758,0.04,0.10,
2,6,12/7/2015 5:55:44 PM,Light,12/7/2015 5:45:06 PM,12/7/2015 5:55:33 PM,627,-0.19,-0.09,
2,7,12/7/2015 5:56:18 PM,Light,12/7/2015 5:55:58 PM,12/7/2015 5:56:07 PM,9,0.13,0.04,
2,8,12/7/2015 6:08:16 PM,Light,12/7/2015 5:56:44 PM,12/7/2015 6:08:05 PM,681,0.30,0.34,
2,9,12/7/2015 6:08:58 PM,Light,12/7/2015 6:08:44 PM,12/7/2015 6:08:47 PM,3,-0.15,0.19,
3,10,12/7/2015 6:20:53 PM,Light,12/7/2015 6:09:44 PM,12/7/2015 6:20:43 PM,659,0.17,0.36,
3,11,12/7/2015 6:33:04 PM,Light,12/7/2015 6:21:15 PM,12/7/2015 6:32:54 PM,699,-0.31,0.06,
3,12,12/7/2015 6:33:55 PM,Light,12/7/2015 6:33:18 PM,12/7/2015 6:33:44 PM,26,0.32,0.37,
3,13,12/7/2015 6:45:32 PM,Light,12/7/2015 6:34:14 PM,12/7/2015 6:45:22 PM,668,-0.12,0.25,
4,14,12/7/2015 6:56:56 PM,Dark,12/7/2015 6:45:51 PM,12/7/2015 6:56:45 PM,654,0.11,0.36,
4,15,12/7/2015 7:08:16 PM,Dark,12/7/2015 6:57:56 PM,12/7/2015 7:08:05 PM,609,0.04,0.40,
5,16,12/7/2015 7:20:47 PM,Dark,12/7/2015 7:09:58 PM,12/7/2015 7:20:36 PM,638,0.16,0.56,
5,17,12/7/2015 7:31:58 PM,Dark,12/7/2015 7:21:26 PM,12/7/2015 7:31:47 PM,621,-0.23,0.33,
5,18,12/7/2015 7:33:29 PM,Dark,12/7/2015 7:32:48 PM,12/7/2015 7:33:19 PM,31,0.07,0.41,
6,19,12/7/2015 7:43:56 PM,Dark,12/7/2015 7:33:30 PM,12/7/2015 7:43:45 PM,615,0.11,0.51,
6,20,12/7/2015 7:44:30 PM,Dark,12/7/2015 7:44:15 PM,12/7/2015 7:44:19 PM,4,-0.09,0.42,
6,21,12/7/2015 7:45:53 PM,Dark,12/7/2015 7:44:58 PM,12/7/2015 7:45:43 PM,45,0.31,0.74,
7,22,12/7/2015 8:17:59 PM,Dark,12/7/2015 8:08:36 PM,12/7/2015 8:17:49 PM,553,-0.16,0.58,
7,23,12/7/2015 8:21:56 PM,Dark,12/7/2015 8:19:49 PM,12/7/2015 8:21:46 PM,117,-0.04,0.54,
8,24,12/7/2015 8:31:46 PM,Dark,12/7/2015 8:21:57 PM,12/7/2015 8:31:36 PM,579,0.10,0.63,
8,25,12/7/2015 8:32:15 PM,Dark,12/7/2015 8:31:53 PM,12/7/2015 8:32:04 PM,11,0.12,0.76,
8,26,12/7/2015 8:33:25 PM,Dark,12/7/2015 8:32:49 PM,12/7/2015 8:33:15 PM,26,-0.09,0.66,
8,27,12/7/2015 8:33:40 PM,Dark,12/7/2015 8:33:26 PM,12/7/2015 8:33:29 PM,3,0.10,0.76,
8,28,12/7/2015 8:34:20 PM,Dark,12/7/2015 8:33:59 PM,12/7/2015 8:34:10 PM,11,-0.17,0.59,
8,29,12/7/2015 8:43:23 PM,Dark,12/7/2015 8:42:48 PM,12/7/2015 8:43:13 PM,25,0.23,0.82,
8,30,12/7/2015 8:43:58 PM,Dark,12/7/2015 8:43:24 PM,12/7/2015 8:43:48 PM,24,-0.11,0.71,
9,31,12/7/2015 8:56:16 PM,Dark,12/7/2015 8:55:53 PM,12/7/2015 8:56:05 PM,12,0.15,0.85,
9,32,12/7/2015 8:58:00 PM,Dark,12/7/2015 8:57:09 PM,12/7/2015 8:57:50 PM,41,-0.04,0.82,
10,33,12/7/2015 9:18:42 PM,Dark,12/7/2015 9:08:07 PM,12/7/2015 9:18:31 PM,624,0.19,1.00,
10,34,12/7/2015 9:20:12 PM,Dark,12/7/2015 9:19:59 PM,12/7/2015 9:20:01 PM,2,-0.16,0.84,
10,35,12/7/2015 9:30:52 PM,Dark,12/7/2015 9:20:48 PM,12/7/2015 9:30:42 PM,594,-0.07,0.77,
10,36,12/7/2015 9:41:38 PM,Dark,12/7/2015 9:40:15 PM,12/7/2015 9:41:27 PM,72,0.15,0.92,
11,37,12/7/2015 9:44:34 PM,Dark,12/7/2015 9:44:07 PM,12/7/2015 9:44:24 PM,17,0.05,0.97,
11,38,12/7/2015 9:53:32 PM,Dark,12/7/2015 9:44:39 PM,12/7/2015 9:53:22 PM,523,-0.13,0.84,
11,39,12/7/2015 9:54:27 PM,Dark,12/7/2015 9:54:13 PM,12/7/2015 9:54:16 PM,3,-0.07,0.78,
11,40,12/7/2015 10:02:32 PM,Dark,12/7/2015 9:54:47 PM,12/7/2015 10:02:22 PM,455,0.14,0.92,
12,41,12/7/2015 10:17:09 PM,Dark,12/7/2015 10:06:46 PM,12/7/2015 10:16:59 PM,613,0.09,1.00,
12,42,12/7/2015 10:17:48 PM,Dark,12/7/2015 10:17:14 PM,12/7/2015 10:17:37 PM,23,0.15,1.15,
12,43,12/7/2015 10:18:31 PM,Dark,12/7/2015 10:18:16 PM,12/7/2015 10:18:21 PM,5,-0.05,1.10,
12,44,12/7/2015 10:26:01 PM,Dark,12/7/2015 10:18:37 PM,12/7/2015 10:25:51 PM,434,0.12,1.22,
12,45,12/7/2015 10:29:32 PM,Dark,12/7/2015 10:26:02 PM,12/7/2015 10:29:21 PM,199,-0.11,1.11,
12,46,12/7/2015 10:31:13 PM,Dark,12/7/2015 10:30:59 PM,12/7/2015 10:31:02 PM,3,0.17,1.27,
12,47,12/7/2015 10:33:45 PM,Dark,12/7/2015 10:31:18 PM,12/7/2015 10:33:34 PM,136,-0.22,1.05,
13,48,12/7/2015 10:42:02 PM,Dark,12/7/2015 10:34:57 PM,12/7/2015 10:41:51 PM,414,0.08,1.13,
13,49,12/7/2015 10:44:23 PM,Dark,12/7/2015 10:42:26 PM,12/7/2015 10:44:13 PM,107,-0.40,0.73,
13,50,12/7/2015 10:45:25 PM,Dark,12/7/2015 10:44:42 PM,12/7/2015 10:45:14 PM,32,0.25,0.99,
13,51,12/7/2015 10:48:31 PM,Dark,12/7/2015 10:45:30 PM,12/7/2015 10:48:21 PM,171,-0.04,0.95,
13,52,12/7/2015 10:53:06 PM,Dark,12/7/2015 10:48:43 PM,12/7/2015 10:52:55 PM,252,-0.09,0.86,
14,53,12/7/2015 11:05:45 PM,Dark,12/7/2015 10:54:56 PM,12/7/2015 11:05:35 PM,639,0.43,1.28,
14,54,12/7/2015 11:17:04 PM,Dark,12/7/2015 11:05:52 PM,12/7/2015 11:16:53 PM,661,0.04,1.32,
14,55,12/7/2015 11:20:11 PM,Dark,12/7/2015 11:18:37 PM,12/7/2015 11:20:00 PM,83,-0.21,1.11,
15,56,12/7/2015 11:25:50 PM,Dark,12/7/2015 11:20:22 PM,12/7/2015 11:25:39 PM,317,0.22,1.33,
15,57,12/7/2015 11:29:11 PM,Dark,12/7/2015 11:25:56 PM,12/7/2015 11:29:00 PM,184,-0.25,1.08,
15,58,12/7/2015 11:41:09 PM,Dark,12/7/2015 11:30:17 PM,12/7/2015 11:40:59 PM,642,-0.14,0.94,
16,59,12/7/2015 11:52:00 PM,Dark,12/7/2015 11:41:22 PM,12/7/2015 11:51:49 PM,627,0.38,1.32,
16,60,12/7/2015 11:52:42 PM,Dark,12/7/2015 11:52:19 PM,12/7/2015 11:52:31 PM,12,0.08,1.40,
16,61,12/8/2015 12:02:35 AM,Dark,12/8/2015 12:01:59 AM,12/8/2015 12:02:24 AM,25,-0.12,1.28,
16,62,12/8/2015 12:04:49 AM,Dark,12/8/2015 12:02:55 AM,12/8/2015 12:04:39 AM,104,0.05,1.33,
16,63,12/8/2015 12:14:30 AM,Dark,12/8/2015 12:07:09 AM,12/8/2015 12:14:19 AM,430,0.07,1.40,
16,64,12/8/2015 12:15:48 AM,Dark,12/8/2015 12:14:43 AM,12/8/2015 12:15:37 AM,54,-0.09,1.31,
17,65,12/8/2015 12:19:07 AM,Dark,12/8/2015 12:18:17 AM,12/8/2015 12:18:57 AM,40,0.06,1.37,
17,66,12/8/2015 12:25:23 AM,Dark,12/8/2015 12:20:35 AM,12/8/2015 12:25:13 AM,278,-0.14,1.23,
17,67,12/8/2015 12:28:04 AM,Dark,12/8/2015 12:25:30 AM,12/8/2015 12:27:54 AM,144,0.28,1.51,
17,68,12/8/2015 12:38:14 AM,Dark,12/8/2015 12:29:24 AM,12/8/2015 12:38:03 AM,519,-0.27,1.24,
17,69,12/8/2015 12:40:08 AM,Dark,12/8/2015 12:38:42 AM,12/8/2015 12:39:58 AM,76,0.12,1.36,
17,70,12/8/2015 12:42:13 AM,Dark,12/8/2015 12:41:31 AM,12/8/2015 12:42:02 AM,31,0.11,1.47,
18,71,12/8/2015 12:42:40 AM,Dark,12/8/2015 12:42:19 AM,12/8/2015 12:42:30 AM,11,-0.16,1.31,
18,72,12/8/2015 12:51:24 AM,Dark,12/8/2015 12:43:15 AM,12/8/2015 12:51:14 AM,479,0.17,1.49,
18,73,12/8/2015 1:03:23 AM,Dark,12/8/2015 12:53:57 AM,12/8/2015 1:03:13 AM,556,-0.12,1.37,
18,74,12/8/2015 1:03:40 AM,Dark,12/8/2015 1:03:24 AM,12/8/2015 1:03:29 AM,5,0.09,1.46,
18,75,12/8/2015 1:04:15 AM,Dark,12/8/2015 1:03:45 AM,12/8/2015 1:04:04 AM,19,-0.09,1.37,
19,76,12/8/2015 1:15:53 AM,Dark,12/8/2015 1:12:58 AM,12/8/2015 1:15:43 AM,165,-0.13,1.23,
19,77,12/8/2015 1:16:46 AM,Dark,12/8/2015 1:16:13 AM,12/8/2015 1:16:35 AM,22,0.17,1.40,
19,78,12/8/2015 1:18:32 AM,Dark,12/8/2015 1:18:17 AM,12/8/2015 1:18:21 AM,4,0.03,1.44,
19,79,12/8/2015 1:28:36 AM,Dark,12/8/2015 1:19:33 AM,12/8/2015 1:28:25 AM,532,0.11,1.55,
20,80,12/8/2015 1:38:07 AM,Dark,12/8/2015 1:29:46 AM,12/8/2015 1:37:56 AM,490,0.05,1.60,
20,81,12/8/2015 1:38:32 AM,Dark,12/8/2015 1:38:12 AM,12/8/2015 1:38:22 AM,10,-0.17,1.44,
20,82,12/8/2015 1:39:03 AM,Dark,12/8/2015 1:38:47 AM,12/8/2015 1:38:52 AM,5,0.28,1.72,
20,83,12/8/2015 1:42:29 AM,Dark,12/8/2015 1:41:53 AM,12/8/2015 1:42:19 AM,26,-0.11,1.61,
20,84,12/8/2015 1:43:12 AM,Dark,12/8/2015 1:42:52 AM,12/8/2015 1:43:02 AM,10,-0.06,1.54,
20,85,12/8/2015 1:49:04 AM,Dark,12/8/2015 1:43:17 AM,12/8/2015 1:48:53 AM,336,0.19,1.73,
20,86,12/8/2015 1:50:33 AM,Dark,12/8/2015 1:49:09 AM,12/8/2015 1:50:22 AM,73,-0.19,1.54,
20,87,12/8/2015 1:51:44 AM,Dark,12/8/2015 1:50:54 AM,12/8/2015 1:51:34 AM,40,0.10,1.64,
21,88,12/8/2015 2:15:45 AM,Dark,12/8/2015 2:05:51 AM,12/8/2015 2:15:34 AM,583,0.03,1.67,
21,89,12/8/2015 2:16:41 AM,Dark,12/8/2015 2:15:51 AM,12/8/2015 2:16:30 AM,39,-0.21,1.46,
22,90,12/8/2015 2:40:03 AM,Dark,12/8/2015 2:17:06 AM,12/8/2015 2:39:52 AM,1366,0.16,1.62,
22,91,12/8/2015 2:42:43 AM,Dark,12/8/2015 2:42:13 AM,12/8/2015 2:42:32 AM,19,-0.03,1.59,
23,92,12/8/2015 2:51:23 AM,Dark,12/8/2015 2:42:47 AM,12/8/2015 2:51:13 AM,506,-0.16,1.43,
23,93,12/8/2015 2:52:44 AM,Dark,12/8/2015 2:51:35 AM,12/8/2015 2:52:33 AM,58,0.17,1.60,
23,94,12/8/2015 3:05:00 AM,Dark,12/8/2015 2:52:57 AM,12/8/2015 3:04:49 AM,712,0.05,1.65,
23,95,12/8/2015 3:06:11 AM,Dark,12/8/2015 3:05:43 AM,12/8/2015 3:06:00 AM,17,-0.19,1.46,
24,96,12/8/2015 3:19:55 AM,Dark,12/8/2015 3:06:30 AM,12/8/2015 3:19:45 AM,795,0.14,1.61,
24,97,12/8/2015 3:25:18 AM,Dark,12/8/2015 3:20:08 AM,12/8/2015 3:25:08 AM,300,0.18,1.78,
24,98,12/8/2015 3:29:11 AM,Dark,12/8/2015 3:27:22 AM,12/8/2015 3:29:01 AM,99,-0.07,1.71,
24,99,12/8/2015 3:29:28 AM,Dark,12/8/2015 3:29:12 AM,12/8/2015 3:29:17 AM,5,-0.17,1.55,
24,100,12/8/2015 3:35:12 AM,Dark,12/8/2015 3:30:28 AM,12/8/2015 3:35:01 AM,273,0.35,1.89,
25,101,12/8/2015 3:41:23 AM,Dark,12/8/2015 3:35:13 AM,12/8/2015 3:41:11 AM,358,-0.51,1.39,
25,102,12/8/2015 3:41:43 AM,Dark,12/8/2015 3:41:24 AM,12/8/2015 3:41:33 AM,9,0.23,1.61,
25,103,12/8/2015 3:51:21 AM,Dark,12/8/2015 3:45:20 AM,12/8/2015 3:51:10 AM,350,-0.10,1.51,
25,104,12/8/2015 3:53:12 AM,Dark,12/8/2015 3:52:58 AM,12/8/2015 3:53:01 AM,3,0.28,1.79,
25,105,12/8/2015 3:55:25 AM,Dark,12/8/2015 3:54:57 AM,12/8/2015 3:55:15 AM,18,-0.20,1.59,
25,106,12/8/2015 3:56:01 AM,Dark,12/8/2015 3:55:37 AM,12/8/2015 3:55:50 AM,13,-0.03,1.56,
25,107,12/8/2015 3:57:17 AM,Dark,12/8/2015 3:56:06 AM,12/8/2015 3:57:06 AM,60,0.12,1.68,
25,108,12/8/2015 4:05:49 AM,Dark,12/8/2015 3:57:18 AM,12/8/2015 4:05:39 AM,501,-0.05,1.63,
26,109,12/8/2015 4:17:28 AM,Dark,12/8/2015 4:05:56 AM,12/8/2015 4:17:17 AM,681,-0.06,1.57,
26,110,12/8/2015 4:20:43 AM,Dark,12/8/2015 4:19:40 AM,12/8/2015 4:20:32 AM,52,0.16,1.74,
26,111,12/8/2015 4:22:00 AM,Dark,12/8/2015 4:20:44 AM,12/8/2015 4:21:49 AM,65,-0.08,1.66,
26,112,12/8/2015 4:28:45 AM,Dark,12/8/2015 4:22:04 AM,12/8/2015 4:28:34 AM,390,-0.07,1.59,
27,113,12/8/2015 4:41:19 AM,Dark,12/8/2015 4:31:49 AM,12/8/2015 4:41:09 AM,560,-0.03,1.55,
