Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/7/2015 3:41:12 PM,Light,4/7/1981 3:40:32 PM,4/7/1981 3:41:02 PM,30,-0.05,-0.05,
1,2,10/7/2015 3:45:03 PM,Light,4/7/1981 3:42:47 PM,4/7/1981 3:44:52 PM,125,0.05,-0.01,
1,3,10/7/2015 3:47:36 PM,Light,4/7/1981 3:45:36 PM,4/7/1981 3:47:25 PM,109,-0.07,-0.07,
2,4,10/7/2015 4:13:26 PM,Light,4/7/1981 4:10:14 PM,4/7/1981 4:13:15 PM,181,-0.07,-0.14,
2,5,10/7/2015 4:15:35 PM,Light,4/7/1981 4:15:12 PM,4/7/1981 4:15:24 PM,12,0.09,-0.05,
2,6,10/7/2015 4:17:48 PM,Light,4/7/1981 4:17:08 PM,4/7/1981 4:17:37 PM,29,0.05,0.00,
2,7,10/7/2015 4:24:55 PM,Light,4/7/1981 4:18:24 PM,4/7/1981 4:24:43 PM,379,0.11,0.11,
2,8,10/7/2015 4:27:12 PM,Light,4/7/1981 4:26:41 PM,4/7/1981 4:27:02 PM,21,-0.09,0.02,
2,9,10/7/2015 4:27:39 PM,Light,4/7/1981 4:27:24 PM,4/7/1981 4:27:28 PM,4,0.05,0.07,
2,10,10/7/2015 4:32:21 PM,Light,4/7/1981 4:31:18 PM,4/7/1981 4:32:11 PM,53,-0.04,0.02,
2,11,10/7/2015 4:41:39 PM,Light,4/7/1981 4:38:17 PM,4/7/1981 4:41:28 PM,191,-0.07,-0.05,
2,12,10/7/2015 4:42:35 PM,Light,4/7/1981 4:41:45 PM,4/7/1981 4:42:24 PM,39,0.31,0.26,
2,13,10/7/2015 4:43:25 PM,Light,4/7/1981 4:42:46 PM,4/7/1981 4:43:15 PM,29,-0.07,0.19,
3,14,10/7/2015 4:49:17 PM,Light,4/7/1981 4:48:04 PM,4/7/1981 4:49:07 PM,63,-0.06,0.13,
3,15,10/7/2015 4:50:15 PM,Light,4/7/1981 4:49:45 PM,4/7/1981 4:50:05 PM,20,0.08,0.21,
3,16,10/7/2015 5:07:33 PM,Light,4/7/1981 5:06:40 PM,4/7/1981 5:07:23 PM,43,0.03,0.24,
3,17,10/7/2015 5:14:43 PM,Light,4/7/1981 5:14:11 PM,4/7/1981 5:14:32 PM,21,-0.03,0.20,
5,18,10/7/2015 6:07:04 PM,Light,4/7/1981 6:02:10 PM,4/7/1981 6:06:53 PM,283,0.16,0.37,
5,19,10/7/2015 6:08:31 PM,Light,4/7/1981 6:08:15 PM,4/7/1981 6:08:21 PM,6,0.04,0.41,
5,20,10/7/2015 6:09:03 PM,Light,4/7/1981 6:08:37 PM,4/7/1981 6:08:53 PM,16,0.07,0.48,
5,21,10/7/2015 6:12:09 PM,Light,4/7/1981 6:10:09 PM,4/7/1981 6:11:59 PM,110,-0.03,0.44,
5,22,10/7/2015 6:15:08 PM,Light,4/7/1981 6:14:27 PM,4/7/1981 6:14:57 PM,30,0.04,0.48,
5,23,10/7/2015 6:19:55 PM,Light,4/7/1981 6:15:59 PM,4/7/1981 6:19:44 PM,225,0.08,0.56,
5,24,10/7/2015 6:23:05 PM,Light,4/7/1981 6:22:26 PM,4/7/1981 6:22:54 PM,28,-0.07,0.49,
6,25,10/7/2015 6:31:54 PM,Light,4/7/1981 6:30:39 PM,4/7/1981 6:31:44 PM,65,0.03,0.53,
6,26,10/7/2015 6:44:31 PM,Light,4/7/1981 6:37:15 PM,4/7/1981 6:44:21 PM,426,0.32,0.85,
6,27,10/7/2015 6:45:41 PM,Light,4/7/1981 6:45:08 PM,4/7/1981 6:45:30 PM,22,-0.06,0.79,
6,28,10/7/2015 6:46:48 PM,Light,4/7/1981 6:46:12 PM,4/7/1981 6:46:37 PM,25,0.06,0.84,
6,29,10/7/2015 6:49:46 PM,Light,4/7/1981 6:48:57 PM,4/7/1981 6:49:35 PM,38,0.11,0.95,
6,30,10/7/2015 6:51:29 PM,Light,4/7/1981 6:49:53 PM,4/7/1981 6:51:18 PM,85,-0.22,0.73,
6,31,10/7/2015 6:54:31 PM,Light,4/7/1981 6:54:05 PM,4/7/1981 6:54:21 PM,16,0.07,0.81,
7,32,10/7/2015 7:01:27 PM,Dark,4/7/1981 7:00:37 PM,4/7/1981 7:01:16 PM,39,-0.05,0.76,
7,33,10/7/2015 7:05:15 PM,Dark,4/7/1981 7:01:38 PM,4/7/1981 7:05:05 PM,207,0.72,1.48,
7,34,10/7/2015 7:09:07 PM,Dark,4/7/1981 7:06:27 PM,4/7/1981 7:08:56 PM,149,-0.09,1.39,
7,35,10/7/2015 7:20:30 PM,Dark,4/7/1981 7:14:58 PM,4/7/1981 7:20:19 PM,321,0.22,1.61,
7,36,10/7/2015 7:22:53 PM,Dark,4/7/1981 7:22:39 PM,4/7/1981 7:22:42 PM,3,-0.04,1.58,
7,37,10/7/2015 7:28:18 PM,Dark,4/7/1981 7:27:52 PM,4/7/1981 7:28:08 PM,16,-0.04,1.53,
8,38,10/7/2015 7:41:00 PM,Dark,4/7/1981 7:40:01 PM,4/7/1981 7:40:49 PM,48,-0.06,1.47,
8,39,10/7/2015 7:47:36 PM,Dark,4/7/1981 7:42:21 PM,4/7/1981 7:47:26 PM,305,0.31,1.78,
8,40,10/7/2015 7:52:02 PM,Dark,4/7/1981 7:48:37 PM,4/7/1981 7:51:51 PM,194,0.15,1.93,
8,41,10/7/2015 7:55:26 PM,Dark,4/7/1981 7:52:49 PM,4/7/1981 7:55:16 PM,147,-0.10,1.83,
8,42,10/7/2015 7:58:34 PM,Dark,4/7/1981 7:58:15 PM,4/7/1981 7:58:23 PM,8,-0.03,1.80,
8,43,10/7/2015 8:00:09 PM,Dark,4/7/1981 7:58:55 PM,4/7/1981 7:59:59 PM,64,0.14,1.93,
8,44,10/7/2015 8:03:13 PM,Dark,4/7/1981 8:00:14 PM,4/7/1981 8:03:03 PM,169,-0.06,1.87,
9,45,10/7/2015 8:06:14 PM,Dark,4/7/1981 8:05:32 PM,4/7/1981 8:06:04 PM,32,-0.06,1.81,
9,46,10/7/2015 8:13:16 PM,Dark,4/7/1981 8:11:12 PM,4/7/1981 8:13:05 PM,113,0.05,1.86,
9,47,10/7/2015 8:13:36 PM,Dark,4/7/1981 8:13:19 PM,4/7/1981 8:13:26 PM,7,-0.03,1.83,
9,48,10/7/2015 8:22:02 PM,Dark,4/7/1981 8:16:09 PM,4/7/1981 8:21:52 PM,343,0.21,2.04,
9,49,10/7/2015 8:23:42 PM,Dark,4/7/1981 8:23:20 PM,4/7/1981 8:23:31 PM,11,-0.10,1.94,
9,50,10/7/2015 8:27:38 PM,Dark,4/7/1981 8:24:55 PM,4/7/1981 8:27:27 PM,152,0.07,2.01,
9,51,10/7/2015 8:29:12 PM,Dark,4/7/1981 8:28:53 PM,4/7/1981 8:29:01 PM,8,-0.09,1.93,
9,52,10/7/2015 8:30:14 PM,Dark,4/7/1981 8:29:33 PM,4/7/1981 8:30:03 PM,30,0.09,2.02,
