Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,1/5/2016 5:13:04 PM,Light,1/5/2016 5:11:49 PM,1/5/2016 5:12:54 PM,65,0.05,0.05,
1,2,1/5/2016 5:14:18 PM,Light,1/5/2016 5:14:00 PM,1/5/2016 5:14:07 PM,7,0.04,0.09,
1,3,1/5/2016 5:19:04 PM,Light,1/5/2016 5:18:21 PM,1/5/2016 5:18:53 PM,32,-0.11,-0.01,
2,4,1/5/2016 5:32:54 PM,Light,1/5/2016 5:28:48 PM,1/5/2016 5:32:44 PM,236,0.03,0.02,
2,5,1/5/2016 5:38:59 PM,Light,1/5/2016 5:35:48 PM,1/5/2016 5:38:49 PM,181,-0.07,-0.05,
2,6,1/5/2016 5:43:58 PM,Light,1/5/2016 5:43:28 PM,1/5/2016 5:43:47 PM,19,0.06,0.01,
2,7,1/5/2016 5:52:09 PM,Light,1/5/2016 5:49:26 PM,1/5/2016 5:51:59 PM,153,0.08,0.10,
3,8,1/5/2016 6:01:27 PM,Light,1/5/2016 5:56:41 PM,1/5/2016 6:01:16 PM,275,-0.04,0.06,
3,9,1/5/2016 6:08:50 PM,Light,1/5/2016 6:02:19 PM,1/5/2016 6:08:39 PM,380,0.11,0.16,
3,10,1/5/2016 6:12:01 PM,Light,1/5/2016 6:09:54 PM,1/5/2016 6:11:50 PM,116,0.06,0.22,
3,11,1/5/2016 6:20:59 PM,Light,1/5/2016 6:20:03 PM,1/5/2016 6:20:48 PM,45,-0.04,0.17,
3,12,1/5/2016 6:22:23 PM,Light,1/5/2016 6:21:23 PM,1/5/2016 6:22:12 PM,49,0.04,0.21,
3,13,1/5/2016 6:24:51 PM,Light,1/5/2016 6:23:46 PM,1/5/2016 6:24:40 PM,54,0.09,0.29,
3,14,1/5/2016 6:27:44 PM,Light,1/5/2016 6:25:18 PM,1/5/2016 6:27:33 PM,135,-0.08,0.21,
4,15,1/5/2016 6:35:21 PM,Light,1/5/2016 6:31:39 PM,1/5/2016 6:35:10 PM,211,0.06,0.27,
4,16,1/5/2016 6:40:28 PM,Light,1/5/2016 6:37:42 PM,1/5/2016 6:40:17 PM,155,-0.04,0.23,
4,17,1/5/2016 6:54:36 PM,Light,1/5/2016 6:53:09 PM,1/5/2016 6:54:25 PM,76,0.11,0.34,
5,18,1/5/2016 6:58:17 PM,Dark,1/5/2016 6:57:27 PM,1/5/2016 6:58:05 PM,38,0.06,0.39,
5,19,1/5/2016 7:06:28 PM,Dark,1/5/2016 7:03:40 PM,1/5/2016 7:06:18 PM,158,-0.07,0.32,
5,20,1/5/2016 7:14:15 PM,Dark,1/5/2016 7:13:23 PM,1/5/2016 7:14:05 PM,42,0.14,0.47,
6,21,1/5/2016 7:26:17 PM,Dark,1/5/2016 7:19:53 PM,1/5/2016 7:26:06 PM,373,0.06,0.52,
6,22,1/5/2016 7:33:04 PM,Dark,1/5/2016 7:31:24 PM,1/5/2016 7:32:54 PM,90,-0.06,0.46,
6,23,1/5/2016 7:34:52 PM,Dark,1/5/2016 7:34:23 PM,1/5/2016 7:34:41 PM,18,0.10,0.56,
6,24,1/5/2016 7:36:00 PM,Dark,1/5/2016 7:35:17 PM,1/5/2016 7:35:50 PM,33,-0.04,0.52,
6,25,1/5/2016 7:52:21 PM,Dark,1/5/2016 7:49:20 PM,1/5/2016 7:52:10 PM,170,-0.06,0.46,
7,26,1/5/2016 7:55:24 PM,Dark,1/5/2016 7:52:22 PM,1/5/2016 7:55:13 PM,171,0.16,0.62,
7,27,1/5/2016 7:58:28 PM,Dark,1/5/2016 7:56:53 PM,1/5/2016 7:58:17 PM,84,0.06,0.68,
7,28,1/5/2016 8:05:04 PM,Dark,1/5/2016 8:01:06 PM,1/5/2016 8:04:54 PM,228,0.03,0.71,
7,29,1/5/2016 8:09:36 PM,Dark,1/5/2016 8:08:10 PM,1/5/2016 8:09:25 PM,75,-0.07,0.64,
7,30,1/5/2016 8:15:11 PM,Dark,1/5/2016 8:13:19 PM,1/5/2016 8:15:01 PM,102,0.10,0.75,
7,31,1/5/2016 8:21:07 PM,Dark,1/5/2016 8:17:30 PM,1/5/2016 8:20:57 PM,207,1.13,1.87,
8,32,1/5/2016 8:29:06 PM,Dark,1/5/2016 8:27:58 PM,1/5/2016 8:28:56 PM,58,-0.03,1.84,
8,33,1/5/2016 8:33:53 PM,Dark,1/5/2016 8:31:40 PM,1/5/2016 8:33:43 PM,123,-0.06,1.78,
8,34,1/5/2016 8:36:12 PM,Dark,1/5/2016 8:34:35 PM,1/5/2016 8:36:01 PM,86,0.05,1.83,
8,35,1/5/2016 8:41:24 PM,Dark,1/5/2016 8:38:53 PM,1/5/2016 8:41:13 PM,140,-0.04,1.79,
8,36,1/5/2016 8:46:01 PM,Dark,1/5/2016 8:44:12 PM,1/5/2016 8:45:50 PM,98,0.12,1.91,
8,37,1/5/2016 8:47:56 PM,Dark,1/5/2016 8:47:16 PM,1/5/2016 8:47:45 PM,29,-0.11,1.80,
9,38,1/5/2016 9:00:07 PM,Dark,1/5/2016 8:51:50 PM,1/5/2016 8:59:57 PM,487,0.06,1.86,
10,39,1/5/2016 9:42:21 PM,Dark,1/5/2016 9:40:45 PM,1/5/2016 9:42:10 PM,85,-0.04,1.82,
11,40,1/5/2016 9:49:28 PM,Dark,1/5/2016 9:47:08 PM,1/5/2016 9:49:18 PM,130,0.04,1.86,
12,41,1/5/2016 10:20:55 PM,Dark,1/5/2016 10:19:47 PM,1/5/2016 10:20:45 PM,58,0.04,1.90,
12,42,1/5/2016 10:41:26 PM,Dark,1/5/2016 10:38:12 PM,1/5/2016 10:41:15 PM,183,0.27,2.17,
13,43,1/5/2016 10:48:36 PM,Dark,1/5/2016 10:47:47 PM,1/5/2016 10:48:25 PM,38,0.08,2.25,
13,44,1/5/2016 10:49:28 PM,Dark,1/5/2016 10:48:45 PM,1/5/2016 10:49:17 PM,32,-0.04,2.21,
13,45,1/5/2016 11:03:15 PM,Dark,1/5/2016 11:02:03 PM,1/5/2016 11:03:04 PM,61,-0.10,2.11,
14,46,1/5/2016 11:23:03 PM,Dark,1/5/2016 11:11:45 PM,1/5/2016 11:22:52 PM,667,1.66,3.77,
15,47,1/5/2016 11:50:20 PM,Dark,1/5/2016 11:43:02 PM,1/5/2016 11:50:09 PM,427,2.42,6.19,
15,48,1/5/2016 11:50:50 PM,Dark,1/5/2016 11:50:29 PM,1/5/2016 11:50:40 PM,11,-0.10,6.09,
15,49,1/5/2016 11:56:37 PM,Dark,1/5/2016 11:56:00 PM,1/5/2016 11:56:26 PM,26,0.10,6.19,
16,50,1/6/2016 12:12:59 AM,Dark,1/6/2016 12:11:28 AM,1/6/2016 12:12:47 AM,79,0.06,6.26,
17,51,1/6/2016 1:06:05 AM,Dark,1/6/2016 1:03:59 AM,1/6/2016 1:05:55 AM,116,0.07,6.32,
17,52,1/6/2016 1:08:08 AM,Dark,1/6/2016 1:07:10 AM,1/6/2016 1:07:57 AM,47,-0.07,6.25,
18,53,1/6/2016 1:10:37 AM,Dark,1/6/2016 1:09:01 AM,1/6/2016 1:10:27 AM,86,0.05,6.30,
18,54,1/6/2016 1:12:45 AM,Dark,1/6/2016 1:12:24 AM,1/6/2016 1:12:34 AM,10,-0.04,6.26,
18,55,1/6/2016 1:15:18 AM,Dark,1/6/2016 1:12:46 AM,1/6/2016 1:15:07 AM,141,0.04,6.30,
18,56,1/6/2016 1:17:18 AM,Dark,1/6/2016 1:16:25 AM,1/6/2016 1:17:07 AM,42,-0.03,6.27,
18,57,1/6/2016 1:25:27 AM,Dark,1/6/2016 1:22:53 AM,1/6/2016 1:25:17 AM,144,0.05,6.32,
18,58,1/6/2016 1:28:40 AM,Dark,1/6/2016 1:26:18 AM,1/6/2016 1:28:29 AM,131,-0.05,6.27,
18,59,1/6/2016 1:31:16 AM,Dark,1/6/2016 1:30:43 AM,1/6/2016 1:31:06 AM,23,0.07,6.33,
19,60,1/6/2016 1:50:07 AM,Dark,1/6/2016 1:49:20 AM,1/6/2016 1:49:57 AM,37,0.05,6.38,
19,61,1/6/2016 1:59:20 AM,Dark,1/6/2016 1:58:23 AM,1/6/2016 1:59:09 AM,46,-0.07,6.31,
20,62,1/6/2016 2:20:15 AM,Dark,1/6/2016 2:16:05 AM,1/6/2016 2:20:05 AM,240,0.06,6.37,
22,63,1/6/2016 3:07:43 AM,Dark,1/6/2016 3:06:51 AM,1/6/2016 3:07:32 AM,41,0.12,6.49,
22,64,1/6/2016 3:10:57 AM,Dark,1/6/2016 3:09:57 AM,1/6/2016 3:10:46 AM,49,-0.08,6.41,
22,65,1/6/2016 3:14:09 AM,Dark,1/6/2016 3:13:09 AM,1/6/2016 3:13:58 AM,49,-0.05,6.36,
22,66,1/6/2016 3:16:01 AM,Dark,1/6/2016 3:14:11 AM,1/6/2016 3:15:51 AM,100,0.10,6.45,
23,67,1/6/2016 3:57:40 AM,Dark,1/6/2016 3:55:05 AM,1/6/2016 3:57:29 AM,144,-0.04,6.42,
25,68,1/6/2016 4:51:02 AM,Dark,1/6/2016 4:50:14 AM,1/6/2016 4:50:52 AM,38,0.08,6.50,
26,69,1/6/2016 5:12:51 AM,Dark,1/6/2016 5:11:18 AM,1/6/2016 5:12:41 AM,83,-0.05,6.45,
29,70,1/6/2016 6:29:15 AM,Dark,1/6/2016 6:28:09 AM,1/6/2016 6:29:04 AM,55,0.04,6.49,
29,71,1/6/2016 6:33:05 AM,Dark,1/6/2016 6:29:35 AM,1/6/2016 6:32:54 AM,199,0.10,6.58,
29,72,1/6/2016 6:34:52 AM,Dark,1/6/2016 6:33:59 AM,1/6/2016 6:34:41 AM,42,-0.06,6.53,
29,73,1/6/2016 6:35:33 AM,Dark,1/6/2016 6:34:53 AM,1/6/2016 6:35:22 AM,29,0.06,6.59,
