Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,1/13/2016 10:36:56 AM,Light,7/14/1981 2:10:18 PM,7/14/1981 2:10:26 PM,8,0.04,0.04,
2,2,1/13/2016 11:09:15 AM,Light,7/14/1981 11:07:38 AM,7/14/1981 11:09:05 AM,87,0.91,0.95,
8,3,1/13/2016 2:05:19 PM,Light,7/14/1981 2:04:57 PM,7/14/1981 2:05:09 PM,12,0.09,1.03,
8,4,1/13/2016 2:05:52 PM,Light,7/14/1981 2:05:35 PM,7/14/1981 2:05:42 PM,7,-0.06,0.98,
8,5,1/13/2016 2:16:14 PM,Light,7/14/1981 2:15:31 PM,7/14/1981 2:16:02 PM,31,0.04,1.01,
10,6,1/13/2016 2:57:19 PM,Light,7/14/1981 2:56:13 PM,7/14/1981 2:57:09 PM,56,0.06,1.08,
12,7,1/13/2016 4:00:56 PM,Light,7/14/1981 4:00:29 PM,7/14/1981 4:00:44 PM,15,0.03,1.11,
13,8,1/13/2016 4:18:39 PM,Light,7/14/1981 4:17:06 PM,7/14/1981 4:18:27 PM,81,0.08,1.19,
15,9,1/13/2016 5:04:07 PM,Light,7/14/1981 5:03:47 PM,7/14/1981 5:03:55 PM,8,0.03,1.22,
15,10,1/13/2016 5:23:44 PM,Light,7/14/1981 5:21:20 PM,7/14/1981 5:23:33 PM,133,0.13,1.35,
15,11,1/13/2016 5:30:12 PM,Light,7/14/1981 5:29:04 PM,7/14/1981 5:29:59 PM,55,-0.04,1.31,
16,12,1/13/2016 5:32:26 PM,Light,7/14/1981 5:31:34 PM,7/14/1981 5:32:14 PM,40,0.03,1.34,
16,13,1/13/2016 5:36:39 PM,Light,7/14/1981 5:36:06 PM,7/14/1981 5:36:29 PM,23,-0.06,1.27,
16,14,1/13/2016 5:38:16 PM,Light,7/14/1981 5:37:57 PM,7/14/1981 5:38:06 PM,9,0.05,1.33,
16,15,1/13/2016 5:38:48 PM,Light,7/14/1981 5:38:23 PM,7/14/1981 5:38:35 PM,12,0.04,1.37,
17,16,1/13/2016 6:03:18 PM,Light,7/14/1981 6:02:33 PM,7/14/1981 6:03:06 PM,33,-0.04,1.34,
17,17,1/13/2016 6:04:03 PM,Light,7/14/1981 6:03:32 PM,7/14/1981 6:03:51 PM,19,-0.06,1.28,
17,18,1/13/2016 6:15:13 PM,Light,7/14/1981 6:14:56 PM,7/14/1981 6:15:03 PM,7,0.05,1.33,
18,19,1/13/2016 6:27:48 PM,Light,7/14/1981 6:27:26 PM,7/14/1981 6:27:36 PM,10,-0.04,1.29,
18,20,1/13/2016 6:46:21 PM,Light,7/14/1981 6:43:53 PM,7/14/1981 6:46:08 PM,135,0.14,1.42,
19,21,1/13/2016 7:13:20 PM,Dark,7/14/1981 7:12:46 PM,7/14/1981 7:13:08 PM,22,0.03,1.46,
20,22,1/13/2016 7:37:04 PM,Dark,7/14/1981 7:36:52 PM,7/14/1981 7:36:54 PM,2,0.10,1.56,
20,23,1/13/2016 7:38:41 PM,Dark,7/14/1981 7:38:15 PM,7/14/1981 7:38:29 PM,14,-0.10,1.46,
20,24,1/13/2016 7:42:23 PM,Dark,7/14/1981 7:42:06 PM,7/14/1981 7:42:11 PM,5,-0.07,1.39,
21,25,1/13/2016 7:59:22 PM,Dark,7/14/1981 7:58:25 PM,7/14/1981 7:59:12 PM,47,0.12,1.52,
21,26,1/13/2016 8:03:37 PM,Dark,7/14/1981 8:03:13 PM,7/14/1981 8:03:25 PM,12,-0.04,1.48,
21,27,1/13/2016 8:08:42 PM,Dark,7/14/1981 8:06:39 PM,7/14/1981 8:08:32 PM,113,0.10,1.58,
23,28,1/13/2016 8:56:23 PM,Dark,7/14/1981 8:54:57 PM,7/14/1981 8:56:11 PM,74,0.05,1.63,
23,29,1/13/2016 9:07:06 PM,Dark,7/14/1981 9:06:37 PM,7/14/1981 9:06:54 PM,17,-0.10,1.53,
23,30,1/13/2016 9:11:06 PM,Dark,7/14/1981 9:10:12 PM,7/14/1981 9:10:54 PM,42,0.09,1.62,
24,31,1/13/2016 9:39:05 PM,Dark,7/14/1981 9:38:20 PM,7/14/1981 9:38:53 PM,33,0.04,1.66,
25,32,1/13/2016 9:49:48 PM,Dark,7/14/1981 9:47:05 PM,7/14/1981 9:49:36 PM,151,0.06,1.72,
25,33,1/13/2016 10:03:03 PM,Dark,7/14/1981 10:02:13 PM,7/14/1981 10:02:53 PM,40,0.03,1.75,
31,34,1/14/2016 12:31:59 AM,Dark,7/14/1981 12:30:10 AM,7/14/1981 12:31:47 AM,97,0.13,1.88,
31,35,1/14/2016 12:32:34 AM,Dark,7/14/1981 12:32:17 AM,7/14/1981 12:32:22 AM,5,-0.04,1.84,
31,36,1/14/2016 12:51:36 AM,Dark,7/14/1981 12:51:10 AM,7/15/1981 12:51:26 AM,16,0.08,1.92,
36,37,1/14/2016 2:57:51 AM,Dark,7/15/1981 2:57:08 AM,7/15/1981 2:57:39 AM,31,-0.04,1.87,
37,38,1/14/2016 3:39:24 AM,Dark,7/15/1981 3:36:43 AM,7/15/1981 3:39:14 AM,151,0.13,2.01,
38,39,1/14/2016 3:42:43 AM,Dark,7/15/1981 3:41:22 AM,7/15/1981 3:42:33 AM,71,0.03,2.04,
38,40,1/14/2016 3:57:58 AM,Dark,7/15/1981 3:57:32 AM,7/15/1981 3:57:46 AM,14,-0.05,1.99,
39,41,1/14/2016 4:08:07 AM,Dark,7/15/1981 4:06:51 AM,7/15/1981 4:07:57 AM,66,0.04,2.04,
39,42,1/14/2016 4:23:05 AM,Dark,7/15/1981 4:22:43 AM,7/15/1981 4:22:54 AM,11,-0.04,2.00,
42,43,1/14/2016 5:37:11 AM,Dark,7/15/1981 5:36:57 AM,7/15/1981 5:37:01 AM,4,0.05,2.04,
43,44,1/14/2016 6:07:35 AM,Dark,7/15/1981 6:05:31 AM,7/15/1981 6:07:24 AM,113,0.14,2.19,
43,45,1/14/2016 6:11:03 AM,Dark,7/15/1981 6:10:31 AM,7/15/1981 6:10:50 AM,19,-0.08,2.11,
44,46,1/14/2016 6:34:22 AM,Dark,7/15/1981 6:32:44 AM,7/15/1981 6:34:10 AM,86,0.06,2.17,
44,47,1/14/2016 6:36:11 AM,Dark,7/15/1981 6:35:49 AM,7/15/1981 6:36:01 AM,12,0.04,2.21,
45,48,1/14/2016 6:58:46 AM,Light,7/15/1981 6:58:29 AM,7/15/1981 6:58:36 AM,7,0.03,2.25,
45,49,1/14/2016 7:02:43 AM,Light,7/15/1981 7:01:53 AM,7/15/1981 7:02:31 AM,38,-0.07,2.18,
46,50,1/14/2016 7:31:23 AM,Light,7/15/1981 7:31:01 AM,7/15/1981 7:31:13 AM,12,0.07,2.25,
