Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,1/26/2016 5:13:38 PM,Light,1/26/2016 5:11:44 PM,1/26/2016 5:13:28 PM,104,0.10,0.10,
1,2,1/26/2016 5:14:18 PM,Light,1/26/2016 5:14:01 PM,1/26/2016 5:14:07 PM,6,-0.17,-0.06,
2,3,1/26/2016 5:21:18 PM,Light,1/26/2016 5:17:43 PM,1/26/2016 5:21:07 PM,204,0.08,0.02,
2,4,1/26/2016 5:22:34 PM,Light,1/26/2016 5:21:20 PM,1/26/2016 5:22:24 PM,64,-0.07,-0.06,
2,5,1/26/2016 5:28:32 PM,Light,1/26/2016 5:27:17 PM,1/26/2016 5:28:22 PM,65,0.13,0.07,
2,6,1/26/2016 5:31:55 PM,Light,1/26/2016 5:29:07 PM,1/26/2016 5:31:44 PM,157,-0.20,-0.12,
2,7,1/26/2016 5:33:33 PM,Light,1/26/2016 5:32:57 PM,1/26/2016 5:33:23 PM,26,0.17,0.05,
2,8,1/26/2016 5:35:16 PM,Light,1/26/2016 5:34:19 PM,1/26/2016 5:35:05 PM,46,-0.20,-0.15,
3,9,1/26/2016 5:50:45 PM,Light,1/26/2016 5:49:43 PM,1/26/2016 5:50:34 PM,51,0.10,-0.05,
3,10,1/26/2016 5:52:05 PM,Light,1/26/2016 5:50:51 PM,1/26/2016 5:51:54 PM,63,0.07,0.02,
3,11,1/26/2016 5:57:34 PM,Light,1/26/2016 5:55:39 PM,1/26/2016 5:57:24 PM,105,-0.06,-0.04,
3,12,1/26/2016 5:59:16 PM,Light,1/26/2016 5:58:59 PM,1/26/2016 5:59:05 PM,6,-0.12,-0.16,
3,13,1/26/2016 5:59:59 PM,Light,1/26/2016 5:59:28 PM,1/26/2016 5:59:48 PM,20,0.15,-0.01,
4,14,1/26/2016 6:03:24 PM,Light,1/26/2016 6:02:42 PM,1/26/2016 6:03:14 PM,32,-0.08,-0.09,
4,15,1/26/2016 6:10:48 PM,Light,1/26/2016 6:04:02 PM,1/26/2016 6:10:38 PM,396,0.06,-0.03,
4,16,1/26/2016 6:22:26 PM,Light,1/26/2016 6:21:54 PM,1/26/2016 6:22:16 PM,22,-0.07,-0.10,
4,17,1/26/2016 6:23:55 PM,Light,1/26/2016 6:22:36 PM,1/26/2016 6:23:45 PM,69,0.05,-0.04,
5,18,1/26/2016 6:29:10 PM,Light,1/26/2016 6:27:54 PM,1/26/2016 6:28:59 PM,65,-0.07,-0.11,
5,19,1/26/2016 6:34:20 PM,Light,1/26/2016 6:30:45 PM,1/26/2016 6:34:09 PM,204,0.05,-0.06,
5,20,1/26/2016 6:40:44 PM,Light,1/26/2016 6:38:08 PM,1/26/2016 6:40:33 PM,145,-0.07,-0.13,
6,21,1/26/2016 6:46:35 PM,Dark,1/26/2016 6:42:12 PM,1/26/2016 6:46:25 PM,253,0.09,-0.04,
6,22,1/26/2016 6:53:32 PM,Dark,1/26/2016 6:49:12 PM,1/26/2016 6:53:21 PM,249,-0.15,-0.19,
6,23,1/26/2016 6:54:27 PM,Dark,1/26/2016 6:53:32 PM,1/26/2016 6:54:17 PM,45,0.16,-0.02,
