Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
10,1,11/13/2015 11:39:50 AM,Light,5/14/1981 11:39:14 AM,5/14/1981 11:39:39 AM,25,0.08,0.08,
10,2,11/13/2015 11:40:57 AM,Light,5/14/1981 11:40:39 AM,5/14/1981 11:40:46 AM,7,-0.05,0.03,
12,3,11/13/2015 11:54:50 AM,Light,5/14/1981 11:54:32 AM,5/14/1981 11:54:39 AM,7,0.12,0.14,
13,4,11/13/2015 12:08:25 PM,Light,5/14/1981 12:08:00 PM,5/14/1981 12:08:15 PM,15,-0.10,0.04,
14,5,11/13/2015 12:14:52 PM,Light,5/14/1981 12:14:20 PM,5/14/1981 12:14:40 PM,20,-0.04,0.00,
14,6,11/13/2015 12:15:24 PM,Light,5/14/1981 12:15:00 PM,5/14/1981 12:15:14 PM,14,-0.07,-0.08,
14,7,11/13/2015 12:16:47 PM,Light,5/14/1981 12:15:34 PM,5/14/1981 12:16:37 PM,63,0.17,0.10,
14,8,11/13/2015 12:17:46 PM,Light,5/14/1981 12:17:08 PM,5/14/1981 12:17:35 PM,27,-0.07,0.03,
14,9,11/13/2015 12:20:18 PM,Light,5/14/1981 12:19:39 PM,5/14/1981 12:20:08 PM,29,-0.10,-0.07,
14,10,11/13/2015 12:21:43 PM,Light,5/14/1981 12:21:11 PM,5/14/1981 12:21:32 PM,21,0.11,0.04,
15,11,11/13/2015 12:25:54 PM,Light,5/14/1981 12:24:50 PM,5/14/1981 12:25:44 PM,54,-0.08,-0.04,
15,12,11/13/2015 12:29:40 PM,Light,5/14/1981 12:28:15 PM,5/14/1981 12:29:29 PM,74,0.07,0.03,
16,13,11/13/2015 12:33:32 PM,Light,5/14/1981 12:33:04 PM,5/14/1981 12:33:21 PM,17,0.16,0.19,
16,14,11/13/2015 12:36:15 PM,Light,5/14/1981 12:35:53 PM,5/14/1981 12:36:05 PM,12,-0.15,0.04,
