Subject,Interval,Date/Time,Light/Dark,Volume O2,O2 In,O2 Out,Delta O2,Accumulated O2,Volume CO2,CO2 In,CO2 Out,Delta CO2,Accumulated CO2,RER,Heat,Flow,Feed Weight 1,Feed Acc. 1,X Total,X Ambulatory,Y Total,Y Ambulatory,Wheel,Wheel Accumulated,Event Log,
3988,1,8/24/2015 2:20:14 PM,Light,2398.98,20.92338,20.69627,0.2271112,9.329366E-05,1760.772,0.03942026,0.2159632,0.1765429,6.847447E-05,0.7339669,0.3169986,0.465502,0,0,9,2,0,0,0,0,,
3988,2,8/24/2015 2:47:14 PM,Light,3810.036,20.92338,20.5796,0.343779,0.03923753,2586.441,0.03937037,0.2896018,0.2502314,0.02747197,0.6788495,0.4962099,0.4824457,0.05872091,0.05872091,947,432,516,248,0,0,,
3988,3,8/24/2015 3:15:14 PM,Light,2992.585,20.92338,20.64112,0.2822606,0.08366544,2353.792,0.0427136,0.275131,0.2324174,0.05974364,0.7865413,0.4008644,0.4726683,0.04305522,0.1017761,440,70,466,43,0,0,,
3988,4,8/24/2015 3:42:14 PM,Light,4137.612,20.92338,20.5364,0.3869759,0.1286079,3334.002,0.04211481,0.367174,0.3250592,0.0955958,0.8057793,0.5569895,0.4786899,-0.08675639,0.01501974,578,190,446,92,0,0,,
3988,5,8/24/2015 4:10:14 PM,Light,3823.13,20.92338,20.56434,0.3590327,0.180612,2905.607,0.04465966,0.3319952,0.2873355,0.1363529,0.7600074,0.5086185,0.4719712,0.1870829,0.2021027,975,426,655,259,0,0,,
3988,6,8/24/2015 4:38:14 PM,Light,3591.135,20.92338,20.58878,0.3346001,0.2290474,2787.729,0.04249737,0.3150295,0.2725321,0.1735471,0.7762806,0.4797706,0.4774115,0.1905416,0.3926443,256,54,161,33,0,0,,
3988,7,8/24/2015 5:05:14 PM,Light,3564.475,20.92338,20.59256,0.3308226,0.2741272,2669.268,0.04129148,0.3028042,0.2615127,0.2079239,0.7488531,0.4728363,0.476394,-0.22553,0.1671143,117,7,30,7,0,0,,
3988,8,8/24/2015 5:33:14 PM,Light,4490.207,20.92338,20.50516,0.418219,0.3267691,3372.459,0.03858861,0.3700016,0.331413,0.2474102,0.7510698,0.5959803,0.4749407,0.07034302,0.2374573,1212,578,945,443,0,0,,
3988,9,8/24/2015 6:01:14 PM,Light,3718.969,20.92338,20.57807,0.3453055,0.3803874,2883.01,0.03950343,0.3204353,0.2809318,0.2882697,0.7752176,0.4967127,0.4789629,0.02108255,0.2585398,236,4,148,5,0,0,,
3988,10,8/24/2015 6:28:14 PM,Light,4369.115,20.92338,20.51337,0.4100066,0.431355,3355.582,0.03808962,0.3690868,0.3309972,0.327582,0.7680232,0.582463,0.4731515,0.06535339,0.3238932,688,245,611,187,0,0,,
