Subject,Interval,Date/Time,Light/Dark,Volume O2,O2 In,O2 Out,Delta O2,Accumulated O2,Volume CO2,CO2 In,CO2 Out,Delta CO2,Accumulated CO2,RER,Heat,Flow,Feed Weight 1,Feed Acc. 1,X Total,X Ambulatory,Y Total,Y Ambulatory,Wheel,Wheel Accumulated,Event Log,
4092,1,8/27/2015 1:57:30 PM,Light,64.28381,20.90489,20.90178,0.003115072,1.58031E-06,-10.6978,0.04696676,0.04628338,-0.0006833784,-2.629875E-07,-0.1664151,0.004107516,0.4602799,0,0,1510,938,4,4,128,128,,
4092,2,8/27/2015 2:00:30 PM,Light,115.2363,20.90489,20.89937,0.005526138,8.164425E-05,-23.3483,0.04696676,0.04547575,-0.00149101,-1.548388E-05,-0.2026124,0.007272245,0.460665,0.0595754,0.0595754,2491,1671,0,0,203,331,,
4092,3,8/27/2015 2:03:30 PM,Light,50.22738,20.90489,20.90283,0.002067162,0.0001540628,-35.73475,0.04696676,0.04468054,-0.002286214,-4.178038E-05,-0.7114596,0.002612383,0.4605804,-0.1135712,-0.05399577,1671,1034,12,8,160,491,,
4092,4,8/27/2015 2:06:30 PM,Light,13.19372,20.90489,20.90483,5.980938E-05,0.0001816715,-45.54306,0.04696676,0.04404686,-0.002919894,-7.786637E-05,-3.451874,-0.0001022177,0.4598478,0,-0.05399577,2234,1459,2,2,194,685,,
4092,5,8/27/2015 2:09:30 PM,Light,42.26183,20.90489,20.90349,0.00140552,0.0002065679,-54.57125,0.04696676,0.04348774,-0.003479019,-0.0001222779,-1.291266,0.001663749,0.4623462,0,-0.05399577,1225,737,3,1,116,801,,
4092,6,8/27/2015 2:12:30 PM,Light,77.81193,20.90489,20.90178,0.00311258,0.0002601375,-62.09481,0.04696676,0.04299074,-0.003976021,-0.0001739951,-0.7980115,0.003900225,0.4602235,0.06739299,0.01339722,2010,1230,2,0,177,978,,
4092,7,8/27/2015 2:16:30 PM,Light,-41.59384,20.90489,20.90732,-0.002427264,0.0002800385,-24.74558,0.04367411,0.04209613,-0.001577981,-0.0002247719,0.5949338,-0.003348257,0.4627501,0.108017,0.1214142,2301,1468,8,0,201,1179,,
4092,8,8/27/2015 2:19:30 PM,Light,5.65752,20.90489,20.90501,-0.0001171267,0.0002647174,-30.08237,0.04367411,0.04174823,-0.001925882,-0.0002490988,-5.317236,-0.0002739613,0.4605523,0,0.1214142,2210,1507,26,17,181,1360,,
4092,9,8/27/2015 2:22:30 PM,Light,-5.278471,20.90489,20.90565,-0.0007526014,0.0002647507,-36.354,0.04367411,0.04135063,-0.002323486,-0.000278574,6.88722,-0.001149181,0.4613937,-0.1301371,-0.008722946,2279,1486,9,6,178,1538,,
4092,10,8/27/2015 2:25:30 PM,Light,-144.8005,20.90489,20.91281,-0.007917267,0.0001966259,-44.03689,0.04367411,0.04085362,-0.002820488,-0.0003142414,0.3041211,-0.01073801,0.4610501,-0.04595438,-0.05467733,2391,1646,1,1,185,1723,,
4092,11,8/27/2015 2:28:30 PM,Light,-100.6985,20.90489,20.91073,-0.005838891,8.853463E-05,-53.96278,0.04367411,0.04020752,-0.003466595,-0.0003577283,0.5358844,-0.007976453,0.4593859,0,-0.05467733,2440,1694,16,13,181,1904,,
4092,12,8/27/2015 2:32:30 PM,Light,-13.19588,20.90489,20.9058,-0.0009021249,2.241248E-05,-18.00791,0.04090332,0.03976022,-0.001143105,-0.000399749,1.364661,-0.001283746,0.4646769,0.0913798,0.03670247,3055,2127,10,7,222,2126,,
4092,13,8/27/2015 2:35:30 PM,Light,-153.2968,20.90489,20.9129,-0.008001997,-5.298259E-05,-20.81787,0.04090332,0.03957384,-0.001329485,-0.000416964,0.1358011,-0.0108054,0.4631303,0,0.03670247,1226,835,5,1,89,2215,,
4092,14,8/27/2015 2:38:30 PM,Light,-106.7351,20.90489,20.91061,-0.005714288,-0.0001674744,-27.83756,0.04090332,0.03913896,-0.001764361,-0.0004385803,0.2608098,-0.007814378,0.465981,0,0.03670247,1922,1243,10,5,169,2384,,
4092,15,8/27/2015 2:41:30 PM,Light,-54.27719,20.90489,20.90809,-0.003199802,-0.0002380775,-35.13207,0.04090332,0.03866681,-0.002236512,-0.000466534,0.6472714,-0.004431198,0.4635015,0,0.03670247,2196,1490,13,5,166,2550,,
4092,16,8/27/2015 2:44:30 PM,Light,-47.06459,20.90489,20.90775,-0.002855898,-0.0002828326,-36.511,0.04090332,0.03857984,-0.002323486,-0.000498253,0.7757638,-0.003974233,0.4636142,0,0.03670247,1885,1299,0,0,129,2679,,
4092,17,8/27/2015 2:48:30 PM,Light,-38.53723,20.90489,20.90712,-0.002230392,-0.0003332329,-21.87148,0.03951171,0.03812011,-0.001391605,-0.0005325187,0.5675416,-0.003079184,0.4637832,-0.06972249,-0.03302002,1286,717,16,4,116,2795,,
4092,18,8/27/2015 2:51:30 PM,Light,-139.1731,20.90489,20.91222,-0.007321665,-0.0004131066,-22.34517,0.03951171,0.03808283,-0.001428884,-0.0005520904,0.1605567,-0.009885,0.4622801,0,-0.03302002,2044,1264,9,5,155,2950,,
4092,19,8/27/2015 2:54:30 PM,Light,-99.67519,20.90489,20.91026,-0.005362908,-0.0005183115,-26.55616,0.03951171,0.03782191,-0.001689807,-0.000573781,0.266427,-0.007309711,0.464112,-0.008275345,-0.04129536,378,227,0,0,26,2976,,
4092,20,8/27/2015 2:57:30 PM,Light,-77.59087,20.90489,20.90923,-0.004333688,-0.0005964803,-31.11094,0.03951171,0.03752371,-0.001988009,-0.0005993547,0.4009614,-0.00591778,0.4619274,0,-0.04129536,384,245,2,1,34,3010,,
4092,21,8/27/2015 3:00:30 PM,Light,10.93573,20.90489,20.90477,0.0001221108,-0.000624887,-32.19987,0.03951171,0.03746158,-0.002050135,-0.0006273831,-2.944465,3.62772E-05,0.4630882,0,-0.04129536,591,345,41,19,44,3054,,
4092,22,8/27/2015 3:03:30 PM,Light,-86.20461,20.90489,20.90976,-0.004869481,-0.0006593874,-38.92357,0.03951171,0.0370267,-0.002485014,-0.0006589378,0.4515254,-0.006669792,0.4622898,-0.1041819,-0.1454773,502,279,5,1,43,3097,,
4092,23,8/27/2015 3:07:30 PM,Light,-90.52863,20.90489,20.90969,-0.004799703,-0.0007637133,-15.27054,0.03795858,0.036977,-0.0009815805,-0.0006906217,0.1686819,-0.006445987,0.4597929,0,-0.1454773,685,396,9,1,61,3158,,
4092,24,8/27/2015 3:10:30 PM,Light,42095.17,20.90489,18.54134,2.363552,0.01834187,15035.38,0.03795858,1.013886,0.9759272,0.006140772,0.3571758,3.170365,0.4547948,0.09626262,-0.04921468,1373,830,14,9,129,3287,8/27/2015 3:10:46 PM - Locked running wheels-EJS,
4102,1,8/27/2015 1:58:30 PM,Light,16.66294,20.90489,20.90426,0.0006354747,4.304592E-07,-20.78871,0.04696676,0.04547575,-0.00149101,-5.370417E-07,-1.247602,0.0007060079,0.4318587,0,0,358,204,276,128,0,0,,
4102,2,8/27/2015 2:01:30 PM,Light,22.93825,20.90489,20.90413,0.0007650616,1.892607E-05,-35.62566,0.04696676,0.04441962,-0.002547141,-2.696137E-05,-1.553112,0.000811306,0.4332474,0,0,159,36,119,42,0,0,,
4102,3,8/27/2015 2:04:30 PM,Light,90.68158,20.90489,20.9004,0.004498164,7.26343E-05,-42.42682,0.04696676,0.04393504,-0.003031719,-6.334362E-05,-0.4678659,0.005462455,0.4331841,0,0,154,7,4,1,0,0,,
4102,4,8/27/2015 2:07:30 PM,Light,73.19617,20.90489,20.90144,0.003456484,0.0001486116,-48.1941,0.04696676,0.04348774,-0.003479019,-0.0001055568,-0.6584238,0.00408955,0.4289283,0,0,87,0,2,0,0,0,,
4102,5,8/27/2015 2:10:30 PM,Light,-0.502332,20.90489,20.90581,-0.000912093,0.0001814623,-59.01031,0.04696676,0.04274223,-0.004224524,-0.0001555466,117.4727,-0.001387878,0.4328223,0.05821737,0.05821737,99,4,0,0,0,0,,
4102,6,8/27/2015 2:14:30 PM,Light,5.900499,20.90489,20.9049,-2.492058E-06,0.0001848919,-22.38434,0.04367411,0.04205886,-0.001615256,-0.0002055382,-3.793634,-9.424803E-05,0.4293626,0,0.05821737,85,23,1,0,0,0,,
4102,7,8/27/2015 2:17:30 PM,Light,11.02596,20.90489,20.90471,0.0001831662,0.0001928289,-29.46454,0.04367411,0.04156185,-0.002112258,-0.0002297394,-2.672289,0.000107205,0.4321687,0,0.05821737,2,0,1,0,0,0,,
4102,8,8/27/2015 2:20:30 PM,Light,-11.22345,20.90489,20.9061,-0.001208648,0.0001924496,-37.7144,0.04367411,0.04095302,-0.00272109,-0.0002610842,3.360322,-0.001660638,0.4295295,0,0.05821737,0,0,3,0,0,0,,
4102,9,8/27/2015 2:23:30 PM,Light,-2.751596,20.90489,20.90571,-0.0008173949,0.0001860607,-44.16243,0.04367411,0.04050572,-0.003168389,-0.0002992402,16.04975,-0.001207241,0.4319151,0,0.05821737,0,0,0,0,0,0,,
4102,10,8/27/2015 2:26:30 PM,Light,-90.22603,20.90489,20.91076,-0.005861319,0.0001416962,-47.35832,0.04367411,0.04025722,-0.003416892,-0.0003418386,0.5248853,-0.007487574,0.4298315,0.03712464,0.095342,11,3,6,0,0,0,,
4102,11,8/27/2015 2:29:30 PM,Light,-57.66554,20.90489,20.909,-0.004106911,7.33472E-05,-53.22153,0.04367411,0.03982234,-0.003851771,-0.000388684,0.9229347,-0.005311471,0.4283554,0.04116821,0.1365102,0,0,0,0,0,0,,
4102,12,8/27/2015 2:33:30 PM,Light,-11.05653,20.90489,20.90585,-0.0009569501,3.134155E-05,-22.27109,0.04090332,0.03931292,-0.001590405,-0.0004350896,2.014293,-0.001294907,0.4340162,0.04012553,0.1766357,10,0,0,0,0,0,,
4102,13,8/27/2015 2:36:30 PM,Light,-22.38061,20.90489,20.90655,-0.001654726,1.564701E-05,-25.61609,0.04090332,0.03906441,-0.001838908,-0.0004574003,1.144566,-0.002175103,0.4318093,0,0.1766357,0,0,3,0,0,0,,
4102,14,8/27/2015 2:39:30 PM,Light,-54.62066,20.90489,20.90843,-0.003538722,-2.057501E-05,-29.86607,0.04090332,0.03876621,-0.00213711,-0.0004832545,0.5467907,-0.004560214,0.4333709,-0.06292216,0.1137136,4,0,3,0,0,0,,
4102,15,8/27/2015 2:42:30 PM,Light,-38.04934,20.90489,20.90755,-0.002659025,-6.345251E-05,-33.25103,0.04090332,0.03851771,-0.002385613,-0.0005126476,0.8738924,-0.003461897,0.4321078,0,0.1137136,46,5,1,0,0,0,,
4102,16,8/27/2015 2:45:30 PM,Light,-74.77554,20.90489,20.90966,-0.004762322,-0.0001163905,-35.99109,0.04090332,0.03833133,-0.002571989,-0.0005448806,0.4813217,-0.00613074,0.433989,0,0.1137136,50,3,6,1,0,0,,
4102,17,8/27/2015 2:49:30 PM,Light,-74.00071,20.90489,20.90944,-0.004548005,-0.0002086217,-23.55645,0.03951171,0.03782191,-0.001689807,-0.0005816395,0.3183274,-0.005790817,0.4325162,0.01177978,0.1254934,0,0,0,0,0,0,,
4102,18,8/27/2015 2:52:30 PM,Light,-68.69872,20.90489,20.90921,-0.004313752,-0.0002749085,-27.684,0.03951171,0.03752371,-0.001988009,-0.0006055196,0.402977,-0.005509177,0.4319433,0,0.1254934,3,2,2,0,0,0,,
4102,19,8/27/2015 2:55:30 PM,Light,-50.43172,20.90489,20.90819,-0.003296992,-0.0003300682,-29.48141,0.03951171,0.03739946,-0.002112258,-0.0006321247,0.5845808,-0.004254157,0.432798,-0.05307006,0.0724233,9,3,4,0,0,0,,
4102,20,8/27/2015 2:58:30 PM,Light,-26.78836,20.90489,20.90688,-0.001988662,-0.0003656701,-31.12992,0.03951171,0.0372752,-0.002236512,-0.0006603303,1.162069,-0.002614224,0.4314643,0,0.0724233,34,2,6,0,0,0,,
4102,21,8/27/2015 3:01:30 PM,Light,-88.55937,20.90489,20.91042,-0.005529876,-0.0004201047,-35.48344,0.03951171,0.036977,-0.002534714,-0.0006913617,0.4006741,-0.007097194,0.4342256,0,0.0724233,11,0,13,0,0,0,,
