Subject,Interval,Date/Time,Light/Dark,Volume O2,O2 In,O2 Out,Delta O2,Accumulated O2,Volume CO2,CO2 In,CO2 Out,Delta CO2,Accumulated CO2,RER,Heat,Flow,Feed Weight 1,Feed Acc. 1,X Total,X Ambulatory,Y Total,Y Ambulatory,Wheel,Wheel Accumulated,
4370,1,10/5/2015 4:26:21 PM,Light,7783.71,20.90383,20.49438,0.4094466,0.0001729713,5620.853,0.04650247,0.3604658,0.3139634,0.0001249078,0.7221304,0.585916,0.477496,0,0,249,133,159,66,0,0,
4370,2,10/5/2015 4:46:21 PM,Light,6136.63,20.90383,20.57679,0.3270435,0.03727558,4567.978,0.04531968,0.3025463,0.2572266,0.02728343,0.744379,0.4646239,0.4736358,0.05738322,0.05738322,1974,982,1398,657,0,0,
4370,3,10/5/2015 5:06:21 PM,Light,4451.052,20.90383,20.66601,0.2378236,0.06549067,3453.757,0.04377582,0.2374054,0.1936296,0.04866234,0.7759417,0.3397727,0.4757115,0.09244283,0.149826,1316,530,1007,398,0,0,
4370,4,10/5/2015 5:26:21 PM,Light,4087.942,20.90383,20.68562,0.2182109,0.08825728,3082.267,0.04198296,0.2154553,0.1734723,0.06608762,0.7539899,0.3102856,0.47388,-0.07944742,0.07037863,166,45,173,11,0,0,
4370,5,10/5/2015 5:46:21 PM,Light,4733.356,20.90383,20.65221,0.251619,0.1117879,3609.992,0.04118612,0.2431326,0.2019465,0.08393951,0.7626708,0.3600842,0.476754,0.008280441,0.07865907,627,216,321,115,0,0,
4370,6,10/5/2015 6:06:21 PM,Light,4079.889,20.90383,20.68446,0.2193696,0.1352826,3234.907,0.04028969,0.2221163,0.1818266,0.1021884,0.792891,0.3128029,0.4744811,0.01919556,0.09785463,1008,379,705,242,0,0,
4370,7,10/5/2015 6:27:21 PM,Light,5162.657,20.90383,20.62914,0.2746843,0.1611738,3839.768,0.03965472,0.2555457,0.215891,0.1220042,0.7437582,0.3908181,0.4743496,-0.03071085,0.06714378,1250,655,866,388,0,0,
4370,8,10/5/2015 6:47:21 PM,Light,5623.333,20.90383,20.6035,0.3003312,0.1899416,4294.639,0.03994108,0.281256,0.2413149,0.143701,0.7637178,0.4279042,0.4746408,0,0.06714378,1925,939,1106,520,0,0,
4370,9,10/5/2015 7:07:21 PM,Dark,6330.885,20.90383,20.5642,0.3396302,0.2218273,4871.248,0.04531968,0.3199146,0.274595,0.1681498,0.7694418,0.4824592,0.4731244,0,0.06714378,1947,957,1074,547,0,0,
4370,10,10/5/2015 7:27:21 PM,Dark,6693.04,20.90383,20.54584,0.3579883,0.2565618,4927.156,0.04611651,0.3250816,0.2789651,0.1942795,0.7361612,0.5056673,0.4710717,1.017004E-05,0.06715395,2248,1375,1324,689,0,0,
4370,11,10/5/2015 7:47:21 PM,Dark,5864.863,20.90383,20.59234,0.3114876,0.2900404,4431.46,0.04178375,0.2898468,0.248063,0.2192303,0.755595,0.4453442,0.4764445,-0.03607687,0.03107708,2449,1503,1550,882,0,0,
4370,12,10/5/2015 8:08:21 PM,Dark,3723.252,20.90383,20.70289,0.2009418,0.3168633,2897.533,0.03894504,0.2029425,0.1639975,0.2397344,0.7782265,0.2843835,0.4712031,0.05432638,0.08540346,753,299,525,164,0,0,
4370,13,10/5/2015 8:28:21 PM,Dark,3244.605,20.90383,20.72984,0.1739941,0.3354389,2499.013,0.03894504,0.1797349,0.1407898,0.2541208,0.7702056,0.2473112,0.4733871,0,0.08540346,143,13,39,3,0,0,
4370,14,10/5/2015 8:48:21 PM,Dark,4885.649,20.90383,20.64278,0.2610509,0.3571379,3699.607,0.03804861,0.24632,0.2082714,0.2706638,0.7572397,0.3711467,0.4737485,0,0.08540346,875,386,364,163,0,0,
4370,15,10/5/2015 9:08:21 PM,Dark,5611.811,20.90383,20.6052,0.298633,0.3851391,4223.035,0.03828517,0.2753046,0.2370194,0.2917967,0.7525263,0.4257894,0.4751866,0,0.08540346,2189,1358,1329,767,0,0,
4370,16,10/5/2015 9:28:21 PM,Dark,5212.279,20.90383,20.62518,0.2786502,0.4139989,3899.838,0.03849683,0.2585961,0.2200993,0.3134541,0.7482021,0.3950311,0.4725556,-0.07746887,0.007934585,2013,1219,1165,605,0,0,
4370,17,10/5/2015 9:49:21 PM,Dark,5052.721,20.90383,20.6342,0.2696331,0.4427392,3703.667,0.03840967,0.2477642,0.2093545,0.3347417,0.7330046,0.3814248,0.471823,0.03756205,0.04549664,1382,621,690,337,0,0,
4370,18,10/5/2015 10:09:21 PM,Dark,3804.656,20.90383,20.70228,0.2015449,0.466345,2868.987,0.0378494,0.1980869,0.1602375,0.3522595,0.7540726,0.2887897,0.4775148,0.08694458,0.1324412,877,406,493,251,0,0,
4370,19,10/5/2015 10:29:21 PM,Dark,2985.931,20.90383,20.74219,0.1616391,0.4844441,2360.717,0.03884544,0.1725012,0.1336557,0.3661997,0.7906132,0.2287957,0.4710529,-0.006495163,0.1259461,43,3,114,6,0,0,
