Gene.Set,Name,NES,NOM p-value,FDR q-value,Gene Details
Reactome,REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION,-2.6626701,0,0,"EIF4G1,FAU,RPS15A,RPS9,RPL35,RPL13A,RPS24,RPL10A,EIF2S2,RPS10,RPS28,RPL7,RPL37,RPL12,RPS15,RPS11,RPS20,RPS16,RPL23,RPL38,RPL27,EIF1AX,RPL31,RPL39,RPS26,RPLP2,RPS23,RPL27A,RPS18,RPS25,RPL26,RPL13,RPL36,RPS17,RPS21,RPS13,RPS12,RPL15,PABPC1,RPS7,RPL21,RPL14,RPL17,RPL5,RPL8,RPL30,RPL7A,RPL4,RPS5,RPL28,RPL23A,RPL24,RPL22,RPL32,RPS8,RPL36A,RPL29,RPL18A,RPL3L,RPS4X,RPS27,EIF4B,EIF4A2"
KEGG,KEGG_RIBOSOME,-2.597141,0,0,"FAU,RPS15A,RPS9,RPL35,RPL13A,RPS24,RPL10A,RPS10,RPS28,RPL7,RPL37,RPL12,RPS15,RPS11,RPS20,RPS16,RPL23,RPL38,RPL27,RPL31,RPL36AL,RPL39,RPS26,RPLP2,RPS23,RPL27A,RPS18,RPS27L,RPS25,RPL26,RPL13,RPL36,RPS17,RPS21,RPS13,RPS12,RPL15,RPS7,RPL21,RPL14,RPL17,RPL5,RPL8,RPL30,RPL7A,RPL4,RPS5,RPL28,RPL23A,RPL24,RPL22,RPL32,RPS8,RPL36A,RPL29,RPL18A,RPL3L,RPS4X,RPS27,RPL22L1"
Reactome,REACTOME_PEPTIDE_CHAIN_ELONGATION,-2.5793927,0,0,"FAU,RPS15A,RPS9,RPL35,RPL13A,RPS24,RPL10A,RPS10,RPS28,RPL7,RPL37,RPL12,RPS15,RPS11,RPS20,RPS16,RPL23,RPL38,RPL27,RPL31,RPL39,RPS26,RPLP2,RPS23,RPL27A,RPS18,RPS25,RPL26,RPL13,RPL36,RPS17,RPS21,RPS13,RPS12,RPL15,RPS7,RPL21,RPL14,RPL17,RPL5,RPL8,RPL30,RPL7A,RPL4,RPS5,RPL28,RPL23A,RPL24,RPL22,RPL32,RPS8,RPL36A,RPL29,RPL18A,RPL3L,EEF2,RPS4X,RPS27"
Reactome,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.487901,0,0,"FAU,RPS15A,RPS9,RPL35,RPL13A,RPS24,RPL10A,RPN2,SRPR,SRP68,RPS10,SRP72,RPS28,RPL7,RPL37,RPL12,RPS15,RPS11,RPS20,RPS16,RPL23,RPL38,RPL27,RPL31,RPL39,RPS26,RPLP2,RPS23,RPL27A,RPS18,RPS25,RPL26,RPL13,RPL36,RPS17,RPS21,RPS13,RPS12,SSR4,RPL15,SEC61G,RPS7,RPL21,RPL14,RPL17,SEC61B,RPL5,RPL8,SEC61A2,RPL30,RPL7A,RPL4,RPS5,RPL28,RPL23A,RPL24,RPL22,RPL32,RPS8,RPL36A,RPL29,RPL18A,RPL3L,RPS4X,RPS27"
Reactome,REACTOME_TRANSLATION,-2.4719663,0,0,"EIF4G1,FAU,RPS15A,RPS9,RPL35,RPL13A,RPS24,RPL10A,RPN2,EIF2S2,SRPR,SRP68,RPS10,EEF1B2,SRP72,RPS28,RPL7,RPL37,RPL12,RPS15,RPS11,RPS20,RPS16,RPL23,RPL38,RPL27,EIF1AX,RPL31,RPL39,RPS26,RPLP2,RPS23,RPL27A,RPS18,EIF2B2,RPS25,RPL26,RPL13,RPL36,RPS17,RPS21,RPS13,RPS12,SSR4,RPL15,PABPC1,SEC61G,RPS7,RPL21,RPL14,RPL17,SEC61B,RPL5,RPL8,SEC61A2,EEF1D,RPL30,RPL7A,RPL4,RPS5,RPL28,RPL23A,RPL24,RPL22,RPL32,RPS8,RPL36A,RPL29,RPL18A,RPL3L,EEF2,RPS4X,RPS27,EIF4B,EIF4A2"
Reactome,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,-2.3145463,0,0,"FAU,RPS15A,RPS9,RPL35,RPL13A,RPS24,POLR2I,RPL10A,RPS10,RPS28,POLR2J,RPL7,RPL37,RPL12,RPS15,RPS11,RPS20,RPS16,RPL23,RPL38,RPL27,RPL31,RPL39,RPS26,RPLP2,RPS23,RPL27A,RPS18,RPS25,RPL26,RPL13,RPL36,RPS17,RPS21,RPS13,POLR2C,RPS12,RPL15,RPS7,RPL21,RPL14,RPL17,RPL5,RPL8,RPL30,RPL7A,RPL4,RPS5,RPL28,RPL23A,RPL24,RPL22,RPL32,RPS8,RPL36A,RPL29,RPL18A,RPL3L,RPS4X,RPS27"
Reactome,REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX,-2.2737656,0,2.967033e-4,"RPS6,FAU,RPS15A,RPS9,RPS24,EIF2S2,RPS10,RPS28,RPS15,RPS11,RPS20,RPS16,EIF1AX,RPS26,RPS23,RPS18,RPS25,RPS17,RPS21,RPS13,RPS12,RPS7,RPS5,RPS8,RPS4X,RPS27"
Reactome,REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX,-2.2479146,0,5.234201e-4,"EIF4G1,FAU,RPS15A,RPS9,RPL35,RPL13A,RPS24,RPL10A,RPS10,RPS28,RPL7,RPL37,RPL12,RPS15,CASC3,RPS11,RPS20,RPS16,RPL23,RPL38,RPL27,RPL31,RPL39,RPS26,RPLP2,RPS23,RPL27A,RPS18,RPS25,RPL26,RPL13,RPL36,RPS17,RPS21,RPS13,RPS12,RPL15,PABPC1,RPS7,RPL21,RPL14,RPL17,RPL5,RPL8,RPL30,RPL7A,RPL4,RPS5,RPL28,RPL23A,RPL24,RPL22,UPF3A,RPL32,RPS8,RPL36A,RPL29,RPL18A,RPL3L,RPS4X,RPS27"
GO-MF,STRUCTURAL_CONSTITUENT_OF_RIBOSOME,-2.2407627,0,0.0011698114,"FAU,RPS15A,RPS9,RPL35,RPL13A,RPS24,RPS10,MRPL51,RPS28,RPL7,RPL37,RPS15,RPS11,RPS20,RPS16,RPL38,RPL27,RPL31,RPL39,RPS26,RPLP2,MRPL23,RPS23,RPL27A,RPS18,RPS25,RPL26,RPL13,RPS17,RPS21,RPS13,RPS12,RPL15,RPS7,RPL21,RPL14,RPL5,RPL8,RPL30,RPL7A,RPL4,RPS5,RPL28,RPL23A,RPL24,RPL22,RPS8,RPL29,RPL18A,RPL3L,RPS4X,RPS27"
Reactome,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,-2.2324653,0,4.579926e-4,"RPS6,EIF4G1,FAU,RPS15A,RPS9,RPS24,EIF2S2,RPS10,RPS28,RPS15,RPS11,RPS20,RPS16,EIF1AX,RPS26,RPS23,RPS18,RPS25,RPS17,RPS21,RPS13,RPS12,PABPC1,RPS7,RPS5,RPS8,RPS4X,RPS27,EIF4B,EIF4A2"
CGP,BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,-2.199063,0,0.0068891486,"FAU,RPS9,RBBP6,RPL13A,RPS24,RPS10,EEF1B2,RPL7,GLTSCR2,RPS16,RPL23,RPS23,RPL27A,RPS25,RPL26,RPL13,RPS17,RPS13,C8G,RPL15,RPS7,RPL21,RPL14,RPL5,RPL8,RPL30,RPL7A,RPL4,RPS5,RPL28,GNB2L1,TPT1,RPL24,RPL32,RPS8,RPL36A,RPL29,RPL18A,EEF2,RPS4X,EIF4B"
CGP,CHEMELLO_SOLEUS_VS_EDL_MYOFIBERS_DN,-2.1868503,0,0.00607243,"PPP3CA,TMOD1,TNNC2,SOS2,TNNI2,TNNT3,MYOM2,ITPR1,CALM3,MYOZ1,PVALB,ACTN3,MYBPH,MYH4"
CGP,PACHER_TARGETS_OF_IGF1_AND_IGF2_UP,2.1142366,0,0,"GDF15,MAP1B,NELL2,RPRM,SLC7A5,ASNS,SLC1A4,SDF2L1,SESN2,DDIT3,MFAP3L,GADD45A,SLC7A11"
CGP,SARTIPY_NORMAL_AT_INSULIN_RESISTANCE_UP,2.1072288,0,0,"EGR1,FOSL1,SLC2A1,PHLDA1,CCL7,EREG,CDR2,SOCS3,HMOX1,IER2,EGR2,CCL2,SRXN1,SPSB1,TUBB2A,THBS1,TUBB6,HMGCR,DUSP6"
CGP,NIKOLSKY_BREAST_CANCER_7P15_AMPLICON,-2.0623403,0,0.02308792,"HOXA11,HOXA7,HOXA3,HOXA2,HOXA5,HOXA6,HOXA4,HOXA1"
CGP,MIKKELSEN_ES_HCP_WITH_H3K27ME3,-2.0438232,0,0.023545144,"HOXA3,PCDHA10,SLITRK3,PRDM8,PCDHB16,NR2F2,ARX,PCDHB14,CACNA1E,TBX5,HOXD8,ALOX12B"
CGP,TSENG_ADIPOGENIC_POTENTIAL_DN,-2.0424416,0,0.020123292,"IL1R1,NRP1,FABP4,RAMP2,NMB,SNAI2,SMS,GAS2,CMBL,CAPN6,ART3,IL6ST,B3GALNT1,GSTT1,FMO1,PPL,EBF3,AOC3,CDKN2C,DKK3"
CGP,MUELLER_METHYLATED_IN_GLIOBLASTOMA,2.033244,0,0.0045552696,"CLDN4,TLR2,FBXO2,S100A4,CDA,LCN2,SFN,SERPINB5,STAG3,AREG,MMP13,SERPIND1,NPTX2,SPINT1,LAPTM5"
CGP,PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_1,2.0085979,0,0.0052536004,"MAP1B,EGR1,FOSL1,DUSP5,SHC4,GAL,PHLDA1,RASD1,EREG,NAV2,CTGF,HBEGF,AREG,TRIB1,SLC7A11,PLK3,GEM,STAMBPL1,ITGA2,DUSP4"
CGP,KHETCHOUMIAN_TRIM24_TARGETS_UP,2.0048394,0,0.004623076,"KRT18,EGR1,FOS,LGALS3,ITGAL,UCP2,SERPINE1,TGM2,APP,SPP1,IGF2,HBEGF,CD44,LGALS1,LAPTM5,BTG2,JUNB,CDKN1A,AFP,CYBB,EMP1,TGFB1"
CGP,NAGASHIMA_EGF_SIGNALING_UP,2.0029068,0,0.0040304344,"FOSB,ARC,EGR1,FOS,FOSL1,F2RL1,ATF3,DUSP5,PHLDA1,TNFRSF12A,NAB2,CTGF,HBEGF,IER2,AREG,TRIB1,EGR2,JUNB,GEM,TNFRSF11B,CYR61"
CGP,LIAN_LIPA_TARGETS_6M,1.9829504,0,0.006746488,"GDF15,MMP12,MPEG1,TREM2,GPNMB,ADAM8,SLC37A2,CD68,CD84,CLEC4D,GALC,CCR1,HMOX1,C3AR1,ATP6V0D2,MMP8,MYO5A,MMP13,SLC40A1,CTSB,KIF1A,FCGR2B,MMP19,TLR7,FABP7,C1QC,FCER1G,C1QB,C1QA,SLC15A3,SLC11A1,APOBEC1,MSR1"
CGP,LIAN_LIPA_TARGETS_3M,1.9404088,0,0.015107535,"GDF15,MMP12,MPEG1,TREM2,GPNMB,CD68,CLEC4D,CCR1,HMOX1,C3AR1,ATP6V0D2,MMP8,MYO5A,SLC40A1,CTSB,FCGR2B,MMP19,TLR7,FABP7,C1QC,FCER1G,C1QB,C1QA,SLC15A3,SLC11A1,APOBEC1,MSR1"
CGP,STEARMAN_TUMOR_FIELD_EFFECT_UP,1.9329009,0,0.01529585,"ITIH4,MPEG1,ITGAX,CD68,CTSS,LCN2,SOCS3,SPP1,SAT1,PLD3,LAPTM5,CTSK,SIRPA,CTSD,CSTB,LY75,IQGAP1,CTSZ"
CGP,PLASARI_TGFB1_TARGETS_10HR_UP,1.9269935,0,0.016496561,"NPPB,ARC,ANKRD1,OLR1,SPHK1,OTUD7A,TNNT2,PMAIP1,FOSL1,FJX1,F2RL1,DUSP5,PTGS2,SLC2A1,HIVEP3,HSPA2,SFN,CXCR6,PI4K2B,EREG,FXYD6,PPP1R13L,TTC9,NES,SLC41A2,TNFRSF12A,GJA3,RUNX1,GFOD1,CTGF,SERPINE1,ITGA5,PVR,OLFM2,LPIN3,LRP8,STMN4,FGF21,HBEGF,CX3CL1,IER2,CNNM4,PRG4,CSPG4,ELAVL2,EGR2,THBS4,GCH1,PLK3,CCL17,JUNB,PKP1,TNFRSF11B,HTR2B,CTH"
