Name	Size	NES	NOM p-value	FDR q-value	Gene Details
PACHER_TARGETS_OF_IGF1_AND_IGF2_UP	27.0	2.1142366	0.0	0.0	GDF15,MAP1B,NELL2,RPRM,SLC7A5,ASNS,SLC1A4,SDF2L1,SESN2,DDIT3,MFAP3L,GADD45A,SLC7A11
SARTIPY_NORMAL_AT_INSULIN_RESISTANCE_UP	29.0	2.1072288	0.0	0.0	EGR1,FOSL1,SLC2A1,PHLDA1,CCL7,EREG,CDR2,SOCS3,HMOX1,IER2,EGR2,CCL2,SRXN1,SPSB1,TUBB2A,THBS1,TUBB6,HMGCR,DUSP6
MUELLER_METHYLATED_IN_GLIOBLASTOMA	30.0	2.033244	0.0	0.0045552696	CLDN4,TLR2,FBXO2,S100A4,CDA,LCN2,SFN,SERPINB5,STAG3,AREG,MMP13,SERPIND1,NPTX2,SPINT1,LAPTM5
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_1	38.0	2.0085979	0.0	0.0052536004	MAP1B,EGR1,FOSL1,DUSP5,SHC4,GAL,PHLDA1,RASD1,EREG,NAV2,CTGF,HBEGF,AREG,TRIB1,SLC7A11,PLK3,GEM,STAMBPL1,ITGA2,DUSP4
KHETCHOUMIAN_TRIM24_TARGETS_UP	44.0	2.0048394	0.0	0.004623076	KRT18,EGR1,FOS,LGALS3,ITGAL,UCP2,SERPINE1,TGM2,APP,SPP1,IGF2,HBEGF,CD44,LGALS1,LAPTM5,BTG2,JUNB,CDKN1A,AFP,CYBB,EMP1,TGFB1
NAGASHIMA_EGF_SIGNALING_UP	49.0	2.0029068	0.0	0.0040304344	FOSB,ARC,EGR1,FOS,FOSL1,F2RL1,ATF3,DUSP5,PHLDA1,TNFRSF12A,NAB2,CTGF,HBEGF,IER2,AREG,TRIB1,EGR2,JUNB,GEM,TNFRSF11B,CYR61
LIAN_LIPA_TARGETS_6M	65.0	1.9829504	0.0	0.006746488	GDF15,MMP12,MPEG1,TREM2,GPNMB,ADAM8,SLC37A2,CD68,CD84,CLEC4D,GALC,CCR1,HMOX1,C3AR1,ATP6V0D2,MMP8,MYO5A,MMP13,SLC40A1,CTSB,KIF1A,FCGR2B,MMP19,TLR7,FABP7,C1QC,FCER1G,C1QB,C1QA,SLC15A3,SLC11A1,APOBEC1,MSR1
LIAN_LIPA_TARGETS_3M	51.0	1.9404088	0.0	0.015107535	GDF15,MMP12,MPEG1,TREM2,GPNMB,CD68,CLEC4D,CCR1,HMOX1,C3AR1,ATP6V0D2,MMP8,MYO5A,SLC40A1,CTSB,FCGR2B,MMP19,TLR7,FABP7,C1QC,FCER1G,C1QB,C1QA,SLC15A3,SLC11A1,APOBEC1,MSR1
STEARMAN_TUMOR_FIELD_EFFECT_UP	30.0	1.9329009	0.0	0.01529585	ITIH4,MPEG1,ITGAX,CD68,CTSS,LCN2,SOCS3,SPP1,SAT1,PLD3,LAPTM5,CTSK,SIRPA,CTSD,CSTB,LY75,IQGAP1,CTSZ
PLASARI_TGFB1_TARGETS_10HR_UP	175.0	1.9269935	0.0	0.016496561	NPPB,ARC,ANKRD1,OLR1,SPHK1,OTUD7A,TNNT2,PMAIP1,FOSL1,FJX1,F2RL1,DUSP5,PTGS2,SLC2A1,HIVEP3,HSPA2,SFN,CXCR6,PI4K2B,EREG,FXYD6,PPP1R13L,TTC9,NES,SLC41A2,TNFRSF12A,GJA3,RUNX1,GFOD1,CTGF,SERPINE1,ITGA5,PVR,OLFM2,LPIN3,LRP8,STMN4,FGF21,HBEGF,CX3CL1,IER2,CNNM4,PRG4,CSPG4,ELAVL2,EGR2,THBS4,GCH1,PLK3,CCL17,JUNB,PKP1,TNFRSF11B,HTR2B,CTH
HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	66.0	1.9161161	0.0	0.01825287	EGR1,FOS,MPEG1,TLR2,S100A4,LITAF,CTSS,PHLDA1,LCN2,CD300LF,TRPV2,C3AR1,MMP8,PLEK,EGR2,IL1B,GRK5,BTG2,LIPA,ARG2,ANXA4,SIRPA,FGR,CYBB,UPP1
GAL_LEUKEMIC_STEM_CELL_DN	180.0	1.9084216	0.0	0.019184161	RRAD,E2F8,TLR2,LGALS3,RRM2,CD68,GTSE1,BIRC5,BUB1,PHLDA1,TOP2A,E2F1,CCNB2,E2F2,P2RX5,SLC22A4,PASK,GINS2,MELK,IGFBP2,KIFC1,GDF3,CCR1,TMEM53,TUBB2B,ENC1,C3AR1,CDC25C,TEX14,OSGIN2,CD226,VDR,FGF21,ASF1B,AOAH,LGALS1,CXCL1,ALDH1L1,LILRB4,SERGEF,EGR2,PLK1,PILRA,DMXL2,SHCBP1,LRRC49,IL1B,MAPK13,ESPL1,IL1RN,CX3CR1,ONECUT2,CCNB1,CENPA,LILRA6,LARP7,SIRPA,FGR,LGALS2,GPR65,CDCA8,SLC6A6,ITGAM,MNDA,VSIG4,AP1S1,STX11,C1QA,PRUNE,HPSE,CEBPE,SLC15A3,TNFAIP6,HAL,CCL4,SCNN1A,SLC11A1,ITGA2B,CYP1B1,CD14,NDRG2,CASP1,PRKG2,CLEC5A,CDKN3,CCNA2,BUB1B,KIF20A,LRP2
WANG_THOC1_TARGETS_DN	17.0	1.9050114	0.0	0.018842401	GATA1,GATA4,SOX9,MTL5,GDNF,VDR,PPT1
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP	77.0	1.9046366	0.0	0.017571952	SLC7A5,RRM2,APLP1,NCAM1,KIF11,GTSE1,CKS2,BIRC5,BUB1,CENPF,TOP2A,CENPE,KIF2C,TPBG,CCNB2,MKI67,MELK,LEF1,GPSM2,MSX2,PBK,FGF9,NPTX2,WISP1,ESPL1,FGFR3,WIF1,CCNB1,NEK2,CENPA,FBN2,ASPM,CDCA8
KRIEG_HYPOXIA_VIA_KDM3A	46.0	1.9001138	0.0	0.017943807	GDF15,KIF2C,SERPINB8,CBR3,LAMC2,SLC7A1,SERPINE1,TGM2,TM4SF19,ADM,LAMB3,HMOX1,CXCL1,JUNB,FAM64A,NECAP2,SEC14L2,SYTL3,BIRC3
WHITEFORD_PEDIATRIC_CANCER_MARKERS	102.0	1.8907957	0.0	0.01997645	PSAT1,RRM2,KIF11,GABRB2,CKS2,BIRC5,BUB1,CENPF,TOP2A,E2F1,CENPE,CCNB2,MKI67,GINS2,MELK,PAFAH1B3,DBF4,PBK,ASF1B,BCAT1,CKAP2,TMEFF1,ESPL1,POLE2,CCNB1,WHSC1,NEK2,CENPA,KPNA2,CKS1B,CDCA5,CDK6,NME1,CDCA8,STMN1,SOX4,TPX2,EIF4A1,UHRF1,PLK4,SLC25A40,RECQL4,HIST1H4C,LMNB2,HMGB3,DNMT1,NUDT1,NCAPH
