,File,Genotype,Full Genotype
1,2-counts.txt,Wild-Type,+/+; +/+
2,344-counts.txt,Wild-Type,+/+; +/+
3,364-counts.txt,Wild-Type,+/+; Tg/+
4,366-counts.txt,Knockout,fl/fl; Tg/+
5,369-counts.txt,Wild-Type,fl/fl; +/+
6,373-counts.txt,Knockout,fl/fl; Tg/+
7,397-counts.txt,Wild-Type,fl/fl; +/+
8,398-counts.txt,Knockout,fl/fl; Tg/+
9,399_1-counts.txt,Wild-Type,+/+; +/+
10,399_2-counts.txt,,
11,402-counts.txt,Wild-Type,+/+; +/+
12,404-counts.txt,Wild-Type,fl/fl; +/+
13,432-counts.txt,Wild-Type,+/+; Tg/+
14,435-counts.txt,Wild-Type,+/+; Tg/+
15,437-counts.txt,Wild-Type,fl/fl; +/+
16,479-counts.txt,Wild-Type,+/+; +/+
17,491-counts.txt,Knockout,fl/fl; Tg/+
18,493-counts.txt,Knockout,fl/fl; Tg/+
19,504-counts.txt,Wild-Type,fl/fl; +/+
20,506-counts.txt,Wild-Type,+/+; +/+
21,508-counts.txt,Knockout,fl/fl; Tg/+
22,516-counts.txt,Wild-Type,+/+; Tg/+
23,523-counts.txt,Wild-Type,+/+; Tg/+
24,525-counts.txt,Wild-Type,fl/fl; +/+
25,540-counts.txt,Wild-Type,+/+; +/+
26,549-counts.txt,Knockout,fl/fl; Tg/+
27,555-counts.txt,Wild-Type,fl/fl; +/+
28,562-counts.txt,Wild-Type,+/+; Tg/+
